,id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,colorgroup
1,39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
3,21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,Casual,12
46,18005,Men,Apparel,Bottomwear,Shorts,Black,Summer,Sports,12
68,54924,Men,Apparel,Bottomwear,Shorts,Blue,Summer,Casual,8
100,28456,Women,Apparel,Bottomwear,Skirts,Blue,Summer,Sports,8
118,26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,Casual,12
166,10257,Men,Apparel,Bottomwear,Trousers,Black,Fall,Formal,12
187,32563,Women,Apparel,Bottomwear,Trousers,Blue,Summer,Casual,8
194,15341,Women,Apparel,Bottomwear,Shorts,Pink,Fall,Sports,11
204,7193,Women,Apparel,Bottomwear,Jeans,Black,Fall,Casual,12
213,17624,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,Sports,9
214,47154,Girls,Apparel,Bottomwear,Capris,Black,Summer,Casual,12
218,13284,Men,Apparel,Bottomwear,Shorts,Black,Fall,Casual,12
221,26163,Men,Apparel,Bottomwear,Trousers,Grey,Summer,Formal,14
228,40371,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,Casual,9
329,34204,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,Casual,9
339,16508,Men,Apparel,Bottomwear,Jeans,Blue,Fall,Casual,8
347,57138,Women,Apparel,Bottomwear,Trousers,Brown,Summer,Casual,0
363,26993,Women,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
364,13248,Men,Apparel,Bottomwear,Trousers,Brown,Fall,Casual,0
377,51499,Women,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
380,7709,Women,Apparel,Bottomwear,Jeans,Black,Fall,Casual,12
381,28451,Women,Apparel,Bottomwear,Track Pants,Black,Summer,Casual,12
393,49654,Women,Apparel,Bottomwear,Skirts,Grey,Summer,Casual,14
402,11349,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
415,54923,Girls,Apparel,Bottomwear,Capris,Olive,Summer,Casual,6
423,16198,Men,Apparel,Bottomwear,Tracksuits,Black,Fall,Sports,12
427,12538,Men,Apparel,Bottomwear,Track Pants,Blue,Fall,Casual,8
434,18002,Women,Apparel,Bottomwear,Capris,Black,Summer,Sports,12
438,1638,Unisex,Apparel,Bottomwear,Swimwear,Blue,Fall,Sports,8
444,32903,Women,Apparel,Bottomwear,Shorts,Red,Summer,Casual,0
456,56822,Men,Apparel,Bottomwear,Trousers,Beige,Summer,Casual,3
459,39381,Men,Apparel,Bottomwear,Jeans,Black,Summer,Casual,12
498,34203,Men,Apparel,Bottomwear,Track Pants,Charcoal,Winter,Casual,12
501,27614,Men,Apparel,Bottomwear,Trousers,Beige,Summer,Casual,3
514,27426,Women,Apparel,Bottomwear,Shorts,Grey Melange,Winter,Casual,14
539,11520,Women,Apparel,Bottomwear,Jeans,Black,Fall,Casual,12
552,32590,Women,Apparel,Bottomwear,Shorts,Brown,Summer,Casual,0
581,47153,Girls,Apparel,Bottomwear,Capris,Pink,Summer,Casual,11
582,17623,Men,Apparel,Bottomwear,Track Pants,Grey,Fall,Sports,14
593,26164,Men,Apparel,Bottomwear,Trousers,Grey,Summer,Formal,14
606,32564,Women,Apparel,Bottomwear,Trousers,Orange,Summer,Casual,2
623,34693,Girls,Apparel,Bottomwear,Shorts,Pink,Summer,Casual,11
631,12163,Women,Apparel,Bottomwear,Leggings,Purple,Fall,Ethnic,10
638,1607,Men,Apparel,Bottomwear,Track Pants,Blue,Fall,Sports,8
664,23072,Men,Apparel,Bottomwear,Trousers,Navy Blue,Winter,Formal,9
688,16368,Men,Apparel,Bottomwear,Trousers,Charcoal,Fall,Formal,12
807,10259,Men,Apparel,Bottomwear,Trousers,Black,Fall,Formal,12
844,31111,Boys,Apparel,Bottomwear,Jeans,Black,Summer,Casual,12
892,27622,Men,Apparel,Bottomwear,Trousers,Grey,Summer,Casual,14
896,11340,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
919,28458,Women,Apparel,Bottomwear,Capris,Blue,Summer,Sports,8
967,23044,Women,Apparel,Bottomwear,Leggings,Brown,Fall,Casual,0
971,30453,Men,Apparel,Bottomwear,Jeans,White,Summer,Casual,13
983,39388,Men,Apparel,Bottomwear,Jeans,Black,Summer,Casual,12
999,26152,Men,Apparel,Bottomwear,Trousers,Grey,Summer,Formal,14
1014,12155,Women,Apparel,Bottomwear,Leggings,Beige,Fall,Ethnic,3
1148,29780,Men,Apparel,Bottomwear,Trousers,Black,Summer,Casual,12
1158,28460,Women,Apparel,Bottomwear,Shorts,Pink,Summer,Sports,11
1159,23088,Men,Apparel,Bottomwear,Trousers,Grey,Fall,Casual,14
1208,53750,Women,Apparel,Bottomwear,Track Pants,Grey,Summer,Casual,14
1223,26155,Men,Apparel,Bottomwear,Trousers,Grey,Summer,Formal,14
1240,23043,Women,Apparel,Bottomwear,Leggings,Blue,Fall,Casual,8
1275,10261,Men,Apparel,Bottomwear,Trousers,Brown,Fall,Formal,0
1298,7707,Women,Apparel,Bottomwear,Jeans,Black,Fall,Casual,12
1301,51497,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,Casual,9
1305,27417,Women,Apparel,Bottomwear,Capris,Blue,Winter,Casual,8
1319,27625,Men,Apparel,Bottomwear,Shorts,Grey,Summer,Casual,14
1328,11347,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
1339,16506,Men,Apparel,Bottomwear,Jeans,Blue,Fall,Casual,8
1356,57136,Women,Apparel,Bottomwear,Trousers,Black,Summer,Casual,12
1387,31116,Boys,Apparel,Bottomwear,Shorts,Grey,Summer,Casual,14
1391,13246,Men,Apparel,Bottomwear,Jeans,Blue,Fall,Casual,8
1416,15111,Men,Apparel,Bottomwear,Trousers,Coffee Brown,Fall,Formal,0
1424,44581,Men,Apparel,Bottomwear,Jeans,Navy Blue,Summer,Casual,9
1429,4774,Women,Apparel,Bottomwear,Track Pants,Pink,Summer,Sports,11
1455,14695,Men,Apparel,Bottomwear,Trousers,Black,Fall,Casual,12
1473,3909,Women,Apparel,Bottomwear,Capris,Red,Summer,Casual,0
1474,51605,Women,Apparel,Bottomwear,Trousers,Black,Fall,Casual,12
1499,21586,Men,Apparel,Bottomwear,Jeans,Grey,Summer,Casual,14
1532,34054,Boys,Apparel,Bottomwear,Capris,Blue,Summer,Casual,8
1542,5004,Women,Apparel,Bottomwear,Skirts,Blue,Summer,Casual,8
1545,33271,Girls,Apparel,Bottomwear,Skirts,Red,Summer,Casual,0
1554,27027,Women,Apparel,Bottomwear,Shorts,Blue,Summer,Casual,8
1558,50949,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,Casual,9
1588,41007,Girls,Apparel,Bottomwear,Shorts,Navy Blue,Summer,Casual,9
1595,27215,Men,Apparel,Bottomwear,Shorts,Blue,Summer,Casual,8
1655,56847,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
1672,29176,Boys,Apparel,Bottomwear,Shorts,Khaki,Summer,Casual,3
1681,48387,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,8
1683,50378,Women,Apparel,Bottomwear,Salwar and Dupatta,White,Summer,Ethnic,13
1689,39122,Women,Apparel,Bottomwear,Leggings,Blue,Fall,Casual,8
