,id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,colorgroup
10,9204,Men,Footwear,Footwear,Casual Shoes,Black,Summer,Casual,12
12,18653,Men,Footwear,Footwear,Flip Flops,Black,Fall,Casual,12
14,46885,Boys,Footwear,Footwear,Flip Flops,Navy Blue,Fall,Casual,9
21,12967,Men,Footwear,Footwear,Sandals,Black,Fall,Casual,12
25,9036,Men,Footwear,Footwear,Formal Shoes,Black,Winter,Formal,12
33,39988,Men,Footwear,Footwear,Casual Shoes,White,Winter,Casual,13
34,59051,Women,Footwear,Footwear,Flats,Black,Winter,Casual,12
41,2886,Women,Footwear,Footwear,Flats,Brown,Winter,Casual,0
45,3168,Men,Footwear,Footwear,Sports Shoes,White,Fall,Sports,13
51,10268,Men,Footwear,Footwear,Formal Shoes,Black,Fall,Formal,12
54,59435,Men,Footwear,Footwear,Formal Shoes,Black,Summer,Formal,12
64,22198,Men,Footwear,Footwear,Casual Shoes,Black,Fall,Casual,12
65,29570,Men,Footwear,Footwear,Casual Shoes,Purple,Summer,Casual,10
67,6628,Men,Footwear,Footwear,Sports Shoes,White,Summer,Sports,13
69,26538,Men,Footwear,Footwear,Casual Shoes,Red,Fall,Casual,0
71,49495,Men,Footwear,Footwear,Casual Shoes,Khaki,Summer,Casual,3
76,54118,Women,Footwear,Footwear,Heels,Black,Winter,Casual,12
77,2872,Women,Footwear,Footwear,Heels,Brown,Winter,Casual,0
79,8574,Women,Footwear,Footwear,Sandals,Pink,Fall,Casual,11
81,19123,Men,Footwear,Footwear,Flip Flops,Silver,Fall,Casual,14
84,43369,Men,Footwear,Footwear,Flip Flops,Black,Summer,Casual,12
89,33822,Men,Footwear,Footwear,Sports Shoes,White,Summer,Sports,13
96,11940,Men,Footwear,Footwear,Sandals,Black,Summer,Casual,12
102,19311,Men,Footwear,Footwear,Casual Shoes,White,Fall,Casual,13
103,42089,Men,Footwear,Footwear,Sports Shoes,White,Summer,Sports,13
105,49461,Men,Footwear,Footwear,Casual Shoes,Blue,Summer,Casual,8
106,8746,Unisex,Footwear,Footwear,Flip Flops,Navy Blue,Summer,Casual,9
108,23882,Men,Footwear,Footwear,Sports Shoes,Grey,Fall,Sports,14
109,34835,Men,Footwear,Footwear,Sports Shoes,Blue,Summer,Sports,8
112,11518,Women,Footwear,Footwear,Heels,Grey,Winter,Casual,14
114,33648,Men,Footwear,Footwear,Sandals,Brown,Summer,Casual,0
119,49839,Women,Footwear,Footwear,Flip Flops,Red,Winter,Casual,0
121,2618,Women,Footwear,Footwear,Flats,Silver,Spring,Casual,14
127,12993,Unisex,Footwear,Footwear,Sports Shoes,Black,Fall,Sports,12
129,18495,Men,Footwear,Footwear,Sandals,White,Fall,Casual,13
136,41866,Men,Footwear,Footwear,Sandals,Beige,Fall,Casual,3
138,44528,Men,Footwear,Footwear,Sandals,Black,Summer,Casual,12
143,47530,Women,Footwear,Footwear,Flats,Copper,Winter,Casual,1
147,42042,Men,Footwear,Footwear,Sports Shoes,White,Summer,Sports,13
148,23849,Men,Footwear,Footwear,Casual Shoes,Black,Fall,Casual,12
153,54127,Women,Footwear,Footwear,Heels,Black,Winter,Casual,12
155,24250,Men,Footwear,Footwear,Casual Shoes,White,Fall,Casual,13
162,15517,Men,Footwear,Footwear,Casual Shoes,Red,Fall,Casual,0
163,4140,Women,Footwear,Footwear,Casual Shoes,Green,Winter,Casual,6
170,53130,Women,Footwear,Footwear,Flats,Brown,Winter,Casual,0
176,6425,Unisex,Footwear,Footwear,Casual Shoes,Black,Summer,Casual,12
178,23247,Men,Footwear,Footwear,Formal Shoes,Black,Fall,Formal,12
181,42270,Unisex,Footwear,Footwear,Casual Shoes,Black,Summer,Casual,12
190,10633,Men,Footwear,Footwear,Formal Shoes,Brown,Fall,Formal,0
201,17416,Men,Footwear,Footwear,Sports Shoes,Black,Fall,Sports,12
205,12958,Men,Footwear,Footwear,Sports Shoes,Black,Fall,Sports,12
207,30234,Men,Footwear,Footwear,Flip Flops,Black,Summer,Casual,12
215,35574,Men,Footwear,Footwear,Flip Flops,Red,Summer,Casual,0
216,46086,Women,Footwear,Footwear,Sports Shoes,Lavender,Summer,Sports,10
219,54543,Men,Footwear,Footwear,Sports Shoes,White,Fall,Casual,13
225,32751,Men,Footwear,Footwear,Casual Shoes,Black,Summer,Casual,12
230,45603,Men,Footwear,Footwear,Formal Shoes,Black,Summer,Formal,12
231,4524,Men,Footwear,Footwear,Sports Shoes,Black,Summer,Sports,12
239,36137,Women,Footwear,Footwear,Sports Shoes,Pink,Summer,Sports,11
240,41859,Men,Footwear,Footwear,Sandals,Black,Summer,Casual,12
241,21180,Men,Footwear,Footwear,Flip Flops,Black,Summer,Casual,12
242,39943,Men,Footwear,Footwear,Casual Shoes,Brown,Summer,Casual,0
246,5630,Women,Footwear,Footwear,Flip Flops,Blue,Summer,Casual,8
247,44517,Men,Footwear,Footwear,Flip Flops,Brown,Summer,Casual,0
250,8913,Men,Footwear,Footwear,Sports Shoes,White,Fall,Sports,13
252,22705,Men,Footwear,Footwear,Casual Shoes,White,Fall,Casual,13
256,13042,Women,Footwear,Footwear,Flats,Brown,Winter,Casual,0
260,55657,Women,Footwear,Footwear,Heels,Gold,Winter,Casual,3
263,34452,Women,Footwear,Footwear,Flats,Copper,Winter,Casual,1
267,22537,Men,Footwear,Footwear,Sandals,Tan,Summer,Casual,3
270,2627,Women,Footwear,Footwear,Flats,Silver,Fall,Casual,14
283,44725,Women,Footwear,Footwear,Flip Flops,Orange,Summer,Casual,2
286,7731,Men,Footwear,Footwear,Flip Flops,Grey,Winter,Casual,14
287,22153,Men,Footwear,Footwear,Sandals,Brown,Summer,Casual,0
288,43958,Men,Footwear,Footwear,Sandals,Olive,Fall,Casual,6
307,14431,Women,Footwear,Footwear,Heels,Black,Summer,Casual,12
323,16154,Men,Footwear,Footwear,Formal Shoes,Black,Fall,Formal,12
324,22361,Men,Footwear,Footwear,Sports Sandals,Navy Blue,Summer,Casual,9
331,50741,Men,Footwear,Footwear,Casual Shoes,Black,Winter,Casual,12
334,43356,Women,Footwear,Footwear,Sports Shoes,Charcoal,Summer,Sports,12
337,12994,Boys,Footwear,Footwear,Sports Shoes,Black,Fall,Sports,12
340,18492,Men,Footwear,Footwear,Flip Flops,Blue,Fall,Casual,8
348,20856,Men,Footwear,Footwear,Casual Shoes,Black,Fall,Casual,12
349,41861,Men,Footwear,Footwear,Sandals,Black,Summer,Casual,12
350,5608,Men,Footwear,Footwear,Sandals,Black,Summer,Casual,12
359,47198,Men,Footwear,Footwear,Sandals,Brown,Summer,Casual,0
368,19772,Men,Footwear,Footwear,Casual Shoes,Blue,Fall,Casual,8
372,14409,Women,Footwear,Footwear,Heels,White,Summer,Casual,13
375,11947,Men,Footwear,Footwear,Sandals,Olive,Summer,Casual,6
378,29583,Women,Footwear,Footwear,Flats,Silver,Summer,Casual,14
387,34832,Men,Footwear,Footwear,Sports Shoes,White,Summer,Sports,13
388,23885,Men,Footwear,Footwear,Sports Shoes,Grey,Winter,Sports,14
391,19124,Women,Footwear,Footwear,Flip Flops,Pink,Fall,Casual,11
399,41439,Men,Footwear,Footwear,Sports Shoes,Black,Fall,Sports,12
405,33825,Women,Footwear,Footwear,Sports Shoes,Silver,Summer,Sports,14
408,5896,Men,Footwear,Footwear,Casual Shoes,Black,Summer,Casual,12
419,49492,Men,Footwear,Footwear,Casual Shoes,Maroon,Summer,Casual,0
446,12960,Men,Footwear,Footwear,Sports Shoes,White,Fall,Sports,13
448,9031,Men,Footwear,Footwear,Casual Shoes,Tan,Winter,Casual,3
453,59056,Women,Footwear,Footwear,Casual Shoes,Blue,Winter,Casual,8
454,15379,Men,Footwear,Footwear,Casual Shoes,Black,Summer,Casual,12
455,45409,Women,Footwear,Footwear,Flats,Black,Winter,Casual,12
469,7399,Men,Footwear,Footwear,Formal Shoes,Black,Winter,Formal,12
473,9203,Men,Footwear,Footwear,Sports Shoes,Black,Fall,Sports,12
477,44948,Men,Footwear,Footwear,Sports Shoes,Black,Summer,Sports,12
490,19927,Men,Footwear,Footwear,Sandals,Grey,Fall,Casual,14
493,3998,Men,Footwear,Footwear,Flip Flops,Black,Summer,Casual,12
495,16153,Men,Footwear,Footwear,Formal Shoes,Black,Fall,Formal,12
497,50746,Men,Footwear,Footwear,Formal Shoes,Black,Winter,Formal,12
502,22154,Men,Footwear,Footwear,Formal Shoes,Black,Fall,Formal,12
512,19329,Men,Footwear,Footwear,Casual Shoes,Brown,Fall,Casual,0
518,10096,Women,Footwear,Footwear,Sports Shoes,Blue,Fall,Sports,8
523,11978,Men,Footwear,Footwear,Sandals,Navy Blue,Summer,Casual,9
527,34455,Women,Footwear,Footwear,Heels,Black,Spring,Formal,12
530,35587,Men,Footwear,Footwear,Sandals,Brown,Summer,Casual,0
546,20267,Women,Footwear,Footwear,Heels,Black,Winter,Casual,12
549,44722,Women,Footwear,Footwear,Flip Flops,Orange,Summer,Casual,2
550,5405,Men,Footwear,Footwear,Sports Shoes,White,Fall,Sports,13
556,20869,Men,Footwear,Footwear,Sandals,Brown,Fall,Casual,0
560,39944,Men,Footwear,Footwear,Casual Shoes,Grey,Summer,Casual,14
561,21187,Men,Footwear,Footwear,Flip Flops,Yellow,Summer,Casual,4
562,36130,Men,Footwear,Footwear,Casual Shoes,Grey,Summer,Casual,14
563,44510,Unisex,Footwear,Footwear,Casual Shoes,Black,Summer,Casual,12
571,22702,Women,Footwear,Footwear,Casual Shoes,Beige,Fall,Casual,3
572,8914,Men,Footwear,Footwear,Sports Shoes,White,Fall,Sports,13
575,13045,Women,Footwear,Footwear,Flats,Maroon,Winter,Casual,0
578,55650,Women,Footwear,Footwear,Heels,Multi,Winter,Casual,15
586,46081,Men,Footwear,Footwear,Sandals,Navy Blue,Summer,Casual,9
587,35573,Men,Footwear,Footwear,Flip Flops,Blue,Summer,Casual,8
589,54544,Men,Footwear,Footwear,Sports Shoes,Black,Fall,Sports,12
598,24633,Women,Footwear,Footwear,Flip Flops,Pink,Fall,Casual,11
600,4523,Men,Footwear,Footwear,Sports Shoes,Blue,Summer,Sports,8
601,45604,Men,Footwear,Footwear,Formal Shoes,Brown,Summer,Formal,0
609,10634,Men,Footwear,Footwear,Formal Shoes,Black,Winter,Formal,12
619,17411,Men,Footwear,Footwear,Sports Shoes,White,Fall,Sports,13
627,30233,Men,Footwear,Footwear,Casual Shoes,White,Summer,Casual,13
642,53137,Women,Footwear,Footwear,Flats,Brown,Winter,Casual,0
643,15722,Men,Footwear,Footwear,Sports Shoes,Grey,Fall,Sports,14
650,6422,Unisex,Footwear,Footwear,Casual Shoes,Black,Summer,Casual,12
653,12507,Men,Footwear,Footwear,Casual Shoes,Black,Winter,Casual,12
655,3150,Men,Footwear,Footwear,Sports Shoes,Black,Fall,Sports,12
662,47537,Women,Footwear,Footwear,Flats,Brown,Winter,Casual,0
665,42045,Men,Footwear,Footwear,Casual Shoes,Yellow,Summer,Casual,4
668,54120,Women,Footwear,Footwear,Flats,Beige,Winter,Casual,3
673,24257,Men,Footwear,Footwear,Casual Shoes,Navy Blue,Summer,Casual,9
680,4147,Women,Footwear,Footwear,Sports Shoes,White,Summer,Sports,13
683,15510,Men,Footwear,Footwear,Casual Shoes,Charcoal,Fall,Casual,12
686,43956,Women,Footwear,Footwear,Sports Sandals,Purple,Summer,Casual,10
701,11971,Men,Footwear,Footwear,Sports Shoes,White,Fall,Sports,13
705,44941,Men,Footwear,Footwear,Formal Shoes,Black,Summer,Formal,12
706,24098,Men,Footwear,Footwear,Sandals,Black,Summer,Casual,12
709,28655,Men,Footwear,Footwear,Sports Shoes,White,Summer,Sports,13
714,9497,Men,Footwear,Footwear,Sandals,Black,Summer,Casual,12
717,16966,Men,Footwear,Footwear,Sports Shoes,Black,Fall,Sports,12
726,41857,Men,Footwear,Footwear,Sandals,Olive,Summer,Casual,6
728,36139,Men,Footwear,Footwear,Sports Shoes,Black,Summer,Sports,12
738,49808,Women,Footwear,Footwear,Flip Flops,Blue,Winter,Casual,8
739,22539,Women,Footwear,Footwear,Heels,Brown,Winter,Casual,0
749,2629,Women,Footwear,Footwear,Flats,Black,Fall,Casual,12
756,24408,Men,Footwear,Footwear,Sports Shoes,Black,Summer,Sports,12
757,20894,Men,Footwear,Footwear,Casual Shoes,Red,Fall,Casual,0
761,40971,Men,Footwear,Footwear,Casual Shoes,Brown,Winter,Casual,0
766,12956,Men,Footwear,Footwear,Sports Shoes,Blue,Fall,Sports,8
790,6619,Men,Footwear,Footwear,Sports Shoes,White,Summer,Sports,13
795,54129,Women,Footwear,Footwear,Heels,Beige,Winter,Casual,3
796,23847,Men,Footwear,Footwear,Sports Shoes,White,Fall,Sports,13
803,11985,Men,Footwear,Footwear,Sports Shoes,Black,Fall,Sports,12
805,15519,Men,Footwear,Footwear,Flip Flops,Brown,Fall,Casual,0
813,44189,Women,Footwear,Footwear,Flip Flops,Pink,Winter,Casual,11
815,23249,Men,Footwear,Footwear,Formal Shoes,Black,Fall,Formal,12
821,17840,Men,Footwear,Footwear,Sports Shoes,Red,Fall,Sports,0
825,3159,Men,Footwear,Footwear,Sports Shoes,White,Fall,Sports,13
828,33646,Men,Footwear,Footwear,Sandals,Black,Summer,Casual,12
829,57303,Women,Footwear,Footwear,Heels,Brown,Winter,Casual,0
830,11516,Women,Footwear,Footwear,Heels,Black,Winter,Casual,12
834,44714,Men,Footwear,Footwear,Flip Flops,Maroon,Summer,Casual,0
838,49837,Women,Footwear,Footwear,Flip Flops,Blue,Winter,Casual,8
839,16733,Men,Footwear,Footwear,Flip Flops,Black,Fall,Casual,12
840,7364,Men,Footwear,Footwear,Casual Shoes,Brown,Winter,Casual,0
842,47191,Men,Footwear,Footwear,Formal Shoes,Black,Summer,Formal,12
849,27074,Women,Footwear,Footwear,Flats,Blue,Winter,Casual,8
850,2616,Women,Footwear,Footwear,Flats,Gold,Fall,Sports,3
853,35783,Women,Footwear,Footwear,Heels,Turquoise Blue,Summer,Casual,7
855,22734,Women,Footwear,Footwear,Sports Shoes,Grey,Fall,Sports,14
859,34651,Women,Footwear,Footwear,Sports Shoes,Black,Fall,Sports,12
865,13073,Men,Footwear,Footwear,Casual Shoes,White,Fall,Casual,13
872,5601,Men,Footwear,Footwear,Flip Flops,Brown,Summer,Casual,0
876,39972,Men,Footwear,Footwear,Casual Shoes,Grey,Summer,Casual,14
877,15384,Men,Footwear,Footwear,Flip Flops,Black,Summer,Casual,12
879,41868,Men,Footwear,Footwear,Sandals,Turquoise Blue,Summer,Casual,7
883,46615,Women,Footwear,Footwear,Heels,Red,Winter,Casual,0
887,16165,Men,Footwear,Footwear,Casual Shoes,Tan,Fall,Casual,3
889,30695,Women,Footwear,Footwear,Flats,Bronze,Winter,Casual,2
890,43367,Women,Footwear,Footwear,Flats,Black,Summer,Casual,12
898,10292,Women,Footwear,Footwear,Heels,Brown,Summer,Casual,0
920,22162,Men,Footwear,Footwear,Casual Shoes,Black,Summer,Casual,12
927,42087,Men,Footwear,Footwear,Sports Shoes,White,Summer,Sports,13
930,17043,Men,Footwear,Footwear,Casual Shoes,Black,Summer,Casual,12
931,50784,Women,Footwear,Footwear,Heels,Cream,Fall,Casual,13
932,2888,Women,Footwear,Footwear,Heels,Brown,Winter,Casual,0
934,6414,Men,Footwear,Footwear,Flip Flops,Grey,Summer,Casual,14
941,26704,Men,Footwear,Footwear,Sports Shoes,White,Fall,Sports,13
947,10266,Men,Footwear,Footwear,Casual Shoes,Brown,Fall,Casual,0
949,15714,Men,Footwear,Footwear,Sports Shoes,Black,Fall,Sports,12
951,4343,Men,Footwear,Footwear,Casual Shoes,Red,Summer,Casual,0
952,5291,Men,Footwear,Footwear,Formal Shoes,Black,Summer,Formal,12
957,4171,Men,Footwear,Footwear,Sports Shoes,White,Summer,Sports,13
960,15526,Women,Footwear,Footwear,Heels,Brown,Fall,Casual,0
