,id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,colorgroup
0,15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual,9
4,53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,14
5,1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,14
6,30805,Men,Apparel,Topwear,Shirts,Green,Summer,Ethnic,6
7,26960,Women,Apparel,Topwear,Shirts,Purple,Summer,Casual,10
15,12369,Men,Apparel,Topwear,Shirts,Purple,Fall,Formal,10
17,42419,Girls,Apparel,Topwear,Tops,White,Summer,Casual,13
23,13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,Sports,14
27,7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Sports,9
30,37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,Formal,9
31,4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,Casual,6
32,56825,Men,Apparel,Topwear,Shirts,Brown,Summer,Casual,0
35,20099,Women,Apparel,Topwear,Kurtas,Green,Fall,Ethnic,6
39,3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,Casual,11
43,28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,Ethnic,3
44,8580,Men,Apparel,Topwear,Waistcoat,Grey,Fall,Casual,14
48,9452,Men,Apparel,Topwear,Shirts,Red,Fall,Formal,0
52,45856,Women,Apparel,Topwear,Kurtas,Brown,Summer,Ethnic,0
55,5891,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,12
56,38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,Casual,10
57,4943,Men,Apparel,Topwear,Shirts,White,Summer,Casual,13
59,10866,Men,Apparel,Topwear,Tshirts,Red,Fall,Casual,0
61,15528,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,12
72,9660,Men,Apparel,Topwear,Shirts,Pink,Fall,Casual,11
73,2288,Women,Apparel,Topwear,Tshirts,Black,Fall,Sports,12
74,23876,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,Casual,8
75,18237,Men,Apparel,Topwear,Tshirts,Red,Fall,Casual,0
78,49653,Women,Apparel,Topwear,Tops,Green,Summer,Casual,6
82,13419,Men,Apparel,Topwear,Tshirts,Pink,Summer,Casual,11
90,58513,Women,Apparel,Topwear,Tops,Off White,Summer,Casual,13
93,5865,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,12
98,29584,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,12
101,34009,Girls,Apparel,Topwear,Tops,Black,Summer,Casual,12
107,9694,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,13
110,15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,Casual,4
115,59297,Men,Apparel,Topwear,Shirts,White,Fall,Casual,13
117,27846,Women,Apparel,Topwear,Blazers,Charcoal,Summer,Formal,12
122,54588,Women,Apparel,Topwear,Kurtas,Green,Summer,Ethnic,6
124,8322,Boys,Apparel,Topwear,Tshirts,Blue,Fall,Casual,8
128,7158,Men,Apparel,Topwear,Shirts,Green,Fall,Casual,6
131,19547,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,Casual,8
132,7964,Men,Apparel,Topwear,Tshirts,Black,Fall,Sports,12
139,16392,Men,Apparel,Topwear,Shirts,Red,Fall,Casual,0
140,51455,Women,Apparel,Topwear,Shrug,Pink,Summer,Casual,11
142,17240,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,12
144,6617,Men,Apparel,Topwear,Shirts,Black,Summer,Casual,12
146,3365,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,12
154,10065,Men,Apparel,Topwear,Tshirts,Yellow,Fall,Casual,4
159,5092,Men,Apparel,Topwear,Tshirts,Purple,Summer,Casual,10
160,10859,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,9
167,24062,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,9
169,11385,Women,Apparel,Topwear,Sweatshirts,Black,Fall,Casual,12
174,22395,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,8
180,31782,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,8
182,12500,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,12
184,30650,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,12
189,40143,Girls,Apparel,Topwear,Tops,Blue,Summer,Casual,8
