,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Material,Content,Colour,Brand,Price
0,58522,Unisex,Accessories,Accessories,Travel Accessory,Summer,2015.0,Casual,Wildcraft Unisex Rust Orange Travel Pouch,Not specified,Not specified,Rust,Wildcraft,395
1,14893,Women,Accessories,Accessories,Travel Accessory,Summer,2011.0,Casual,United Colors of Benetton Women Solid Blue Bags,Not specified,Not specified,Blue,United Colors of Benetton,1299
2,42417,Unisex,Accessories,Accessories,Messenger Bag,Summer,2012.0,Casual,American Tourister Unisex Purple Messenger Bag,Not specified,Not specified,Purple,AMERICAN TOURISTER,990
3,14894,Women,Accessories,Accessories,Travel Accessory,Summer,2011.0,Casual,United Colors of Benetton Women Solid Black Bags,Not specified,Not specified,Black,United Colors of Benetton,1299
4,58525,Unisex,Accessories,Accessories,Travel Accessory,Summer,2010.0,Casual,Wildcraft Unisex Green Chalk Bag,Not specified,Not specified,Green,Wildcraft,395
5,19929,Men,Accessories,Accessories,Accessory Gift Set,Fall,2011.0,Formal,Reid & Taylor Men Formal Blue Tie+Cufflink+Pocket square - Combo Pack,Not specified,"Tie, Cufflinks, Pocket Square","Blue, Black",Reid & Taylor,2295
6,34464,Unisex,Accessories,Accessories,Travel Accessory,Summer,2012.0,Casual,ADIDAS Unisex Red Organizer Bag,Not specified,Not specified,Red,ADIDAS,399
7,31187,Men,Accessories,Accessories,Accessory Gift Set,Summer,2015.0,Casual,Cabarelli Men Accessory Gift Set,Not specified,Not specified,"Black, White",CABARELLI,1225
8,58920,Men,Accessories,Accessories,Accessory Gift Set,Summer,2012.0,Casual,Hakashi Men Combo pack Tie+Cufflink+Pocket square,Not specified,"Tie, Cufflinks, Pocket Square",Maroon,Hakashi,1275
9,18435,Unisex,Accessories,Accessories,Messenger Bag,Fall,2011.0,Casual,Vital Gear Unisex Black Messenger Bag,Polyester,Not specified,Black,VITAL Gear,1499
10,58523,Unisex,Accessories,Accessories,Travel Accessory,Summer,2015.0,Casual,Wildcraft Unisex Yellow Travel Pouch,Not specified,Not specified,Yellow,Wildcraft,395
11,19926,Men,Accessories,Accessories,Accessory Gift Set,Fall,2011.0,Formal,Reid & Taylor Men Formal Black Tie+Cufflink+Pocket square - Combo Pack,Not specified,"Tie, Cufflinks, Pocket Square",Black,Reid & Taylor,2295
12,58921,Men,Accessories,Accessories,Accessory Gift Set,Summer,2012.0,Casual,Hakashi Men Combo pack Tie+Cufflink+Pocket square,Not specified,"Tie, Cufflinks, Pocket Square",Multi,Hakashi,1275
13,24834,Unisex,Accessories,Accessories,Travel Accessory,Winter,2015.0,Casual,Wildcraft Unisex Black Travel Pouch,Not specified,Not specified,Black,Wildcraft,249
14,31186,Men,Accessories,Accessories,Accessory Gift Set,Summer,2015.0,Casual,Cabarelli Men Accessory Gift Set,Not specified,Not specified,"Black, White",CABARELLI,1225
15,25055,Men,Accessories,Accessories,Accessory Gift Set,Winter,2015.0,Formal,Lino Perros Men Formal Brown Accessory Gift Set,Not specified,"Tie, Cufflinks, Pocket Square",Brown,Lino Perros,1995
16,17369,Men,Accessories,Accessories,Accessory Gift Set,Fall,2011.0,Formal,Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack,Not specified,"Tie, Cufflinks, Pocket Square","Purple, Steel",Arrow,1999
17,31204,Men,Accessories,Accessories,Accessory Gift Set,Summer,2012.0,Casual,Cabarelli Men Brown Accessory Gift Set,Not specified,Wallet and Belt,Brown,CABARELLI,499
18,9572,Unisex,Accessories,Accessories,Travel Accessory,Fall,2011.0,Casual,Puma Unisex Big Cat Shoe Bag Black Bags,Not specified,Not specified,Black,Puma,499
19,25064,Men,Accessories,Accessories,Accessory Gift Set,Winter,2015.0,Formal,Lino Perros Men Formal Brown Accessory Gift Set,Not specified,"Tie, Cufflinks, Pocket Square",Brown,Lino Perros,1995
20,17360,Men,Accessories,Accessories,Accessory Gift Set,Fall,2011.0,Formal,Arrow Men Formal Red Tie+Cufflink+Pocket square - Combo Pack,Not specified,"Tie, Cufflinks, Pocket Square","Red, Steel",Arrow,1699
21,17367,Men,Accessories,Accessories,Accessory Gift Set,Fall,2011.0,Formal,Arrow Men Formal Maroon Tie+Cufflink+Pocket square - Combo Pack,Not specified,"Tie, Cufflinks, Pocket Square","Maroon, Steel",Arrow,1999
22,25063,Men,Accessories,Accessories,Accessory Gift Set,Winter,2015.0,Formal,Lino Perros Men Formal Navy Blue/Red Accessory Gift Set,Not specified,"Tie, Cufflinks, Pocket Square","Navy Blue, Red",Lino Perros,1295
23,23106,Men,Accessories,Accessories,Accessory Gift Set,Winter,2011.0,Formal,Turtle Men Formal Maroon Accessory Gift Set,Not specified,"Tie, Cufflinks, Pocket Square","Maroon, Black",Turtle,1495
24,17359,Men,Accessories,Accessories,Accessory Gift Set,Fall,2011.0,Formal,Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack,Not specified,"Tie, Cufflinks, Pocket Square","Purple, Steel",Arrow,1699
25,25062,Men,Accessories,Accessories,Accessory Gift Set,Winter,2015.0,Formal,Lino Perros Men Formal Brown Accessory Gift Set,Not specified,"Tie, Cufflinks, Pocket Square",Brown,Lino Perros,1995
26,17366,Men,Accessories,Accessories,Accessory Gift Set,Fall,2011.0,Formal,Arrow Men Formal Blue Tie+Cufflink+Pocket square - Combo Pack,Not specified,"Tie, Cufflinks, Pocket Square","Blue, Steel",Arrow,1999
27,58600,Women,Accessories,Accessories,Hair Accessory,Winter,2016.0,Casual,ToniQ Women Pink Hair Accessories,Not specified,Not specified,"Pink, Yellow",ToniQ,149
28,17361,Men,Accessories,Accessories,Accessory Gift Set,Fall,2011.0,Formal,Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack,Not specified,"Tie, Cufflinks, Pocket Square",Purple,Arrow,1699
29,25065,Men,Accessories,Accessories,Accessory Gift Set,Winter,2015.0,Formal,Lino Perros Men Formal Brown Accessory Gift Set,Not specified,"Tie, Cufflinks, Pocket Square",Brown,Lino Perros,1495
30,17368,Men,Accessories,Accessories,Accessory Gift Set,Fall,2011.0,Formal,Arrow Men Formal Maroon Tie+Cufflink+Pocket square - Combo Pack,Not specified,"Tie, Cufflinks, Pocket Square",Maroon,Arrow,1699
31,25053,Men,Accessories,Accessories,Accessory Gift Set,Winter,2015.0,Formal,Lino Perros Men Formal Brown Accessory Gift Set,Not specified,"Tie, Cufflinks, Pocket Square",Brown,Lino Perros,1995
32,31202,Men,Accessories,Accessories,Accessory Gift Set,Summer,2012.0,Casual,Cabarelli Men Brown Accessory Gift Set,Not specified,Wallet and Belt,Brown,CABARELLI,850
33,25054,Men,Accessories,Accessories,Accessory Gift Set,Winter,2015.0,Formal,Lino Perros Men Formal Purple Accessory Gift Set,Not specified,"Tie, Cufflinks, Pocket Square",Purple,Lino Perros,1695
34,43230,Unisex,Accessories,Accessories,Key chain,Winter,2015.0,Casual,Wildcraft Unisex Black & Grey Carabiner Key Chain,Not specified,Not specified,"Black, Grey",Wildcraft,95
35,23113,Men,Accessories,Accessories,Accessory Gift Set,Fall,2011.0,Formal,Turtle Men Purple Accessory Gift Set,Not specified,"Tie, Cufflinks, Pocket Square",Purple,Turtle,1495
36,25076,Men,Accessories,Accessories,Accessory Gift Set,Winter,2015.0,Formal,Lino Perros Men Formal Black Accessory Gift Set,Not specified,"Tie, Cufflinks, Pocket Square",Black,Lino Perros,1695
37,17372,Men,Accessories,Accessories,Accessory Gift Set,Fall,2011.0,Formal,Arrow Men Formal Maroon Tie+Cufflink+Pocket square - Combo Pack,Not specified,"Tie, Cufflinks, Pocket Square",Maroon,Arrow,1699
38,25082,Men,Accessories,Accessories,Accessory Gift Set,Winter,2015.0,Formal,Lino Perros Men Formal Black Accessory Gift Set,Not specified,"Tie, Cufflinks, Pocket Square",Black,Lino Perros,1995
39,25049,Men,Accessories,Accessories,Accessory Gift Set,Winter,2015.0,Formal,Lino Perros Men Formal Grey Accessory Gift Set,Not specified,"Tie, Cufflinks, Pocket Square",Grey,Lino Perros,1495
40,17375,Men,Accessories,Accessories,Accessory Gift Set,Fall,2011.0,Formal,Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack,Not specified,"Tie, Cufflinks, Pocket Square","Purple, Steel",Arrow,1999
41,25071,Men,Accessories,Accessories,Accessory Gift Set,Winter,2015.0,Formal,Lino Perros Men Formal Brown Accessory Gift Set,Not specified,"Tie, Cufflinks, Pocket Square",Brown,Lino Perros,1695
42,25047,Men,Accessories,Accessories,Accessory Gift Set,Winter,2015.0,Formal,Lino Perros Men Formal Blue Accessory Gift Set,Not specified,"Tie, Cufflinks, Pocket Square","Blue, Red",Lino Perros,1295
43,25078,Men,Accessories,Accessories,Accessory Gift Set,Winter,2015.0,Formal,Lino Perros Men Formal Black Accessory Gift Set,Not specified,"Tie, Cufflinks, Pocket Square",Black,Lino Perros,1495
44,38735,Unisex,Accessories,Accessories,Messenger Bag,Fall,2012.0,Casual,Nike Unisex Black Messenger Bag,Polyester,Not specified,Black,Nike,2295
45,25046,Men,Accessories,Accessories,Accessory Gift Set,Winter,2015.0,Formal,Lino Perros Men Formal Yellow Accessory Gift Set,Not specified,"Tie, Cufflinks, Pocket Square","Blue, Yellow",Lino Perros,1295
46,25079,Men,Accessories,Accessories,Accessory Gift Set,Winter,2015.0,Formal,Lino Perros Men Formal Maroon Accessory Gift Set,Not specified,"Tie, Cufflinks, Pocket Square",Maroon,Lino Perros,1695
47,25070,Men,Accessories,Accessories,Accessory Gift Set,Winter,2015.0,Formal,Lino Perros Men Formal Blue Accessory Gift Set,Not specified,"Tie, Cufflinks, Pocket Square",Blue,Lino Perros,1495
48,17374,Men,Accessories,Accessories,Accessory Gift Set,Fall,2011.0,Formal,Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack,Not specified,"Tie, Cufflinks, Pocket Square","Purple, Steel",Arrow,1699
49,25084,Men,Accessories,Accessories,Accessory Gift Set,Winter,2015.0,Formal,Lino Perros Men Formal Grey Accessory Gift Set,Not specified,"Tie, Cufflinks, Pocket Square",Grey,Lino Perros,1695
50,51330,Unisex,Accessories,Accessories,Travel Accessory,Summer,2010.0,Casual,Wildcraft Unisex Black Rain Cover for Backpacks,Not specified,Not specified,Black,Wildcraft,495
51,25083,Men,Accessories,Accessories,Accessory Gift Set,Winter,2015.0,Formal,Lino Perros Men Formal Red Accessory Gift Set,Not specified,"Tie, Cufflinks, Pocket Square",Red,Lino Perros,1295
52,17373,Men,Accessories,Accessories,Accessory Gift Set,Fall,2011.0,Formal,Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack,Not specified,"Tie, Cufflinks, Pocket Square",Purple,Arrow,1699
53,25077,Men,Accessories,Accessories,Accessory Gift Set,Winter,2015.0,Formal,Lino Perros Men Formal Navy Blue Accessory Gift Set,Not specified,"Tie, Cufflinks, Pocket Square",Navy Blue,Lino Perros,1995
54,25048,Men,Accessories,Accessories,Accessory Gift Set,Winter,2015.0,Formal,Lino Perros Men Formal Purple Accessory Gift Set,Not specified,"Tie, Cufflinks, Pocket Square",Purple,Lino Perros,1695
55,31192,Men,Accessories,Accessories,Accessory Gift Set,Summer,2015.0,Casual,Cabarelli Men Accessory Gift Set,Not specified,Not specified,"Brown, White",CABARELLI,1350
56,42066,Unisex,Accessories,Accessories,Key chain,Summer,2012.0,Casual,American Tourister Unisex Black Key Case,Not specified,Not specified,Black,AMERICAN TOURISTER,390
57,19932,Men,Accessories,Accessories,Accessory Gift Set,Fall,2011.0,Formal,Reid & Taylor Men Formal Maroon Tie+Cufflink+Pocket square - Combo Pack,Not specified,"Tie, Cufflinks, Pocket Square",Maroon,Reid & Taylor,2295
