,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Type,Material,Details,Pattern,Strap Type,Size,Compartment Closure,Volume in Litres,Trends,Colour,Brand,Price
0,47957,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Murcia Women Blue Handbag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Blue, White",Murcia,750
1,47359,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Baggit Women Brown Handbag,Not specified,Synthetic,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Baggit,2400
2,21977,Women,Accessories,Bags,Handbags,Winter,2015.0,Casual,Murcia Women Casual Brown Handbag,Shoulder Bag,Synthetic Leather,Not specified,Self Design,Not specified,Regular,Zip,Not specified,Not specified,Brown,Murcia,1560
3,58183,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Rocky S Women White Handbag,Not specified,Leather,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Brown",Rocky S,3895
4,29742,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Kiara Women Teal Handbag,Not specified,Synthetic Leather,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Teal,KIARA,1850
5,42841,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,French Connection Women Beige Handbag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Beige,French Connection,4699
6,35913,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Peperone Women Black & White Handbag,Not specified,Synthetic Leather,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, White",Peperone,1820
7,39524,Unisex,Accessories,Bags,Laptop Bag,Summer,2012.0,Casual,Peter England Unisex Orange Sleeve Bag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Orange, Black",Peter England,1999
8,31923,Women,Accessories,Bags,Handbags,Summer,2012.0,Casual,Fabindia Women Blue Silk Sling Bag,Sling Bag,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Fabindia,1590
9,20851,Women,Accessories,Bags,Clutches,Winter,2015.0,Casual,Spice Art Women Ribbon Embroidery Red Clutch,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Spice Art,945
