,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Pattern,Material,Reversible,Colour,Brand,Price
0,48123,Women,Accessories,Belts,Belts,Summer,2012.0,Casual,Fossil Women Black Huarache Weave Belt,Not specified,Not specified,Not specified,Black,Fossil,1750.0
1,18839,Men,Accessories,Belts,Belts,Fall,2011.0,Formal,Peter England Men Formal Black Belt,Not specified,Not specified,Not specified,Black,Peter England,699.0
2,38402,Women,Accessories,Belts,Belts,Summer,2012.0,Casual,Baggit Women Hood Dabang Black Belt,Not specified,Not specified,Not specified,Black,Baggit,300.0
3,18806,Men,Accessories,Belts,Belts,Summer,2011.0,Casual,Peter England Men Casual Tan Belt,Not specified,Not specified,Not specified,Tan,Peter England,299.0
4,17072,Women,Accessories,Belts,Belts,Winter,2015.0,Casual,Lino Perros Women Weaved  Grey Belt,Not specified,Not specified,Not specified,Grey,Lino Perros,395.0
5,46072,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Lino Perros Men Black Leather Belt,Not specified,Not specified,Not specified,Black,Lino Perros,995.0
6,27841,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Bulchee Men Plain Jeans White Belt,Not specified,Leather,Not specified,White,BULCHEE,1099.0
7,38405,Women,Accessories,Belts,Belts,Summer,2012.0,Casual,Baggit Women White Capri Taj Belt,Not specified,Not specified,Not specified,White,Baggit,525.0
8,24866,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Reid & Taylor Men Formal Black Belt,Not specified,Not specified,Not specified,Black,Reid & Taylor,995.0
9,48124,Women,Accessories,Belts,Belts,Summer,2012.0,Casual,Fossil Women Brown Huarache Weave Belt,Not specified,Not specified,Not specified,Brown,Fossil,1750.0
10,46075,Men,Accessories,Belts,Belts,Summer,2012.0,Casual,Lino Perros Men Black Leather Belt,Not specified,Not specified,Not specified,Black,Lino Perros,995.0
11,41250,Men,Accessories,Belts,Belts,Summer,2012.0,Formal,Arrow Men Black & Brown Reversible Belt,Not specified,Leather,Yes,"Brown, Black",Arrow,1495.0
12,17075,Women,Accessories,Belts,Belts,Winter,2015.0,Casual,Lino Perros Women Weaved  Navy Blue Belt,Not specified,Not specified,Not specified,Navy Blue,Lino Perros,395.0
13,18801,Men,Accessories,Belts,Belts,Summer,2011.0,Casual,Peter England Men Casual Brown Belt,Not specified,Not specified,Not specified,Brown,Peter England,399.0
