,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Colour,Brand,Price
0,58548,Women,Accessories,Cufflinks,Ties and Cufflinks,Spring,2013.0,Casual,Miami Blues Women Sunglasses,Brown,Miami Blues,2315
1,58865,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Blue Cufflinks,Blue,Hakashi,1200
2,14144,Men,Accessories,Cufflinks,Cufflinks,Fall,2011.0,Formal,Belmonte Men Formal Steel Cufflinks,"Steel, Purple",Belmonte,695
3,39056,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Formal,Belmonte Men Silver Button Cover,Steel,Belmonte,1295
4,58862,Men,Accessories,Cufflinks,Cufflinks,Summer,2017.0,Casual,Hakashi Men Copper Cufflinks,Copper,Hakashi,950
5,58854,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Steel Cufflinks,Steel,Hakashi,650
6,39058,Men,Accessories,Cufflinks,Cufflinks,Fall,2012.0,Formal,Belmonte Men Steel Button Covers,Steel,Belmonte,1295
7,58853,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Black Cufflinks,Black,Hakashi,650
8,59579,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Bronze Coloured Cufflinks,Bronze,Revv,2160
9,39033,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Formal,Belmonte Men Steel Bright Assorted Cufflinks,Steel,Belmonte,695
10,58838,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Black Cufflinks,Black,Hakashi,900
11,39034,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Formal,Belmonte Men Blue Bright Assorted Cufflinks,Blue,Belmonte,695
12,58836,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Blue Cufflinks,Blue,Hakashi,800
13,59583,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Steel Cufflinks,"Steel, Steel",Revv,1920
14,59577,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Steel and Brown Cufflinks,"Steel, Brown",Revv,2190
15,59570,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Black and White Cufflinks,"Steel, Black, White",Revv,2370
16,59584,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Black Cufflinks,"Steel, Black",Revv,1920
17,39059,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Formal,Belmonte Men Blue Button Cover,Blue,Belmonte,1295
18,58852,Men,Accessories,Cufflinks,Cufflinks,Summer,2017.0,Casual,Hakashi Men Black Cufflinks,Black,Hakashi,800
19,58855,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Red Cufflinks,Red,Hakashi,750
20,39057,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Formal,Belmonte Men Steel Button Cover,Steel,Belmonte,1295
21,58863,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Gold Cufflinks,Gold,Hakashi,700
22,14142,Men,Accessories,Cufflinks,Cufflinks,Fall,2011.0,Formal,Belmonte Men Bright Assorted Steel Cufflinks,Steel,Belmonte,695
23,14145,Men,Accessories,Cufflinks,Cufflinks,Fall,2011.0,Formal,Belmonte Men Bright Assorted Copper Cufflinks,"Copper, Grey",Belmonte,695
24,58864,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Gold Cufflinks,Gold,Hakashi,1110
25,59585,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Black and Steel Cufflinks,"Steel, Black",Revv,1800
26,59571,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Purple Cufflinks,"Steel, Purple",Revv,2370
27,58837,Men,Accessories,Cufflinks,Cufflinks,Summer,2017.0,Casual,Hakashi Men Black Cufflinks,Black,Hakashi,800
28,59576,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Steel Cufflinks,"Steel, Gold",Revv,2190
29,59582,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Black Cufflinks,"Steel, Black",Revv,2040
30,39035,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Formal,Belmonte Men Steel Bright Assorted Cufflinks,Steel,Belmonte,695
31,59578,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Steel Cufflinks,Steel,Revv,2190
32,39032,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Formal,Belmonte Men Steel Bright Assorted Cufflinks,Steel,Belmonte,595
33,58839,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Steel Cufflinks,"Steel, Cream",Hakashi,650
34,59565,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Steel Cufflinks,Steel,Revv,2670
35,58846,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Black Cufflinks,Black,Hakashi,750
36,14158,Men,Accessories,Cufflinks,Cufflinks,Fall,2011.0,Formal,Belmonte Men Formal Sliver Cufflinks,Silver,Belmonte,695
37,58841,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Gunmetal Grey Cufflinks,Grey,Hakashi,900
38,14156,Men,Accessories,Cufflinks,Cufflinks,Fall,2011.0,Formal,Belmonte Men Bright Assorted Steel Cufflinks,Steel,Belmonte,695
39,58848,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Blue Cufflinks,Blue,Hakashi,650
40,39043,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Formal,Belmonte Men Steel Bright Assorted Cufflinks,Steel,Belmonte,695
41,58870,Men,Accessories,Cufflinks,Cufflinks,Summer,2017.0,Casual,Hakashi Men Pink Cufflinks,"Steel, Pink",Hakashi,625
42,14151,Men,Accessories,Cufflinks,Cufflinks,Fall,2011.0,Formal,Belmonte Men Bright Assorted Steel Cufflinks,Steel,Belmonte,695
43,59564,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Steel Cufflinks,Steel,Revv,2670
44,58871,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Steel Cufflinks,Steel,Hakashi,700
45,14157,Men,Accessories,Cufflinks,Cufflinks,Fall,2011.0,Formal,Belmonte Men Bright Assorted Steel Cufflinks,"Steel, Black",Belmonte,695
46,58849,Men,Accessories,Cufflinks,Cufflinks,Summer,2017.0,Casual,Hakashi Men Blue Cufflinks,Blue,Hakashi,1050
47,58840,Men,Accessories,Cufflinks,Cufflinks,Summer,2017.0,Casual,Hakashi Men Yellow Cufflinks,Yellow,Hakashi,700
48,14161,Men,Accessories,Cufflinks,Cufflinks,Fall,2011.0,Formal,Belmonte Men Textured Steel Cufflinks,Steel,Belmonte,695
49,58847,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Black Cufflinks,Black,Hakashi,850
50,14159,Men,Accessories,Cufflinks,Cufflinks,Fall,2011.0,Formal,Belmonte Men Bright Assorted Steel Cufflinks,"Steel, Black",Belmonte,695
51,24644,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Formal,Reid & Taylor Men Bright Assorted Pink Cufflinks,Pink,Reid & Taylor,495
52,38223,Women,Accessories,Cufflinks,Ties and Cufflinks,Summer,2015.0,Casual,Polaroid Women Sunglasses,Black,Polaroid,3786
53,24643,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Formal,Reid & Taylor Men Bright Assorted Brown Cufflinks,Brown,Reid & Taylor,495
54,24642,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Formal,Reid & Taylor Men Red Silk Knot Cufflinks,Red,Reid & Taylor,395
55,24645,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Formal,Reid & Taylor Men Navy Blue Silk Knot Cufflinks,Navy Blue,Reid & Taylor,395
56,39037,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Formal,Belmonte Men Steel Bright Assorted Cufflinks,Steel,Belmonte,695
57,24772,Men,Accessories,Cufflinks,Cufflinks,Fall,2011.0,Casual,Belmonte Men Silver Cufflinks,"Silver, Steel",Belmonte,695
58,39039,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Formal,Belmonte Men Red Bright Assorted Cufflinks,Red,Belmonte,695
59,59573,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Steel Cufflinks,"Steel, Black",Revv,2310
60,59587,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Black and Steel Cufflinks,"Steel, Black",Revv,1740
61,58835,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Gold Cufflinks,Gold,Hakashi,650
62,59580,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Steel and Brown Cufflinks,"Steel, Brown, Beige",Revv,2100
63,59574,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Golden Coloured Cufflinks,Gold,Revv,2310
64,58861,Men,Accessories,Cufflinks,Cufflinks,Summer,2017.0,Casual,Hakashi Men Copper Cufflinks,Copper,Hakashi,950
65,14140,Men,Accessories,Cufflinks,Cufflinks,Fall,2011.0,Formal,Belmonte Men Bright Assorted Steel Cufflinks,Steel,Belmonte,695
66,58859,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Black Cufflinks,Black,Hakashi,950
67,14147,Men,Accessories,Cufflinks,Cufflinks,Fall,2011.0,Formal,Belmonte Men Bright Assorted Steel Cufflinks,Steel,Belmonte,695
68,58850,Men,Accessories,Cufflinks,Cufflinks,Summer,2017.0,Casual,Hakashi Men Blue Cufflinks,Blue,Hakashi,650
69,58868,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Green Cufflinks,"Steel, Green",Hakashi,900
70,58857,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Black Cufflinks,Black,Hakashi,750
71,58834,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Steel Cufflinks,Steel,Hakashi,900
72,59575,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Steel Cufflinks,Steel,Revv,2250
73,59581,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Steel Cufflinks,Steel,Revv,2040
74,39038,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Formal,Belmonte Men White Bright Assorted Cufflinks,White,Belmonte,695
75,58833,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Steel Cufflinks,Steel,Hakashi,900
76,59586,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Black and Steel Cufflinks,"Steel, Black",Revv,1740
77,59572,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Steel Cufflinks,"Steel, Black",Revv,2310
78,39036,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Formal,Belmonte Men Black Bright Assorted Cufflinks,Black,Belmonte,695
79,58869,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Blue Cufflinks,Blue,Hakashi,950
80,14148,Men,Accessories,Cufflinks,Cufflinks,Fall,2011.0,Formal,Belmonte Men Formal Steel Cufflinks,Steel,Belmonte,695
81,58856,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Black Cufflinks,Black,Hakashi,625
82,58851,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Steel Cufflinks,Steel,Hakashi,1100
83,58858,Men,Accessories,Cufflinks,Cufflinks,Summer,2017.0,Casual,Hakashi Men Black Cufflinks,Black,Hakashi,850
84,58867,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Steel Cufflinks,Steel,Hakashi,750
85,14141,Men,Accessories,Cufflinks,Cufflinks,Fall,2011.0,Formal,Belmonte Men Bright Assorted Steel Cufflinks,Steel,Belmonte,695
86,58860,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Copper Cufflinks,Copper,Hakashi,1100
87,58842,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Black Cufflinks,Black,Hakashi,650
88,14163,Men,Accessories,Cufflinks,Cufflinks,Fall,2011.0,Formal,Belmonte Men Bright Assorted Steel Cufflinks,"Steel, Yellow",Belmonte,695
89,14164,Men,Accessories,Cufflinks,Cufflinks,Fall,2011.0,Formal,Belmonte Men Formal Steel Cufflinks,Steel,Belmonte,695
90,58845,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Steel Cufflinks,Steel,Hakashi,750
91,14152,Men,Accessories,Cufflinks,Cufflinks,Fall,2011.0,Formal,Belmonte Men Bright Assorted Steel Cufflinks,"Steel, Purple",Belmonte,695
92,39040,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Formal,Belmonte Men Golden Bright Assorted Cufflinks,Gold,Belmonte,695
93,14139,Men,Accessories,Cufflinks,Cufflinks,Fall,2011.0,Formal,Belmonte Men Bright Assorted Steel Cufflinks,"Steel, Gold",Belmonte,695
94,59566,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Black Cufflinks,"Steel, Black",Revv,2670
95,59568,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Black Cufflinks,Steel,Revv,2610
96,14137,Men,Accessories,Cufflinks,Cufflinks,Fall,2011.0,Formal,Belmonte Men Formal Steel Cufflinks,"Steel, Black",Belmonte,695
97,39041,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Formal,Belmonte Men Steel Bright Assorted Cufflinks,Steel,Belmonte,695
98,58844,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Blue Cufflinks,Blue,Hakashi,750
99,14162,Men,Accessories,Cufflinks,Cufflinks,Fall,2011.0,Formal,Belmonte Men Bright Assorted Steel Cufflinks,Steel,Belmonte,695
100,58843,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Hakashi Men Black Cufflinks,Black,Hakashi,850
101,59569,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Purple Cufflinks,"Steel, Purple",Revv,2610
102,59567,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Casual,Revv Men Black and Steel Cufflinks,"Steel, Black",Revv,2670
103,14138,Men,Accessories,Cufflinks,Cufflinks,Fall,2011.0,Formal,Belmonte Men Bright Assorted Steel Cufflinks,Steel,Belmonte,695
104,24647,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Formal,Reid & Taylor Men Bright Assorted Pink Cufflinks,Pink,Reid & Taylor,495
105,24646,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Formal,Reid & Taylor Men Blue Silk Knot Cufflinks,Blue,Reid & Taylor,395
106,24641,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Formal,Reid & Taylor Men Purple Silk Knot Cufflinks,Purple,Reid & Taylor,395
107,24648,Men,Accessories,Cufflinks,Cufflinks,Summer,2012.0,Formal,Reid & Taylor Men Bright Assorted Red Cufflinks,Red,Reid & Taylor,495
