,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Type,Material,Details,Shape,Colour,Brand,Price
0,16957,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Image Men Sunglasses,Aviator Sunglasses,Metal,Regular Lens,Long,Black,Image,2490
1,28200,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Ray-Ban Men Active Lifestyle Copper Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Copper, Brown",Ray-Ban,3290
2,51667,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Louis Philippe Men Grey Sunglasses,Other Sunglasses,Metal,Polarised Lens,Oval,Grey,Louis Philippe,3000
3,21346,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Pal Zileri Men Casual Gold Frame Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Gold, Black",Pal Zileri,8625
4,51693,Unisex,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Van Heusen Unisex Brown Sunglasses,Other Sunglasses,Plastic,Regular Lens,Oval,Brown,Van Heusen,3000
5,28207,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Ray-Ban Men Active Lifestyle Black Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Black,Ray-Ban,3590
6,16950,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Image Men Sunglasses,Other Sunglasses,Metal,Regular Lens,Long,Brown,Image,2490
7,30668,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Park Avenue Men Black Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Black, Brown",Park Avenue,2350
8,51694,Unisex,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Van Heusen Unisex Sunglasses VH216-C2,Rectangle Sunglasses,Plastic,Regular Lens,Oval,Brown,Van Heusen,3000
9,21341,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Pal Zileri Men Casual Steel Frame Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Steel, Brown",Pal Zileri,8625
10,49662,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,United Colors of Benetton Women Sunglass,Other Sunglasses,Plastic,Regular Lens,Oval,Black,United Colors of Benetton,3450
11,20860,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,United Colors of Benetton Women Casual Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Black, Brown",United Colors of Benetton,2499
12,29125,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Vogue Women White Sunglasses,Oversized Sunglasses,Plastic,Not specified,Long,White,vogue,4930
13,21348,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Pal Zileri Men Casual Metal Frame Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Silver, Brown",Pal Zileri,8625
14,51669,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Louis Philippe Men Grey Sunglasses,Not specified,Metal,Regular Lens,Not specified,"Silver, Grey",Louis Philippe,3500
15,16959,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Image Women Classic Eyewear Brown Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Brown,Image,2150
16,30661,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Park Avenue Men Black Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Black,Park Avenue,2750
17,40172,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Men UV protected Sporty Wrap Sunglasses,Other Sunglasses,Not specified,Not specified,Oval,"Black, Brown, Yellow",Fastrack,1899
18,8784,Unisex,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Unisex Brown Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Brown,Fastrack,1795
19,49665,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,United Colors of Benetton Men Sunglass,Other Sunglasses,Plastic,Regular Lens,Oval,Black,United Colors of Benetton,3000
20,16961,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Image Men Sunglasses,Aviator Sunglasses,Metal,Regular Lens,Long,Black,Image,2490
21,40175,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Men Revo Coated Sporty Wrap Sunglasses,Other Sunglasses,Not specified,Not specified,Oval,"Grey, Purple",Fastrack,1999
22,30666,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Park Avenue Men Black Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Black, Purple",Park Avenue,2350
23,28209,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Ray-Ban Men High Street Black Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Black,Ray-Ban,3490
24,20858,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,United Colors of Benetton Women Casual Olive Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Olive,United Colors of Benetton,2499
25,40181,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Men Revo Coated Sporty Wrap Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Grey, Blue",Fastrack,1999
26,21324,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Louis Philippe Men Aviator Sunglasses LP201-C1,Aviator Sunglasses,Metal,UV Protected Lens,Long,"Brown, Gold",Louis Philippe,3750
27,38209,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Polaroid Women Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Silver, Black",Polaroid,4428
28,17222,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,United Colors of Benetton Men Funky Eyewear Blue Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Blue,United Colors of Benetton,3850
29,30269,Men,Accessories,Eyewear,Sunglasses,Summer,2017.0,Casual,Speedo Men Sheet Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Brown,Speedo,2920
30,28296,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Men Sunglasses,Other Sunglasses,Not specified,UV Protected Lens,Long,Black,Fastrack,999
31,38236,Unisex,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Polaroid Unisex Sunglasses,Other Sunglasses,Not specified,Not specified,Oval,Black,Polaroid,3661
32,16109,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,M tv Men My Fab Eyewear Brown Sunglasses,Other Sunglasses,Not specified,Not specified,Long,"Brown, Copper",MTV,1775
33,58549,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Miami Blues Women Sunglasses,Not specified,Plastic,Regular Lens,Not specified,Black,Miami Blues,2315
34,17225,Men,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,United Colors of Benetton Men Funky Eyewear Blue Sunglasses,Other Sunglasses,Not specified,Not specified,Long,Blue,United Colors of Benetton,3650
35,9408,Women,Accessories,Eyewear,Sunglasses,Winter,2016.0,Casual,Fastrack Women Sunglasses,Rectangle Sunglasses,Plastic,UV Protected Lens,Long,Blue,Fastrack,1899
