,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Fine Jewellery,Design,Base Metal,Stone Type,Type,Colour,Brand,Price
0,48311,Women,Accessories,Jewellery,Bracelet,Winter,2012.0,Casual,Pitaraa Women Bronze Beaded Bracelet,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Bronze,Pitaraa,449
1,48781,Women,Accessories,Jewellery,Pendant,Summer,2012.0,Casual,Lucera Women Silver Pendant,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,3000
2,49005,Women,Accessories,Jewellery,Ring,Summer,2012.0,Casual,Lucera Women Silver Ring,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,1225
3,48578,Men,Accessories,Jewellery,Bracelet,Summer,2012.0,Casual,Revv Men Steel Bracelet,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Steel,Revv,4080
4,35322,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Ethnic,Fabindia Women Anusuya Silver Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Fabindia,590
5,42614,Women,Accessories,Jewellery,Jewellery Set,Winter,2016.0,Casual,Estelle Women Earrings & Pendant Set,Fine Jewellery,Not specified,Not specified,Not specified,Pendant and Earrings,Gold,Estelle,1599
6,56214,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Casual,Estelle Women Gold Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Drop Earrings,Gold,Estelle,549
7,52224,Women,Accessories,Jewellery,Necklace and Chains,Summer,2012.0,Casual,Lencia Grey Swarovski Pearl Necklace,Fine Jewellery,Not specified,Silver,Not specified,Not specified,"Silver, Grey",Lencia,8125
8,48786,Women,Accessories,Jewellery,Pendant,Summer,2013.0,Casual,Lucera Women Silver Pendant,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,4325
9,35128,Women,Accessories,Jewellery,Bracelet,Winter,2012.0,Casual,Allen Solly Woman Purple Bangle,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,"Purple, Navy Blue",Allen Solly Woman,295
10,48772,Women,Accessories,Jewellery,Pendant,Summer,2013.0,Casual,Lucera Women Silver Pendant,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,2550
11,53108,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Casual,Fabindia Silver Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Fabindia,360
12,52223,Women,Accessories,Jewellery,Necklace and Chains,Fall,2012.0,Casual,Lencia White Swarovski Pearl Necklace,Fine Jewellery,Not specified,Silver,Not specified,Not specified,"White, Silver",Lencia,8125
13,43735,Women,Accessories,Jewellery,Bangle,Summer,2012.0,Ethnic,Royal Diadem Set of 2 Golden Bangles,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Gold,Royal Diadem,1545
14,48927,Women,Accessories,Jewellery,Ring,Summer,2012.0,Casual,Lucera Women Silver Ring,Fine Jewellery,Not specified,Not specified,Not specified,Not specified,Silver,Lucera,1800
15,56213,Women,Accessories,Jewellery,Earrings,Winter,2016.0,Casual,Estelle Women Gold Earrings,Fine Jewellery,Not specified,Not specified,Not specified,Drop Earrings,Gold,Estelle,499
