,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Pattern,Material,Colour,Brand,Price
0,25947,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Brown Scarf,Not specified,Not specified,Brown,Femella,390
1,25940,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Yellow & Blue Scarf,Not specified,Not specified,"Yellow, Blue",Femella,450
2,25949,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Printed Brown Scarf,Not specified,Not specified,Brown,Femella,390
3,23473,Men,Accessories,Scarves,Scarves,Winter,2015.0,Casual,Lino Perros Men Red Check Scarf,Not specified,Not specified,Red,Lino Perros,795
4,23487,Men,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Arrow Men Grey Scarf,Not specified,Not specified,Grey,Arrow,1499
5,23480,Men,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Arrow Men Grey Check Scarf,Not specified,Not specified,Grey,Arrow,1499
6,23474,Men,Accessories,Scarves,Scarves,Winter,2015.0,Casual,Lino Perros Men Grey Check Scarf,Not specified,Not specified,"Grey, Red",Lino Perros,995
7,25948,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Green Scarf,Not specified,Not specified,Green,Femella,390
8,25941,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Yellow & Brown Scarf,Not specified,Not specified,"Yellow, Brown",Femella,450
9,25946,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Brown Scarf,Not specified,Not specified,Brown,Femella,390
10,11142,Women,Accessories,Scarves,Scarves,Fall,2011.0,Casual,Scullers Women Solid Blue Scarves,Not specified,Not specified,Blue,SCULLERS,699
11,23475,Men,Accessories,Scarves,Scarves,Winter,2015.0,Casual,Lino Perros Men Black Check Scarf,Not specified,Not specified,"Black, White",Lino Perros,995
12,23481,Men,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Arrow Men Purple Check Scarf,Not specified,Not specified,Purple,Arrow,1499
13,23486,Men,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Arrow Men Grey Check Scarf,Not specified,Not specified,Grey,Arrow,1499
14,23472,Men,Accessories,Scarves,Scarves,Winter,2015.0,Casual,Lino Perros Men Purple Scarf,Not specified,Not specified,Purple,Lino Perros,795
15,19236,Men,Accessories,Scarves,Scarves,Fall,2011.0,Casual,Puma Men Solid Off White Scarvf,Not specified,Not specified,Off White,Puma,999
16,47671,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women White & Black Scarf,Not specified,Not specified,"White, Black, Grey",Femella,250
17,35097,Women,Accessories,Scarves,Scarves,Winter,2011.0,Casual,Allen Solly Women Pink  Scarf,Solid,Linen,Pink,Allen Solly,1299
18,35090,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Allen Solly Woman Check Olive Scarf,Not specified,Not specified,Olive,Allen Solly Woman,699
19,16016,Men,Accessories,Scarves,Scarves,Fall,2011.0,Casual,Turtle Check Men White Scarf,Not specified,Not specified,White,Turtle,895
20,16011,Men,Accessories,Scarves,Scarves,Fall,2011.0,Casual,Turtle Check Men Black Scarf,Not specified,Not specified,Black,Turtle,895
21,33992,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Printed Off White Scarf,Not specified,Not specified,Off White,Femella,290
22,16017,Men,Accessories,Scarves,Scarves,Fall,2011.0,Casual,Turtle Check Men Black Scarf,Not specified,Not specified,"Black, Cream",Turtle,895
23,47670,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Cream and Black Printed Scarf,Not specified,Not specified,"Cream, Black",Femella,250
24,47652,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Pink & White Scarf,Not specified,Not specified,"Pink, White",Femella,550
25,59902,Women,Accessories,Scarves,Scarves,Fall,2012.0,Casual,Femella Women White Printed Scarf,Printed,Not specified,"White, Black",Femella,390
26,59905,Women,Accessories,Scarves,Scarves,Fall,2012.0,Casual,Femella Women Pink Printed Scarf,Printed,Not specified,"Pink, Green",Femella,450
27,47663,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Brown Leopard Print Scarf,Not specified,Not specified,Brown,Femella,250
28,33988,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Printed Blue Scarf,Not specified,Not specified,"Blue, Black",Femella,290
29,47664,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Grey & Blue Butterfly Scarf,Not specified,Not specified,"Grey, Blue, Yellow",Femella,250
30,47665,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Blue & White Scarf,Not specified,Not specified,"Blue, White",Femella,390
31,57897,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Black & Grey Scarf,Printed,Not specified,"White, Black, Grey",Femella,250
32,33989,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Printed Blue Scarf,Not specified,Not specified,Blue,Femella,390
33,59904,Women,Accessories,Scarves,Scarves,Fall,2012.0,Casual,Femella Women Pink Scarf,Printed,Not specified,Pink,Femella,390
34,33987,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Check Purple Scarf,Not specified,Not specified,Purple,Femella,490
35,47653,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Yellow & Grey Scarf,Not specified,Not specified,"Yellow, Grey, White",Femella,550
36,59903,Women,Accessories,Scarves,Scarves,Fall,2012.0,Casual,Femella Women Peach Printed Scarf,Printed,Not specified,Peach,Femella,390
37,25939,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women White Scarf,Not specified,Not specified,White,Femella,350
38,23468,Men,Accessories,Scarves,Scarves,Winter,2015.0,Casual,Lino Perros Men Brown Check Scarf,Not specified,Not specified,"Brown, White",Lino Perros,795
39,25937,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Blue Scarf,Not specified,Not specified,Blue,Femella,350
40,23461,Men,Accessories,Scarves,Scarves,Winter,2015.0,Casual,Lino Perros Men Black Check Scarf,Not specified,Not specified,Black,Lino Perros,795
41,23466,Men,Accessories,Scarves,Scarves,Winter,2015.0,Casual,Lino Perros Men Grey Check Scarf,Not specified,Not specified,"Grey, Brown",Lino Perros,995
42,17638,Unisex,Accessories,Scarves,Scarves,Fall,2011.0,Casual,Puma Unisex Graphic Red Scarf,Not specified,Not specified,Red,Puma,1199
43,17636,Unisex,Accessories,Scarves,Scarves,Fall,2011.0,Casual,Puma Unisex Graphic Purple Scarf,Not specified,Not specified,"Purple, Black, Blue",Puma,1199
44,25955,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Maroon Scarf,Not specified,Not specified,Maroon,Femella,290
45,14629,Women,Accessories,Scarves,Scarves,Summer,2011.0,Casual,United Colors of Benetton Women Solid Pink Scarves,Not specified,Not specified,Pink,United Colors of Benetton,1499
46,25952,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Printed Blue Scarf,Not specified,Not specified,"Blue, Cream",Femella,290
47,23467,Men,Accessories,Scarves,Scarves,Winter,2015.0,Casual,Lino Perros Men Beige Check Scarf,Not specified,Not specified,Beige,Lino Perros,795
48,25936,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Purple Scarf,Not specified,Not specified,Purple,Femella,350
49,23460,Men,Accessories,Scarves,Scarves,Winter,2015.0,Casual,Lino Perros Men Brown Check Scarf,Not specified,Not specified,Brown,Lino Perros,595
50,23469,Men,Accessories,Scarves,Scarves,Winter,2015.0,Casual,Lino Perros Men  Grey Striped Scarf,Not specified,Not specified,Grey,Lino Perros,795
51,25938,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Green Scarf,Not specified,Not specified,Green,Femella,350
52,25953,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Printed Red Scarf,Not specified,Not specified,"Red, Cream",Femella,290
53,17637,Unisex,Accessories,Scarves,Scarves,Fall,2011.0,Casual,Puma Unisex Graphic Black Scarf,Not specified,Not specified,"Black, White",Puma,1199
54,25954,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Black Scarf,Not specified,Not specified,Black,Femella,290
55,17639,Women,Accessories,Scarves,Scarves,Fall,2011.0,Casual,Puma Women Darsey Black Scarf,Not specified,Not specified,Black,Puma,999
56,23483,Men,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Arrow Men Blue Check Scarf,Not specified,Not specified,Blue,Arrow,1499
57,23477,Men,Accessories,Scarves,Scarves,Winter,2015.0,Casual,Lino Perros Men Black Stripes Scarf,Not specified,Not specified,Black,Lino Perros,995
58,23470,Men,Accessories,Scarves,Scarves,Winter,2015.0,Casual,Lino Perros Men Black Check Scarf,Not specified,Not specified,"Black, White",Lino Perros,795
59,23484,Men,Accessories,Scarves,Scarves,Fall,2011.0,Casual,Arrow Men Black Striped Scarf,Not specified,Not specified,Black,Arrow,1499
60,23479,Men,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Arrow Men Maroon Check Scarf,Not specified,Not specified,"Maroon, Black",Arrow,999
61,25943,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Printed Yellow Scarf,Not specified,Not specified,"Yellow, Maroon",Femella,450
62,25944,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Yellow & Navy Blue Scarf,Not specified,Not specified,"Yellow, Navy Blue",Femella,450
63,11140,Women,Accessories,Scarves,Scarves,Fall,2011.0,Casual,Scullers Women Solid White Scarves,Not specified,Not specified,White,SCULLERS,699
64,14636,Women,Accessories,Scarves,Scarves,Summer,2011.0,Casual,United Colors of Benetton Women Solid Lavender Scarves,Not specified,Not specified,Lavender,United Colors of Benetton,1499
65,19747,Women,Accessories,Scarves,Scarves,Fall,2011.0,Casual,ADIDAS Originals Women White Scarf,Solid,Cotton,White,ADIDAS Originals,1499
66,14631,Women,Accessories,Scarves,Scarves,Summer,2011.0,Casual,United Colors of Benetton Women Printed Grey Scarves,Not specified,Not specified,Grey,United Colors of Benetton,1299
67,23478,Men,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Arrow Men Brown Check Scarf,Not specified,Not specified,Brown,Arrow,1499
68,23485,Men,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Arrow Men Navy Blue Check Scarf,Not specified,Not specified,Navy Blue,Arrow,1499
69,23471,Men,Accessories,Scarves,Scarves,Winter,2015.0,Casual,Lino Perros Men Red Scarf,Not specified,Not specified,Red,Lino Perros,795
70,23476,Men,Accessories,Scarves,Scarves,Winter,2015.0,Casual,Lino Perros Men Grey Check Scarf,Not specified,Not specified,Grey,Lino Perros,995
71,25945,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Printed Blue Scarf,Not specified,Not specified,Blue,Femella,390
72,11141,Women,Accessories,Scarves,Scarves,Fall,2011.0,Casual,Scullers Women Solid Black Scarves,Not specified,Not specified,Black,SCULLERS,699
73,25942,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Yellow & Green Scarf,Not specified,Not specified,"Yellow, Green",Femella,450
74,35093,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Allen Solly Woman Blue Scarf,Not specified,Not specified,Blue,Allen Solly Woman,1299
75,47672,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Green & Blue Printed Scarf,Not specified,Not specified,"Green, Blue, Black",Femella,390
76,16012,Men,Accessories,Scarves,Scarves,Fall,2011.0,Casual,Turtle Check Men White Scarf,Not specified,Not specified,"White, Black",Turtle,895
77,33990,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Printed Grey Scarf,Not specified,Not specified,"Grey, Magenta",Femella,390
78,16015,Men,Accessories,Scarves,Scarves,Fall,2011.0,Casual,Turtle Check Men Black Scarf,Not specified,Not specified,Black,Turtle,895
79,16014,Men,Accessories,Scarves,Scarves,Fall,2011.0,Casual,Turtle Check Men Maroon Scarf,Not specified,Not specified,"Maroon, Black",Turtle,895
80,16013,Men,Accessories,Scarves,Scarves,Fall,2011.0,Casual,Turtle Check Men Navy Blue Scarf,Not specified,Not specified,Navy Blue,Turtle,895
81,33991,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Printed Red Scarf,Not specified,Not specified,Red,Femella,390
82,35095,Women,Accessories,Scarves,Scarves,Winter,2011.0,Casual,Allen Solly Women Red Scarf,Solid,Linen,Red,Allen Solly,1299
83,35092,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Allen Solly Woman Grey Scarf,Not specified,Not specified,Grey,Allen Solly Woman,899
84,47669,Women,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Femella Women Maroon & White Scarf,Not specified,Not specified,"Maroon, White",Femella,390
85,59906,Women,Accessories,Scarves,Scarves,Fall,2012.0,Casual,Femella Women Green Printed Scarf,Printed,Not specified,Green,Femella,450
86,38307,Men,Accessories,Scarves,Scarves,Summer,2012.0,Casual,Reid & Taylor Men Red & Black Scarf,Not specified,Not specified,"Red, Black",Reid & Taylor,995
87,59901,Women,Accessories,Scarves,Scarves,Summer,2010.0,Casual,Femella Women Grey Scarf,Printed,Not specified,Grey,Femella,290
