,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Pattern,Material,Length,Colour,Brand,Price
0,29114,Men,Accessories,Socks,Socks,Summer,2012.0,Casual,Puma Men Pack of 3 Socks,Solid,"Cotton, Nylon",Above Ankle,"Navy Blue, Grey, Black",Puma,399
1,14603,Men,Accessories,Socks,Socks,Summer,2011.0,Casual,United Colors of Benetton Men Pack of 2 Grey Socks,Not specified,Not specified,Not specified,Grey,United Colors of Benetton,349
2,49230,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Calzini Men Pack of 5 Sports Socks,Not specified,Cotton,Above Ankle,"Black, Grey, Navy Blue",Calzini,795
3,46876,Men,Accessories,Socks,Socks,Summer,2012.0,Casual,Lino Perros Men Pack of 2 Socks,Patterned,"Cotton, Elastane",Above Ankle,"Grey, Black",Lino Perros,249
4,29113,Women,Accessories,Socks,Socks,Summer,2012.0,Casual,Puma Women Pack of 3 Socks,Solid,"Cotton, Nylon",Ankle Length,"White, Pink, Blue",Puma,399
5,14604,Men,Accessories,Socks,Socks,Summer,2011.0,Casual,United Colors of Benetton Men Stripes Green Socks,Not specified,Not specified,Not specified,"Green, White, Black",United Colors of Benetton,299
6,12393,Men,Accessories,Socks,Socks,Summer,2016.0,Formal,Reid & Taylor Men Solid Black Socks,Not specified,Not specified,Not specified,"Black, Blue, Grey",Reid & Taylor,395
7,24295,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Quiksilver Men Black Socks,Not specified,Not specified,Not specified,Black,Quiksilver,595
8,41850,Men,Accessories,Socks,Socks,Winter,2015.0,Casual,Genesis Men Pack of 3 Socks,Solid,"Cotton, Nylon",Above Ankle,"Black, Grey, Brown",Genesis,399
9,24292,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Quiksilver Men High Black Socks,Not specified,Not specified,Not specified,Black,Quiksilver,595
10,36333,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Playboy Men White & Red Socks,Solid,"Cotton, Nylon",Above Ankle,"White, Red",Playboy,145
11,12394,Men,Accessories,Socks,Socks,Summer,2016.0,Formal,Reid & Taylor Men Solid Black Socks,Not specified,Not specified,Not specified,"Black, Blue, Grey",Reid & Taylor,395
12,46878,Men,Accessories,Socks,Socks,Summer,2012.0,Casual,Lino Perros Men Pack of 2 Socks,Striped,Cotton,Above Ankle,"Black, Blue, Grey",Lino Perros,249
13,36393,Men,Accessories,Socks,Socks,Summer,2016.0,Casual,Reid & Taylor Men Blue Socks,Solid,Cotton,Above Ankle,Blue,Reid & Taylor,325
14,24656,Boys,Accessories,Socks,Socks,Fall,2011.0,Casual,ADIDAS Originals Boys White Pack of 3 Casual Socks,Not specified,"Cotton, Elastane",Not specified,White,ADIDAS Originals,699
15,40121,Unisex,Accessories,Socks,Socks,Summer,2012.0,Casual,ADIDAS Unisex Pack of 3 Socks,Solid,"Cotton, Nylon",Above Ankle,"White, Navy Blue, Grey",ADIDAS,599
16,21572,Men,Accessories,Socks,Socks,Winter,2015.0,Casual,Lino Perros Men Pack of Five Striped Socks,Not specified,Not specified,Above Knee,Multi,Lino Perros,795
17,32165,Women,Accessories,Socks,Socks,Summer,2017.0,Casual,Playboy Women Playmate Pink Ankle Socks,Not specified,Not specified,Above Knee,Pink,Playboy,120
18,43562,Men,Accessories,Socks,Socks,Summer,2012.0,Casual,Puma Men White Pack of 3 Socks,Not specified,Not specified,Not specified,White,Puma,399
19,58318,Men,Accessories,Socks,Socks,Summer,2016.0,Sports,Jockey LCESCBRA Men White Pack of 3 Socks 2004,Patterned,Cotton,Above Ankle,White,Jockey,367
