,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Pattern,Material,Colour,Brand,Price
0,35001,Women,Accessories,Stoles,Stoles,Summer,2012.0,Ethnic,Fabindia Women Printed Beige & Black Stole,Not specified,Not specified,"Beige, Black",Fabindia,290
1,35006,Women,Accessories,Stoles,Stoles,Summer,2012.0,Ethnic,Fabindia Women Printed Beige & Black Stole,Not specified,Not specified,"Beige, Black",Fabindia,290
2,35030,Women,Accessories,Stoles,Stoles,Summer,2012.0,Casual,Fabindia Women Grey Stole,Embroidered,Silk,Grey,Fabindia,990
3,35008,Women,Accessories,Stoles,Stoles,Summer,2012.0,Ethnic,Fabindia Women Printed Blue Stole,Not specified,Not specified,Blue,Fabindia,290
4,34979,Women,Accessories,Stoles,Stoles,Summer,2012.0,Ethnic,Fabindia Women Silk Mulberry Printed Beige Stole,Not specified,Not specified,Beige,Fabindia,1190
5,35099,Women,Accessories,Stoles,Stoles,Spring,2013.0,Casual,Allen Solly Women Blue Stole,Not specified,Viscose Rayon,Blue,Allen Solly,1299
6,34977,Women,Accessories,Stoles,Stoles,Summer,2012.0,Ethnic,Fabindia Women Printed Silk Gold Stole,Not specified,Not specified,Gold,Fabindia,1190
7,31895,Women,Accessories,Stoles,Stoles,Summer,2012.0,Ethnic,Fabindia Women Magenta Noil Silk & Wool Stole,Not specified,Not specified,Magenta,Fabindia,1290
8,31892,Women,Accessories,Stoles,Stoles,Summer,2012.0,Ethnic,Fabindia Women Pink Ekko Silk Stole,Not specified,Not specified,Pink,Fabindia,1230
9,34970,Women,Accessories,Stoles,Stoles,Summer,2012.0,Casual,Fabindia Women Off White Printed Stole,Solid,Cotton,"Off White, Maroon, Teal",Fabindia,630
10,35009,Women,Accessories,Stoles,Stoles,Summer,2012.0,Ethnic,Fabindia Women Printed Beige & Black Stole,Not specified,Not specified,"Beige, Black",Fabindia,290
11,35031,Women,Accessories,Stoles,Stoles,Summer,2012.0,Casual,Fabindia Women Blue Stole,Embroidered,Silk,Blue,Fabindia,990
12,35007,Women,Accessories,Stoles,Stoles,Summer,2012.0,Ethnic,Fabindia Women Printed Rust Stole,Not specified,Not specified,Rust,Fabindia,290
13,34313,Women,Accessories,Stoles,Stoles,Summer,2012.0,Ethnic,Fabindia Women Magenta Silk & Wool Ekko Stole,Not specified,Not specified,Magenta,Fabindia,1190
14,35000,Women,Accessories,Stoles,Stoles,Summer,2012.0,Ethnic,Fabindia Women Printed Black Stole,Not specified,Not specified,Black,Fabindia,290
15,34971,Women,Accessories,Stoles,Stoles,Summer,2012.0,Casual,Fabindia Women Off White Printed Stole,Solid,Cotton,"Off White, Red",Fabindia,630
16,31893,Women,Accessories,Stoles,Stoles,Summer,2012.0,Ethnic,Fabindia Women Beige Noil Silk & Wool Stole,Not specified,Not specified,Beige,Fabindia,1290
17,31894,Women,Accessories,Stoles,Stoles,Summer,2012.0,Ethnic,Fabindia Women Black Noil Silk & Wool Stole,Not specified,Not specified,Black,Fabindia,1290
18,34976,Women,Accessories,Stoles,Stoles,Summer,2012.0,Casual,Fabindia Women Cream Printed Stole,Solid,Cotton,"Cream, Brown",Fabindia,630
