,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Pattern,Material,Colour,Brand,Price
0,15948,Men,Accessories,Ties,Ties,Fall,2011.0,Formal,Turtle Men Stripes Burgundy Ties,Not specified,Not specified,"Burgundy, Black",Turtle,695
1,50314,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Park Avenue Men Brown Tie,Woven Design,Microfiber,Brown,Park Avenue,1100
2,15946,Men,Accessories,Ties,Ties,Fall,2011.0,Formal,Turtle Men Solid Black Ties,Not specified,Not specified,"Black, Maroon",Turtle,695
3,50313,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Park Avenue Men Brown Tie,Woven Design,Microfiber,Brown,Park Avenue,1100
4,36367,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Reid & Taylor Men Red Tie,Not specified,Not specified,Red,Reid & Taylor,1195
5,58916,Men,Accessories,Ties,Ties,Summer,2017.0,Casual,Hakashi Men Black Silk Tie,Woven Design,Silk,"Black, Gold",Hakashi,1035
6,36358,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Reid & Taylor Men Red Tie,Not specified,Not specified,Red,Reid & Taylor,1195
7,58911,Men,Accessories,Ties,Ties,Summer,2012.0,Casual,Hakashi Men Grey Silk Tie,Woven Design,Silk,"Grey, Black",Hakashi,930
8,36360,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Reid & Taylor Men Gold Tie,Not specified,Not specified,Gold,Reid & Taylor,1195
9,36356,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Reid & Taylor Men Yellow Patterned Tie,Woven Design,Not specified,Yellow,Reid & Taylor,1195
10,36369,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Reid & Taylor Men Blue Tie,Not specified,Not specified,Blue,Reid & Taylor,1195
11,58918,Men,Accessories,Ties,Ties,Summer,2012.0,Casual,Hakashi Men Red & Black Silk Tie,Not specified,Silk,"Red, Black",Hakashi,1035
12,36351,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Reid & Taylor Men Blue Tie,Not specified,Not specified,Blue,Reid & Taylor,995
13,49690,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Park Avenue Blue Tie,Woven Design,Microfiber,Blue,Park Avenue,899
14,15947,Men,Accessories,Ties,Ties,Fall,2011.0,Formal,Turtle Men Stripes Maroon Ties,Not specified,Not specified,"Maroon, Black",Turtle,695
15,50312,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Park Avenue Men Lavender Tie,Woven Design,Microfiber,Lavender,Park Avenue,1100
16,49697,Men,Accessories,Ties,Ties,Summer,2012.0,Casual,Park Avenue Men Red Tie,Woven Design,Not specified,Red,Park Avenue,899
17,50315,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Park Avenue Men Red Tie,Woven Design,Microfiber,Red,Park Avenue,899
18,15949,Men,Accessories,Ties,Ties,Fall,2011.0,Formal,Turtle Men Check Black Ties,Not specified,Not specified,Black,Turtle,795
19,49699,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Park Avenue Men Red & Brown Striped Tie,Woven Design,Microfiber,"Red, Brown",Park Avenue,899
20,36350,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Reid & Taylor Men Black Tie,Not specified,Not specified,"Black, Blue",Reid & Taylor,995
21,36357,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Reid & Taylor Men Navy Blue Tie,Not specified,Not specified,Navy Blue,Reid & Taylor,1195
22,58919,Men,Accessories,Ties,Ties,Summer,2017.0,Casual,Hakashi Men Purple Silk Tie,Woven Design,Silk,"Purple, Silver",Hakashi,1035
23,36368,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Reid & Taylor Men Blue Tie,Not specified,Not specified,Blue,Reid & Taylor,1195
24,36361,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Reid & Taylor Men Black Tie,Not specified,Not specified,Black,Reid & Taylor,1195
25,58910,Men,Accessories,Ties,Ties,Summer,2012.0,Casual,Hakashi Men Blue Silk Tie,Woven Design,Silk,Blue,Hakashi,910
26,58917,Men,Accessories,Ties,Ties,Summer,2012.0,Casual,Hakashi Men Black Silk Tie,Striped,Silk,"Black, Grey",Hakashi,1035
27,36366,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Reid & Taylor Men Navy Blue Tie,Not specified,Not specified,Navy Blue,Reid & Taylor,1195
28,36359,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Reid & Taylor Men Blue Tie,Not specified,Not specified,Blue,Reid & Taylor,1195
29,49742,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Park Avenue Men Copper Tie,Solid,Microfiber,Copper,Park Avenue,899
30,58891,Men,Accessories,Ties,Ties,Summer,2012.0,Casual,Hakashi Men Lavender Tie,Woven Design,Microfiber,Lavender,Hakashi,750
31,49745,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Park Avenue Men Red Tie,Striped,Microfiber,Red,Park Avenue,899
32,58896,Men,Accessories,Ties,Ties,Summer,2012.0,Casual,Hakashi Men Black & Maroon Tie,Woven Design,Microfiber,"Maroon, Black",Hakashi,765
33,19231,Men,Accessories,Ties,Ties,Summer,2011.0,Formal,United Colors of Benetton Men Striped Navy Blue Tie,Not specified,Not specified,Navy Blue,United Colors of Benetton,1899
34,18773,Men,Accessories,Ties,Ties,Summer,2011.0,Formal,Peter England Men Elite Navy Blue Tie,Not specified,Not specified,"Navy Blue, Blue",Peter England,799
35,18774,Men,Accessories,Ties,Ties,Fall,2011.0,Formal,Peter England Men Elite Purple Tie,Not specified,Not specified,Purple,Peter England,799
36,58898,Men,Accessories,Ties,Ties,Summer,2012.0,Casual,Hakashi Men Black & Grey Silk Tie,Woven Design,Silk,"Grey, Black",Hakashi,795
37,18780,Men,Accessories,Ties,Ties,Summer,2011.0,Formal,Peter England Men Elite Black Tie,Not specified,Not specified,Black,Peter England,699
38,49720,Men,Accessories,Ties,Ties,Summer,2012.0,Casual,Park Avenue Men Grey Tie,Checked,Not specified,Grey,Park Avenue,899
39,49727,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Park Avenue Men Navy Blue Tie,Woven Design,Microfiber,Navy Blue,Park Avenue,899
40,50293,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Parx Men Black Tie,Checked,Microfiber,Black,Parx,1100
41,49711,Men,Accessories,Ties,Ties,Summer,2012.0,Casual,Park Avenue Men Maroon Tie,Not specified,Not specified,Maroon,Park Avenue,899
42,40234,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Provogue Men Black Tie,Not specified,Not specified,"Black, Blue",Provogue,699
43,50294,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Parx Men Black Tie,Checked,Microfiber,Black,Parx,1100
44,49729,Men,Accessories,Ties,Ties,Summer,2012.0,Casual,Park Avenue Men Navy Blue Tie,Woven Design,Not specified,Navy Blue,Park Avenue,899
45,49716,Men,Accessories,Ties,Ties,Summer,2012.0,Casual,Park Avenue Men Blue Tie,Checked,Not specified,Blue,Park Avenue,899
46,18781,Men,Accessories,Ties,Ties,Summer,2011.0,Formal,Peter England Men Elite Blue Tie,Not specified,Not specified,Blue,Peter England,699
47,58899,Men,Accessories,Ties,Ties,Summer,2012.0,Casual,Hakashi Men Grey Silk Tie,Not specified,Silk,Grey,Hakashi,795
48,18775,Men,Accessories,Ties,Ties,Summer,2011.0,Formal,Peter England Men Elite Purple Tie,Not specified,Not specified,Purple,Peter England,799
49,18772,Men,Accessories,Ties,Ties,Summer,2011.0,Formal,Peter England Men Elite Maroon Tie,Not specified,Not specified,"Maroon, Black",Peter England,699
50,19230,Men,Accessories,Ties,Ties,Summer,2011.0,Formal,United Colors of Benetton Men Check Blue Tie,Not specified,Not specified,Blue,United Colors of Benetton,1899
51,49744,Men,Accessories,Ties,Ties,Summer,2012.0,Casual,Park Avenue Men Blue Tie,Striped,Not specified,Blue,Park Avenue,899
52,58897,Men,Accessories,Ties,Ties,Summer,2017.0,Casual,Hakashi Men Black Silk Tie,Not specified,Silk,"Black, Purple, Green",Hakashi,795
53,49743,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Park Avenue Men White Tie,Solid,Microfiber,White,Park Avenue,899
54,58890,Men,Accessories,Ties,Ties,Summer,2012.0,Casual,Hakashi Men Red Tie,Not specified,Microfiber,Red,Hakashi,750
55,49728,Men,Accessories,Ties,Ties,Summer,2012.0,Casual,Park Avenue Men Red Tie,Solid,Not specified,Red,Park Avenue,899
56,50295,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Parx Men Black Tie,Solid,Microfiber,Black,Parx,1100
57,50292,Men,Accessories,Ties,Ties,Summer,2012.0,Formal,Parx Men Grey Tie,Checked,Microfiber,Grey,Parx,1100
58,49710,Men,Accessories,Ties,Ties,Summer,2012.0,Casual,Park Avenue Men Blue Tie,Not specified,Not specified,Blue,Park Avenue,899
59,49719,Men,Accessories,Ties,Ties,Summer,2012.0,Casual,Park Avenue Men Blue Tie,Checked,Not specified,Blue,Park Avenue,899
60,49726,Men,Accessories,Ties,Ties,Summer,2012.0,Casual,Park Avenue Men Grey Tie,Checked,Not specified,Grey,Park Avenue,899
61,49721,Men,Accessories,Ties,Ties,Summer,2012.0,Casual,Park Avenue Men Maroon Tie,Not specified,Not specified,Maroon,Park Avenue,899
