,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Pattern,Material,Type,Colour,Brand,Price
0,41268,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Arrow Men Black Wallet,Not specified,Synthetic Leather,Not specified,Black,Arrow,895
1,14856,Women,Accessories,Wallets,Wallets,Summer,2011.0,Casual,United Colors of Benetton Women Solid Beige Wallets,Not specified,Not specified,Not specified,Beige,United Colors of Benetton,1699
2,33445,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Baggit Women Lamboo Mayur Black Wallet,Not specified,Not specified,Not specified,Black,Baggit,775
3,14869,Men,Accessories,Wallets,Wallets,Summer,2011.0,Casual,United Colors of Benetton Men Solid Black Wallets,Not specified,Not specified,Not specified,Black,United Colors of Benetton,1699
4,17086,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Lino Perros Women Blue Zip Orange Wallet,Solid,Synthetic Leather,Not specified,Orange,Lino Perros,595
5,14851,Women,Accessories,Wallets,Wallets,Summer,2011.0,Casual,United Colors of Benetton Women Solid Coffee Brown Wallets,Not specified,Not specified,Not specified,Coffee Brown,United Colors of Benetton,1999
6,52812,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,JAG Men Black Leather Wallet,Not specified,Leather,Not specified,Black,JAG,759
7,20431,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Baggit Women Tijori Viva Brown Wallet,Solid,Synthetic Leather,Not specified,Brown,Baggit,850
8,17081,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Lino Perros Women Denim Blue Wallet,Solid,Synthetic Leather,Not specified,Blue,Lino Perros,695
9,38298,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Reid & Taylor Men Brown Wallet,Not specified,PU,Not specified,Brown,Reid & Taylor,1795
10,17088,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Lino Perros Women Flower LT.Brown Wallet,Solid,Synthetic Leather,Not specified,Brown,Lino Perros,695
11,14867,Men,Accessories,Wallets,Wallets,Summer,2011.0,Casual,United Colors of Benetton Men Solid Black Wallets,Not specified,Not specified,Not specified,Black,United Colors of Benetton,1899
12,38291,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Reid & Taylor Men Black Wallet,Not specified,Not specified,Not specified,Black,Reid & Taylor,1295
13,41259,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Arrow Men Brown Leather Wallet,Not specified,Leather,Two Fold Wallet,Brown,Arrow,1050
14,14858,Women,Accessories,Wallets,Wallets,Summer,2011.0,Casual,United Colors of Benetton Women Solid Red Wallets,Not specified,Not specified,Not specified,Red,United Colors of Benetton,1699
15,41266,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Arrow Men Brown Wallet,Not specified,Synthetic Leather,Not specified,Brown,Arrow,895
16,36106,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,OTLS Men Laurel Black Wallet,Solid,Synthetic Leather,Two Fold Wallet,Black,OTLS,499
17,43393,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Lino Perros Men Brown Wallet,Not specified,Leather,Not specified,Brown,Lino Perros,799
18,42073,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,American Tourister Men Black Wallet,Not specified,Leather,Not specified,Black,AMERICAN TOURISTER,690
19,42877,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,French Connection Women Maroon Wallet,Not specified,Not specified,Not specified,"Maroon, Black",French Connection,3299
20,38296,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Reid & Taylor Men Brown Wallet,Not specified,Not specified,Not specified,Brown,Reid & Taylor,1595
21,14860,Women,Accessories,Wallets,Wallets,Summer,2011.0,Casual,United Colors of Benetton Women Solid Grey Charcoal Wallets,Not specified,Not specified,Not specified,Charcoal,United Colors of Benetton,1699
22,42848,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,French Connection Women Brown Wallet,Not specified,Not specified,Not specified,Brown,French Connection,3299
23,42074,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,American Tourister Men Black Coin Passcase Wallet,Not specified,Not specified,Not specified,Black,AMERICAN TOURISTER,550
24,43394,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Lino Perros Men Brown Wallet,Not specified,Leather,Not specified,Brown,Lino Perros,799
25,24868,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Reid & Taylor Men Casual Black Wallet,Not specified,Not specified,Not specified,Black,Reid & Taylor,895
26,42080,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,American Tourister Men Black Travel Wallet,Not specified,Synthetic,Not specified,Black,AMERICAN TOURISTER,1650
27,36101,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,OTLS Men Josh Brown Wallet,Solid,Synthetic Leather,Two Fold Wallet,Brown,OTLS,499
28,41261,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Arrow Men Brown Wallet,Not specified,Synthetic Leather,Not specified,Brown,Arrow,1350
29,18058,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Lino Perros Women Solid Purple Wallet,Solid,Synthetic Leather,Not specified,Purple,Lino Perros,695
30,53360,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Puma Woman Pink Big Cat Wallet,Not specified,PU,Not specified,"Pink, Black",Puma,499
31,54383,Women,Accessories,Wallets,Wallets,Summer,2015.0,Casual,Baggit Women Green Wallet,Not specified,Fabric,Not specified,Green,Baggit,875
32,37870,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Hidekraft Men Black Wallet,Not specified,Leather,Not specified,Black,Hidekraft,849
33,31189,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Cabarelli Men Brown Wallet,Not specified,Leather,Not specified,Brown,CABARELLI,1350
34,48141,Women,Accessories,Wallets,Wallets,Winter,2016.0,Casual,Fossil Women Brown Wallet,Not specified,Not specified,Not specified,Brown,Fossil,2500
35,33612,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Lino Perros Women Green Wallet,Not specified,Leather,Not specified,Green,Lino Perros,595
36,37848,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Hidekraft Men Black Wallet,Not specified,Not specified,Not specified,Black,Hidekraft,525
37,48146,Women,Accessories,Wallets,Wallets,Winter,2016.0,Casual,Fossil Women Black and Brown Wallet,Not specified,Not specified,Not specified,"Black, Brown",Fossil,2950
38,38467,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Baggit Women Purple Wallet,Not specified,Not specified,Not specified,Purple,Baggit,700
39,20465,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Baggit Women Red Famous Taj Wallet,Solid,Synthetic Leather,Not specified,Red,Baggit,775
40,23684,Men,Accessories,Wallets,Wallets,Fall,2011.0,Casual,Newhide Brown Men Antique Wallet,Not specified,Not specified,Not specified,Brown,New Hide,220
41,33416,Women,Accessories,Wallets,Wallets,Fall,2012.0,Casual,Baggit Women Purple Wallet,Not specified,Not specified,Not specified,Purple,Baggit,700
42,25741,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Wrangler Women Leather Brown Wallet,Not specified,Not specified,Not specified,Brown,Wrangler,1045
43,33624,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Lino Perros Women Brown Wallet,Not specified,Leather,Not specified,Brown,Lino Perros,395
44,51895,Women,Accessories,Wallets,Wallets,Summer,2016.0,Casual,Nyk Women Brown Wallet,Solid,Synthetic Leather,Not specified,Brown,Nyk,549
45,19514,Men,Accessories,Wallets,Wallets,Fall,2011.0,Casual,Wrangler Leather Men Black Wallets,Not specified,Not specified,Not specified,Black,Wrangler,895
46,18056,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Lino Perros Women Solid Brown Wallet,Solid,Synthetic Leather,Not specified,Brown,Lino Perros,595
47,48170,Women,Accessories,Wallets,Wallets,Winter,2016.0,Casual,Fossil Women Blue Floral Print Wallet,Not specified,Not specified,Not specified,"Blue, Multi",Fossil,2395
48,20496,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Baggit Women Samson Cobra Pink Wallet,Solid,Synthetic Leather,Not specified,Pink,Baggit,725
49,38469,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Baggit Women Magenta Voltage Sapera Wallet,Not specified,Not specified,Not specified,Magenta,Baggit,725
50,48148,Women,Accessories,Wallets,Wallets,Winter,2016.0,Casual,Fossil Women Red Wallet,Not specified,Not specified,Not specified,Red,Fossil,2950
51,47332,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Baggit Women Purple Chata Hosh Wallet,Not specified,Not specified,Not specified,Purple,Baggit,700
52,33623,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Lino Perros Women Blue Wallet,Not specified,Not specified,Not specified,Blue,Lino Perros,395
53,18607,Men,Accessories,Wallets,Wallets,Fall,2011.0,Casual,New Hide Men Antique Brown Wallet,Not specified,Not specified,Not specified,Brown,New Hide,545
54,48177,Women,Accessories,Wallets,Wallets,Winter,2016.0,Casual,Fossil Women Blue Wallet,Not specified,Not specified,Not specified,Blue,Fossil,3195
55,18051,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Lino Perros Women Solid Black Wallet,Solid,Synthetic Leather,Not specified,Black,Lino Perros,495
56,19345,Men,Accessories,Wallets,Wallets,Fall,2011.0,Formal,Reid&Taylor Men Solid Brown Wallet,Not specified,Not specified,Not specified,Brown,Reid & Taylor,995
57,36538,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,United Colors of Benetton Women Blue Wallet,Not specified,Not specified,Not specified,Blue,United Colors of Benetton,1699
58,19513,Men,Accessories,Wallets,Wallets,Fall,2011.0,Casual,Wrangler Leather Men Brown Wallets,Not specified,Not specified,Not specified,Brown,Wrangler,1095
59,51892,Women,Accessories,Wallets,Wallets,Summer,2016.0,Casual,Nyk Women Mushroom Brown Wallet,Solid,Synthetic Leather,Not specified,Mushroom Brown,Nyk,499
60,38297,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Reid & Taylor Men Black Wallet,Not specified,Leather,Not specified,Black,Reid & Taylor,1595
61,42081,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,American Tourister Men Brown Slim Fold Wallet,Not specified,Synthetic,Not specified,Brown,AMERICAN TOURISTER,590
62,41260,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Arrow Men Brown Wallet,Not specified,Synthetic Leather,Not specified,Brown,Arrow,1295
63,43395,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Lino Perros Men Navy Blue Wallet,Not specified,Not specified,Not specified,"Navy Blue, Brown",Lino Perros,799
64,42075,Men,Accessories,Wallets,Wallets,Summer,2015.0,Casual,American Tourister Men Black Wallet,Not specified,Leather,Three Fold Wallet,Black,AMERICAN TOURISTER,690
65,17089,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Lino Perros Women Blue Zip Blue Wallet,Solid,Synthetic Leather,Not specified,Blue,Lino Perros,595
66,14866,Men,Accessories,Wallets,Wallets,Summer,2011.0,Casual,United Colors of Benetton Men Solid Green Wallets,Not specified,Not specified,Not specified,Green,United Colors of Benetton,1699
67,41258,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Arrow Men Black Wallet,Not specified,Synthetic Leather,Not specified,Black,Arrow,1125
68,20861,Women,Accessories,Wallets,Wallets,Fall,2011.0,Casual,United Colors of Benetton Women Casual Grey Wallet,Not specified,Not specified,Not specified,Grey,United Colors of Benetton,1999
69,42072,Unisex,Accessories,Wallets,Wallets,Summer,2012.0,Casual,American Tourister Unisex Black Passport Holder,Not specified,Leather,Passport Holder,Black,AMERICAN TOURISTER,490
70,43392,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Lino Perros Men Brown Wallet,Not specified,Leather,Not specified,Brown,Lino Perros,799
71,14859,Women,Accessories,Wallets,Wallets,Summer,2011.0,Casual,United Colors of Benetton Women Solid Black Wallets,Not specified,Not specified,Not specified,Black,United Colors of Benetton,1999
72,41267,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Arrow Men Black Wallet,Not specified,Synthetic Leather,Not specified,Black,Arrow,995
73,20406,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Baggit Women Zanzil Taj Green Wallet,Solid,Synthetic Leather,Not specified,Green,Baggit,650
74,14850,Men,Accessories,Wallets,Wallets,Summer,2011.0,Casual,United Colors of Benetton Men Solid Black Wallets,Not specified,Not specified,Not specified,Black,United Colors of Benetton,1699
75,52813,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,JAG Men Chocolate Brown Leather Wallet,Not specified,Leather,Not specified,Brown,JAG,699
76,17080,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Lino Perros Women Flower Turquoise Blue Wallet,Solid,Synthetic Leather,Not specified,Blue,Lino Perros,695
77,38299,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Reid & Taylor Men Brown Wallet,Not specified,PU,Not specified,Brown,Reid & Taylor,1795
78,52814,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,JAG Men Black Leather Wallet,Not specified,Leather,Not specified,Black,JAG,699
79,41269,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Arrow Men Brown Wallet,Not specified,Synthetic Leather,Not specified,Brown,Arrow,895
80,14857,Women,Accessories,Wallets,Wallets,Summer,2011.0,Casual,United Colors of Benetton Women Solid Olive Wallets,Not specified,Not specified,Not specified,Olive,United Colors of Benetton,1699
81,47358,Women,Accessories,Wallets,Wallets,Fall,2012.0,Casual,Baggit Women Olive Green Sanjara Jhuti Wallet,Not specified,Not specified,Not specified,Olive,Baggit,800
82,14868,Men,Accessories,Wallets,Wallets,Summer,2011.0,Casual,United Colors of Benetton Men Solid Black Wallets,Not specified,Not specified,Not specified,Black,United Colors of Benetton,1099
83,17087,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Lino Perros Women Blue Zip Purple Wallet,Solid,Synthetic Leather,Not specified,Purple,Lino Perros,595
84,35111,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Allen Solly Men Leather Brown Wallet,Not specified,Not specified,Not specified,Brown,Allen Solly,1099
85,37646,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Wills Lifestyle Women Black Wallet,Not specified,Not specified,Not specified,Black,Wills Lifestyle,1299
86,47155,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Peter England Men Brown Wallet,Not specified,Leather,Not specified,Brown,Peter England,699
87,33410,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Baggit Women Jewel Baby Purple Wallet,Not specified,Not specified,Not specified,Purple,Baggit,975
88,33622,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Lino Perros Women Black Wallet,Not specified,Not specified,Not specified,Black,Lino Perros,395
89,38468,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Baggit Women Green Wallet,Not specified,Not specified,Not specified,Green,Baggit,700
90,20497,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Baggit Women Taker Jhuti Beige Wallet,Solid,Synthetic Leather,Not specified,Beige,Baggit,800
91,47333,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Baggit Women Beige Chata Josh Wallet,Not specified,Not specified,Not specified,Beige,Baggit,700
92,48149,Women,Accessories,Wallets,Wallets,Winter,2016.0,Casual,Fossil Women Black Wallet,Not specified,Not specified,Not specified,Black,Fossil,2500
93,19344,Men,Accessories,Wallets,Wallets,Fall,2011.0,Formal,Reid&Taylor Men Solid Black Wallet,Not specified,Not specified,Not specified,Black,Reid & Taylor,895
94,51893,Women,Accessories,Wallets,Wallets,Summer,2016.0,Casual,Nyk Women Red Wallet,Solid,Synthetic Leather,Not specified,Red,Nyk,499
95,37847,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Hidekraft Men Black Card Holder,Not specified,Not specified,Card Holder,Black,Hidekraft,425
96,18050,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Lino Perros Women Solid Brown Wallet,Solid,Synthetic Leather,Not specified,Brown,Lino Perros,495
97,20464,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Baggit Women Famous Taj Purple Wallet,Solid,Synthetic Leather,Not specified,Purple,Baggit,775
98,25740,Men,Accessories,Wallets,Wallets,Fall,2011.0,Casual,Wrangler Men Casual Black Wallet,Not specified,Not specified,Not specified,Black,Wrangler,745
99,33625,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Lino Perros Women Green Wallet,Not specified,Leather,Not specified,Green,Lino Perros,395
100,23685,Unisex,Accessories,Wallets,Wallets,Fall,2011.0,Casual,Newhide Brown Unisex Antique Passport Holder,Not specified,Leather,Passport Holder,Brown,New Hide,220
101,33417,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Baggit Women Brown Wallet,Not specified,Synthetic,Not specified,Brown,Baggit,700
102,18057,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Lino Perros Women Solid Purple Wallet,Solid,Synthetic Leather,Not specified,Purple,Lino Perros,695
103,48171,Women,Accessories,Wallets,Wallets,Winter,2016.0,Casual,Fossil Women Multicoloured Wallet,Not specified,Not specified,Not specified,"Purple, Multi",Fossil,2395
104,51894,Women,Accessories,Wallets,Wallets,Summer,2016.0,Casual,Nyk Women Mushroom Brown Wallet,Solid,Synthetic Leather,Not specified,Mushroom Brown,Nyk,549
105,19343,Men,Accessories,Wallets,Wallets,Fall,2011.0,Formal,Reid&Taylor Men Solid Black Wallet,Not specified,Not specified,Not specified,Black,Reid & Taylor,895
106,37849,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Hidekraft Men Black Card Holder,Not specified,Not specified,Card Holder,Black,Hidekraft,525
107,33421,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Baggit Women Sprinkle Taj Purple Wallet,Not specified,Not specified,Not specified,Purple,Baggit,900
108,36537,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,United Colors of Benetton Women Grey Wallet,Not specified,Not specified,Not specified,Grey,United Colors of Benetton,1699
109,37876,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Hidekraft Men Brown leather Wallet,Not specified,Leather,Not specified,Brown,Hidekraft,599
110,48147,Women,Accessories,Wallets,Wallets,Winter,2016.0,Casual,Fossil Women Brown Wallet,Not specified,Not specified,Not specified,Brown,Fossil,2950
111,20455,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Baggit Women Lamboo Viva Brown Wallet,Solid,Synthetic Leather,Not specified,Brown,Baggit,825
112,18059,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Lino Perros Women Solid Beige Wallet,Solid,Synthetic Leather,Not specified,Beige,Lino Perros,695
113,38461,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Baggit Women Brown Wallet,Not specified,Not specified,Not specified,Brown,Baggit,800
114,31188,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Cabarelli Men Black Wallet,Not specified,Leather,Not specified,Black,CABARELLI,1350
115,48140,Women,Accessories,Wallets,Wallets,Winter,2016.0,Casual,Fossil Women Brown Wallet,Not specified,Not specified,Not specified,Brown,Fossil,2500
116,37871,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Hidekraft Men Black Wallet,Not specified,Not specified,Not specified,Black,Hidekraft,625
117,12411,Men,Accessories,Wallets,Wallets,Fall,2011.0,Casual,Reid & Taylor Men Solid Black Wallets,Not specified,Not specified,Not specified,Black,Reid & Taylor,995
118,18789,Men,Accessories,Wallets,Wallets,Fall,2011.0,Casual,Peter England Men Elements Brown Wallet,Not specified,Not specified,Not specified,Brown,Peter England,449
119,44268,Men,Accessories,Wallets,Wallets,Summer,2012.0,Formal,Hidekraft Men Black Wallet,Not specified,Not specified,Not specified,Black,Hidekraft,699
120,7618,Men,Accessories,Wallets,Wallets,Summer,2011.0,Casual,Wrangler Men Black Leather Wallet,Not specified,Not specified,Not specified,Black,Wrangler,895
121,52332,Women,Accessories,Wallets,Wallets,Winter,2016.0,Casual,ToniQ Women Black Wallet,Not specified,PU,Not specified,Black,ToniQ,599
122,44257,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Hidekraft Women Pink Wallet,Not specified,Leather,Not specified,Pink,Hidekraft,1049
123,12416,Men,Accessories,Wallets,Wallets,Fall,2011.0,Casual,Reid & Taylor Men Casual Black Wallets,Not specified,Not specified,Not specified,Black,Reid & Taylor,1195
124,51771,Men,Accessories,Wallets,Wallets,Fall,2012.0,Casual,Hidedge Men Black Wallet,Solid,Synthetic Leather,Two Fold Wallet,Black,Hidedge,295
125,47426,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Baggit Women Maroon Wallet,Not specified,Not specified,Not specified,Maroon,Baggit,725
126,18787,Men,Accessories,Wallets,Wallets,Fall,2009.0,Casual,Peter England Men Elements Beige Wallet,Not specified,Not specified,Not specified,Beige,Peter England,449
127,7611,Men,Accessories,Wallets,Wallets,Summer,2011.0,Casual,Wrangler Men Tan Leather Wallet,Not specified,Not specified,Not specified,Tan,Wrangler,1045
128,25090,Men,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Lino Perros Men Leather Brown Wallet,Solid,Synthetic Leather,Not specified,Brown,Lino Perros,799
129,52794,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,JAG Men Black Leather Wallet,Not specified,Leather,Not specified,Black,JAG,859
130,12418,Men,Accessories,Wallets,Wallets,Fall,2011.0,Casual,Reid & Taylor Men Casual Black Wallet,Not specified,Not specified,Not specified,Black,Reid & Taylor,1095
131,42966,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,French Connection Men Black Wallet,Not specified,Not specified,Not specified,Black,French Connection,1699
132,47428,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Baggit Women Brown Auxi Lally Wallet,Not specified,Not specified,Not specified,Brown,Baggit,725
133,25438,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Lee Men Fashion Black Wallet,Not specified,Not specified,Not specified,Black,Lee,799
134,44259,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Hidekraft Women Yellow Wallet,Not specified,Leather,Not specified,Yellow,Hidekraft,949
135,52793,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,JAG Men Chocolate Brown Leather Wallet,Not specified,Leather,Not specified,Brown,JAG,859
136,25097,Men,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Lino Perros Men Leather Black Wallet,Solid,Synthetic Leather,Not specified,Black,Lino Perros,799
137,44266,Men,Accessories,Wallets,Wallets,Summer,2012.0,Formal,Hidekraft Men Brown Wallet,Not specified,Not specified,Not specified,Brown,Hidekraft,575
138,17101,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Lino Perros Women Flower Blue Wallet,Solid,Synthetic Leather,Not specified,Blue,Lino Perros,695
139,27760,Men,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Bulchee Men Brown Wallet,Solid,Synthetic Leather,Not specified,Brown,BULCHEE,499
140,58236,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Baggit Women White Wallet,Not specified,Synthetic Leather,Not specified,White,Baggit,725
141,27767,Men,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Bulchee Men Ufficio Black Wallet,Solid,Synthetic Leather,Not specified,Black,BULCHEE,599
142,17106,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Lino Perros Women Small  Orange Wallet,Solid,Synthetic Leather,Not specified,Orange,Lino Perros,495
143,27793,Men,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Bulchee Men Black Wallet,Solid,Synthetic Leather,Not specified,Black,BULCHEE,899
144,27758,Men,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Bulchee Men Black Wallet,Solid,Synthetic Leather,Not specified,Black,BULCHEE,499
145,8064,Men,Accessories,Wallets,Wallets,Winter,2016.0,Casual,Fastrack Men Black Wallet,Not specified,Leather,Not specified,"Black, White",Fastrack,795
146,20589,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Baggit Women Taj Beige Wallet,Solid,Synthetic Leather,Not specified,Beige,Baggit,975
147,27751,Men,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Bulchee Men Light Brown Wallet,Solid,Synthetic Leather,Not specified,Brown,BULCHEE,499
148,58238,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Baggit Women Pink Wallet,Not specified,Fabric,Not specified,Pink,Baggit,675
149,54401,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Baggit Women Pink Wallet,Not specified,Synthetic Leather,Not specified,Pink,Baggit,775
150,12442,Men,Accessories,Wallets,Wallets,Fall,2011.0,Casual,Timberland Men Casual Brown Wallets,Not specified,Not specified,Not specified,Brown,Timberland,4490
151,12445,Men,Accessories,Wallets,Wallets,Fall,2011.0,Casual,Timberland Men Casual Black Wallets,Not specified,Not specified,Not specified,Black,Timberland,4990
152,20587,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Baggit Women Kungfu Hoor Brown Wallet,Solid,Synthetic Leather,Not specified,Brown,Baggit,975
153,27756,Men,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Bulchee Men Brown Wallet,Solid,Synthetic Leather,Not specified,Brown,BULCHEE,499
154,17108,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Lino Perros Women Small Tan Wallet,Solid,Synthetic Leather,Not specified,Tan,Lino Perros,495
155,27769,Men,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Bulchee Men Black & Brown Wallet,Solid,Synthetic Leather,Not specified,"Black, Brown",BULCHEE,599
156,25439,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Lee Men Fashion Brown Wallet,Not specified,Not specified,Not specified,Brown,Lee,899
157,14970,Men,Accessories,Wallets,Wallets,Fall,2011.0,Formal,Newhide Authentic Wallet,Not specified,Not specified,Not specified,Black,New Hide,495
158,44258,Women,Accessories,Wallets,Wallets,Summer,2012.0,Casual,Hidekraft Women Red Wallet,Not specified,Not specified,Not specified,Red,Hidekraft,975
159,42967,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,French Connection Men Black Wallet,Not specified,Not specified,Not specified,Black,French Connection,1699
160,12419,Men,Accessories,Wallets,Wallets,Fall,2011.0,Casual,Reid & Taylor Men Casual Black Wallets,Not specified,Not specified,Not specified,Black,Reid & Taylor,1195
161,20510,Women,Accessories,Wallets,Wallets,Winter,2015.0,Casual,Baggit Women Era Taj Red Wallet,Solid,Synthetic Leather,Not specified,Red,Baggit,750
162,52792,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,JAG Men Black Leather Wallet,Not specified,Leather,Not specified,Black,JAG,959
163,18786,Men,Accessories,Wallets,Wallets,Summer,2009.0,Casual,Peter England Men Elements Black Wallet,Not specified,Not specified,Not specified,Black,Peter England,399
164,52795,Men,Accessories,Wallets,Wallets,Summer,2012.0,Casual,JAG Men Chocolate Brown Leather Wallet,Not specified,Leather,Not specified,Brown,JAG,799
165,44604,Men,Accessories,Wallets,Wallets,Summer,2012.0,Formal,Van Heusen Men Brown Wallet,Not specified,Leather,Not specified,Brown,Van Heusen,1099
