,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Details,Make,Pattern,Shape,Dial Material,Strap Material,Movement,Display,Strap Closure,Strap Style,Water Resistance,Colour,Brand,Price
0,59263,Women,Accessories,Watches,Watches,Winter,2016.0,Casual,Titan Women Silver Watch,Not specified,Non-Swiss Made,Not specified,Round,Not specified,Synthetic,Automatic,Analogue,Not specified,Not specified,50 m,"Silver, White",Titan,6500
1,30039,Men,Accessories,Watches,Watches,Winter,2016.0,Casual,Skagen Men Black Watch,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Analogue,Not specified,Not specified,Not specified,Black,SKAGEN,8995
2,29928,Men,Accessories,Watches,Watches,Winter,2016.0,Casual,Police Men Black Dial Watch PL12889JVSB,Not specified,Non-Swiss Made,Not specified,Round,Stainless Steel,Metal,Mechanical,Analogue,Not specified,Not specified,100 m,"Black, Beige, Beige",Police,11500
3,17429,Men,Accessories,Watches,Watches,Winter,2016.0,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,"Multi Function, Reset Time, Alarm",Non-Swiss Made,Solid,Round,Metal,Synthetic,Automatic,Digital,Tang,Regular,200 m,Black,CASIO,5495
4,51658,Women,Accessories,Watches,Watches,Winter,2016.0,Casual,Fossil Women Copper Chronograph Watch CH2589,Chronograph,Non-Swiss Made,Not specified,Round,Stainless Steel,Synthetic,Mechanical,Analogue,Not specified,Not specified,100 m,Copper,Fossil,6495
5,23278,Men,Accessories,Watches,Watches,Winter,2016.0,Casual,Maxima Ssteele Men Off White Watch,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Off White, Steel",maxima,2495
6,44984,Women,Accessories,Watches,Watches,Winter,2016.0,Casual,Maxima Women White Dial Watch,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Analogue,Not specified,Not specified,30 m,"White, Black",maxima,1325
7,11188,Men,Accessories,Watches,Watches,Winter,2016.0,Casual,Carrera Men Dial steel finish strap Silver Watches,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Silver, Black",Carrera,11950
8,45258,Men,Accessories,Watches,Watches,Winter,2016.0,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,"Chronograph, Reset Time",Non-Swiss Made,Solid,Round,Stainless Steel,Leather,Mechanical,Analogue,Tang,Regular,Water Resistant,Black,CASIO,3995
9,44970,Men,Accessories,Watches,Watches,Winter,2016.0,Casual,Maxima Men White Dial Analog Chronograph Watch,Chronograph,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Analogue,Not specified,Not specified,30 m,"White, Brown",maxima,1499
10,22950,Unisex,Accessories,Watches,Watches,Winter,2016.0,Casual,Fastrack Unisex Black Dial Watch 9915PP13,Not specified,Non-Swiss Made,Not specified,Round,Not specified,Synthetic,Mechanical,Analogue,Not specified,Not specified,Non-Resistant,Black,Fastrack,690
11,13841,Unisex,Accessories,Watches,Watches,Winter,2016.0,Casual,ADIDAS Unisex Three Small Dials White Watches,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,ADIDAS,2795
12,8110,Men,Accessories,Watches,Watches,Winter,2016.0,Casual,Fastrack Men Economy 2 Analg Black Watch,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Fastrack,995
13,43190,Women,Accessories,Watches,Watches,Winter,2016.0,Casual,Fastrack Women White Dial Watch,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Analogue,Not specified,Not specified,30 m,"White, Black, Red",Fastrack,795
14,32335,Men,Accessories,Watches,Watches,Winter,2016.0,Casual,Q&Q Men Silver-Toned Dial Analogue Watch Q252J404Y,Not specified,Non-Swiss Made,Not specified,Round,Not specified,Stainless Steel,Mechanical,Analogue,Not specified,Not specified,50 m,"Silver, White",Q&Q,1325
