,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Top Type,Bottom Type,Material,Pattern,Neck,Sleeve Length,Top Hemline,Length,Details,Shape,Sleeve,Colour,Brand,Price
0,39140,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Aneri Women Black & Maroon Salwar Suit,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Maroon",Aneri,3749
1,39147,Women,Apparel,Apparel Set,Kurta Sets,Fall,2012.0,Ethnic,Aneri Women Purple Salwar Suit,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Purple, Blue",Aneri,3299
2,24605,Women,Apparel,Apparel Set,Kurta Sets,Fall,2011.0,Ethnic,Vishudh Women Pink Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Poly Chiffon, Pure Cotton","Solid, Yoke or Border, Regular, Solid, Dyed, Solid",Round Neck,Short Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",Straight,Regular Sleeves,"Pink, Mustard",Vishudh,1699
3,54713,Women,Apparel,Apparel Set,Kurta Sets,Fall,2012.0,Ethnic,Shree Women Cream-Coloured & Pink Printed Salwar Suit with Dupatta,Kurta,Salwar,"Polyester, Poly Chiffon, Polyester","Abstract, Large, Regular, Printed, Solid, Solid",Round Neck,Sleeveless,Straight,Knee Length,"Machine Weave, Side Slits",Straight,No Sleeves,"Cream, Pink",Shree,899
4,21915,Women,Apparel,Apparel Set,Kurta Sets,Fall,2011.0,Ethnic,Biba Women Orange & Purple Printed Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Pure Cotton, Pure Cotton","Solid, None, Regular, Printed, Solid",Round Neck,Short Sleeves,Straight,Knee Length,Machine Weave,A-Line,Regular Sleeves,"Orange, Purple",Biba,1699
5,25589,Women,Apparel,Apparel Set,Kurta Sets,Fall,2011.0,Ethnic,Vishudh Women Green Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Poly Chiffon, Pure Cotton","Ethnic Motifs, Small, Regular, Solid, Solid",Round Neck,Sleeveless,Straight,Knee Length,"Machine Weave, Side Slits",Straight,No Sleeves,Green,Vishudh,1699
6,54714,Women,Apparel,Apparel Set,Kurta Sets,Summer,2012.0,Ethnic,Shree Women Charcoal Grey & Sea Green Printed Salwar Suit with Dupatta,Kurta,Salwar,"Polyester, Poly Chiffon, Polyester","Ethnic Motifs, Small, Regular, Printed, Solid",Mandarin Collar,Three-Quarter Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",Straight,Regular Sleeves,"Charcoal, Green",Shree,899
7,21912,Women,Apparel,Apparel Set,Kurta Sets,Fall,2011.0,Ethnic,Biba Women Orange & Purple Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Pure Cotton, Pure Cotton","Solid, Small, Regular, Printed, Printed, Solid",Round Neck,Short Sleeves,Straight,Knee Length,Machine Weave,A-Line,Regular Sleeves,"Orange, Pink",Biba,1699
8,54722,Women,Apparel,Apparel Set,Kurta Sets,Fall,2012.0,Ethnic,Shree Women Yellow & Red Printed Salwar Suit with Dupatta,Kurta,Salwar,"Polyester, Poly Chiffon, Polyester","Floral, Large, Regular, Printed, Solid, Solid",Mandarin Collar,Three-Quarter Sleeves,Straight,Knee Length,"Machine Weave, Side Slits",Straight,Regular Sleeves,"Yellow, Red",Shree,949
9,25587,Women,Apparel,Apparel Set,Kurta Sets,Fall,2011.0,Ethnic,Vishudh Women Black & Purple Printed Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Pure Cotton, Pure Cotton","Solid, None, Regular, Printed, Solid",V-Neck,Sleeveless,Straight,Knee Length,"Machine Weave, Side Slits",Straight,No Sleeves,"Black, Purple",Vishudh,1699
10,21924,Women,Apparel,Apparel Set,Kurta Sets,Fall,2011.0,Ethnic,Biba Women Black Printed Churidar Kurta with Dupatta,Kurta,Churidar,"Pure Cotton, Pure Cotton, Pure Cotton","Solid, None, Regular, Printed, Solid",Mandarin Collar,Three-Quarter Sleeves,Straight,Knee Length,Machine Weave,A-Line,Regular Sleeves,"Black, Brown",Biba,1999
