,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Fit,Length,Material,Pattern,Collar,Sleeve,Weave,Details,Distress,Waist Rise,Colour,Brand,Price
0,39386,Men,Apparel,Bottomwear,Jeans,Summer,2012.0,Casual,Peter England Men Party Blue Jeans,Slim Fit,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Low-Rise,Blue,Peter England,1499.0
1,21379,Men,Apparel,Bottomwear,Track Pants,Fall,2011.0,Casual,Manchester United Men Solid Black Track Pants,Not specified,Not specified,Blended,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Manchester United,1699.0
2,18005,Men,Apparel,Bottomwear,Shorts,Summer,2011.0,Sports,Puma Men Long Logo Black Bermuda,Not specified,Not specified,Polyester,Printed,Not specified,Not specified,Not specified,Not specified,Not specified,Mid-Rise,Black,Puma,1399.0
3,54924,Men,Apparel,Bottomwear,Shorts,Summer,2012.0,Casual,Do U Speak Green Men Blue Shorts,Regular Fit,Not specified,Cotton,Printed,Not specified,Not specified,Not specified,Not specified,Not specified,Mid-Rise,Blue,Do u speak green,465.0
4,28456,Women,Apparel,Bottomwear,Skirts,Summer,2012.0,Sports,Urban Yoga Women Blue Skirt With Leggings,Not specified,Not specified,Not specified,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,Urban Yoga,899.0
5,26994,Women,Apparel,Bottomwear,Jeans,Summer,2012.0,Casual,Jealous 21 Women Black Jeans,Super Skinny Fit,Not specified,"Cotton, Polyester, Elastane",Not specified,Not specified,Not specified,Not specified,Light Fade,Clean Look,Low-Rise,Black,Jealous 21,1599.0
6,10257,Men,Apparel,Bottomwear,Trousers,Fall,2011.0,Formal,John Miller Men Solid Type Black Trousers,Not specified,Not specified,Not specified,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,John Miller,1299.0
7,32563,Women,Apparel,Bottomwear,Trousers,Summer,2012.0,Casual,ONLY Women directoire blue Trousers,Slim Fit,Not specified,"Cotton, Elastane",Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,ONLY,1895.0
8,15341,Women,Apparel,Bottomwear,Shorts,Fall,2011.0,Sports,Nike Women Solid Pink Shorts,Not specified,Not specified,Polyester,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Mid-Rise,Pink,Nike,1095.0
9,7193,Women,Apparel,Bottomwear,Jeans,Fall,2011.0,Casual,Jealous 21 Women Black Jegging,Slim Fit,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Light Fade,Low Distress,Mid-Rise,Black,Jealous 21,999.0
10,17624,Men,Apparel,Bottomwear,Track Pants,Fall,2011.0,Sports,ADIDAS Men Solid Navy Blue Track Pant,Not specified,Not specified,Polyester,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Navy Blue,ADIDAS,1599.0
11,47154,Girls,Apparel,Bottomwear,Capris,Summer,2012.0,Casual,Gini and Jony Girls Black Capris,Not specified,Not specified,Cotton,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,High-Rise,Black,Gini and Jony,799.0
12,13284,Men,Apparel,Bottomwear,Shorts,Fall,2011.0,Casual,Gini and Jony Kids Boys Solid Black Shorts,Not specified,Not specified,Cotton,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Mid-Rise,Black,Gini and Jony,699.0
13,26163,Men,Apparel,Bottomwear,Trousers,Summer,2012.0,Formal,John Miller Men Dark Grey Trousers,Not specified,Not specified,Not specified,Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Grey,John Miller,1599.0
14,40371,Women,Apparel,Bottomwear,Jeans,Summer,2012.0,Casual,Tokyo Talkies Women Navy Slim Fit Jeans,Slim Fit,Regular,"Cotton, Elastane",Not specified,Not specified,Not specified,Not specified,"Light Fade, Non Stretchable",Low Distress,Low-Rise,"Navy Blue, Beige",Tokyo Talkies,799.0
15,34204,Men,Apparel,Bottomwear,Track Pants,Fall,2013.0,Casual,Proline Men Navy Track Pants,Not specified,Not specified,Blended,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Navy Blue,Proline,699.0
16,16508,Men,Apparel,Bottomwear,Jeans,Fall,2011.0,Casual,Locomotive Men Washed Blue Jeans,Slim Fit,Not specified,Cotton,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,High-Rise,Blue,LOCOMOTIVE,1169.0
17,57138,Women,Apparel,Bottomwear,Trousers,Summer,2012.0,Casual,Elle Women Brown Trousers,Not specified,Not specified,"Viscose Rayon, Elastane",Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Mid-Rise,Brown,Elle,1600.0
