,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Fit,Length,Material,Pattern,Collar,Sleeve,Weave,Details,Shape,Colour,Brand,Price
0,39716,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,Arrow Woman Women Blue Dress,Not specified,Above Knee,"Viscose Rayon, Elastane",Solid,V-Neck,Long Sleeves,Knitted,Not specified,Not specified,Blue,Arrow Woman,1499
1,4988,Women,Apparel,Dress,Dresses,Summer,2011.0,Casual,Gini and Jony Girl's Vanya White Polka Dot Kidswear,Not specified,Not specified,Not specified,Printed,Strapless,Not specified,Not specified,Not specified,Fit and Flare,White,Gini and Jony,699
2,31127,Girls,Apparel,Dress,Dresses,Summer,2012.0,Casual,Gini and Jony Girls Black Dress,Not specified,Not specified,Blended,Solid,Strapless,Not specified,Not specified,Not specified,Fit and Flare,Black,Gini and Jony,899
3,10406,Women,Apparel,Dress,Dresses,Fall,2011.0,Casual,United Colors of Benetton Women Solid Grey Dresses,Not specified,Not specified,Cotton,Solid,Boat Neck,Not specified,Not specified,Not specified,Fit and Flare,Grey,United Colors of Benetton,2699
4,6873,Women,Apparel,Dress,Dresses,Summer,2011.0,Casual,Forever New Women's Top Black Dress,Not specified,Not specified,Blended,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Forever New,3800
5,46271,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,109F Blue A-Line Dress,Not specified,Above Knee,Blended,"Embellished, Solid, Solid",V-Neck,Sleeveless,Woven,"No Sleeves, Straight, Opaque",Fit and Flare,Blue,109F,2499
6,59897,Women,Apparel,Dress,Dresses,Fall,2012.0,Casual,Femella Women Yellow Dress,Not specified,Maxi,Not specified,Printed,Round Neck,Sleeveless,Woven,Not specified,A-Line,Yellow,Femella,890
7,36750,Girls,Apparel,Dress,Dresses,Summer,2012.0,Casual,Little Miss Girls Chatterbox Navy Blue Dress,Not specified,Not specified,Cotton,Printed,V-Neck,Not specified,Not specified,Not specified,Fit and Flare,Navy Blue,Little Miss,599
8,46285,Women,Apparel,Dress,Dresses,Summer,2012.0,Casual,109F Women Multi Coloured Dress,Not specified,Above Knee,Blended,"Abstract, Printed",Round Neck,Sleeveless,Woven,"No Sleeves, Straight, Opaque",A-Line,"Multi, Black, Cream",109F,1699
9,6874,Women,Apparel,Dress,Dresses,Summer,2011.0,Casual,Forever New Women Pink Sleeveless Dress,Not specified,Not specified,Blended,Solid,Round Neck,Not specified,Not specified,Not specified,Not specified,Pink,Forever New,2600
