,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Waistband,Length,Material,Pattern,Neck,Details,Back,Coverage,Seam,Assorted,Straps,Waist Rise,Colour,Brand,Price
0,51832,Women,Apparel,Innerwear,Bra,Summer,2016.0,Casual,Bwitch Beige Full-Coverage Bra BW335,Not specified,Not specified,"Cotton, Elastane","Solid, Solid",Not specified,"All Day Comfort, Back Closure, Non Padded, Non-Wired",Regular,Full,Cut and Sew,Not specified,Regular,Not specified,Beige,Bwitch,499
1,17871,Men,Apparel,Innerwear,Briefs,Winter,2016.0,Casual,Levis Men Boxer Maroon Brief,Outer Elastic,Not specified,"Cotton, Elastane","Solid, Solid",Not specified,Not specified,Not specified,Not specified,Not specified,Yes,Not specified,Mid-Rise,Maroon,Levis,225
2,32138,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Playboy Men Blue Titanium Briefs,Inner Elastic,Not specified,"Cotton, Elastane","Typography, Printed",Not specified,Not specified,Not specified,Not specified,Not specified,No,Not specified,Mid-Rise,"Blue, White",Playboy,214
3,17885,Men,Apparel,Innerwear,Innerwear Vests,Summer,2016.0,Casual,Levis Men Comfort Style Grey Innerwear Vest,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Grey,Levis,299
4,25349,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Levis Men Red Brief,Outer Elastic,Not specified,"Cotton, Elastane","Solid, Solid",Not specified,Not specified,Not specified,Not specified,Not specified,Yes,Not specified,Mid-Rise,Red,Levis,225
5,28032,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Jockey ELANCE Men Bikini White Brief 1005,Outer Elastic,Not specified,Cotton,"Solid, Solid",Not specified,Not specified,Not specified,Not specified,Not specified,No,Not specified,Mid-Rise,White,Jockey,149
6,50587,Men,Apparel,Innerwear,Briefs,Summer,2016.0,Casual,Chromozome Men Grey Briefs,Outer Elastic,Not specified,Cotton,"Solid, Solid",Not specified,Not specified,Not specified,Not specified,Not specified,No,Not specified,Low-Rise,Grey,Chromozome,179
7,30462,Women,Apparel,Innerwear,Bra,Summer,2014.0,Casual,Lovable Women All Day Long Black Bra,Not specified,Not specified,Synthetic,"Solid, Solid",Not specified,"All Day Comfort, Back Closure, Non Padded, Non-Wired",Regular,Half,Cut and Sew,Not specified,Regular,Not specified,Black,Lovable,445
8,25382,Men,Apparel,Innerwear,Innerwear Vests,Summer,2016.0,Casual,Levis Men White Innerwear Vest,Not specified,Not specified,Not specified,Not specified,Round Neck,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Levis,269
9,52486,Women,Apparel,Innerwear,Camisoles,Winter,2015.0,Casual,Red Rose Maroon Camisole,Not specified,Not specified,"Cotton, Elastane",Solid,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Maroon,Red Rose,130
