,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Top Type,Bottom Type,Material,Pattern,Neck,Waist Rise,Sleeve Length,Colour,Brand,Price
0,55802,Women,Apparel,Loungewear and Nightwear,Night suits,Summer,2017.0,Casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,Not specified,Not specified,Cotton,Not specified,Round Neck,Not specified,Short Sleeves,"White, Green",SDL by Sweet Dreams,999
1,52472,Women,Apparel,Loungewear and Nightwear,Bath Robe,Winter,2015.0,Casual,Red Rose Women White & Pink Polka Dot Print Bath Robe,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Pink, White",Red Rose,1049
2,27421,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Winter,2015.0,Casual,Jockey Women Blue Lounge Pants,Not specified,Not specified,Cotton,Not specified,Not specified,Mid-Rise,Not specified,"Blue, Grey Melange",Jockey,689
3,55805,Women,Apparel,Loungewear and Nightwear,Night suits,Summer,2017.0,Casual,SDL by Sweet Dreams Women Pink & Black Printed Night Suit S11-3134,Not specified,Not specified,Cotton,Not specified,Round Neck,Not specified,Sleeveless,"Pink, Black",SDL by Sweet Dreams,999
4,27419,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Winter,2015.0,Casual,Jockey Women Black Lounge Pants,Not specified,Not specified,Cotton,Not specified,Not specified,Not specified,Not specified,"Black, Magenta",Jockey,679
5,52475,Women,Apparel,Loungewear and Nightwear,Bath Robe,Winter,2015.0,,Red Rose White & Red Dot Print Bath Robe,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Red",Red Rose,1049
6,51036,Women,Apparel,Loungewear and Nightwear,Nightdress,Summer,2017.0,Casual,Enamor Women Lavender Nightdress,Not specified,Not specified,Cotton,Solid,Not specified,Not specified,Sleeveless,Lime Green,Enamor,925
7,52481,Women,Apparel,Loungewear and Nightwear,Baby Dolls,Winter,2015.0,Casual,Red Rose Pink & Black Nightdress,Not specified,Not specified,Polyester,Printed,V-Neck,Not specified,Not specified,"Pink, Black",Red Rose,689
8,52443,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose White & Green Nightdress,Not specified,Not specified,Nylon,Solid,V-Neck,Not specified,Not specified,"Green, White",Red Rose,632
9,27410,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Summer,2018.0,Casual,Jockey Women Assorted Lounge Pants,Not specified,Not specified,Cotton,Solid,Not specified,Mid-Rise,Not specified,Multi,Jockey,699
10,56225,Men,Apparel,Loungewear and Nightwear,Night suits,Summer,2016.0,Casual,SDL by Sweet Dreams Men Black & Grey Pyjama Set,T-shirt,Pyjamas,"Pure Cotton, Pure Cotton","Abstract, Printed, Printed",Round Neck,Not specified,Short Sleeves,"Black, Grey, ",SDL by Sweet Dreams,1199
11,56222,Men,Apparel,Loungewear and Nightwear,Night suits,Summer,2016.0,Casual,SDL by Sweet Dreams Men Blue & Grey Pyjama Set,T-shirt,Pyjamas,"Pure Cotton, Pure Cotton","Abstract, Printed, Printed",Round Neck,Not specified,Short Sleeves,"Blue, Grey, ",SDL by Sweet Dreams,1099
12,52444,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose White & Purple Nightdress,Not specified,Not specified,Nylon,Solid,V-Neck,Not specified,Not specified,"Purple, White",Red Rose,632
13,52410,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Women Black Nightdress,Not specified,Not specified,Microfiber,Solid,Round Neck,Not specified,Not specified,"Black, Red",Red Rose,717
14,56249,Men,Apparel,Loungewear and Nightwear,Night suits,Summer,2016.0,Casual,SDL by Sweet Dreams Men White Pyjama Set,T-shirt,Pyjamas,"Pure Cotton, Pure Cotton","Checked, Checked, Checked",V-Neck,Not specified,Short Sleeves,"White, Navy Blue, ",SDL by Sweet Dreams,1499
15,50982,Women,Apparel,Loungewear and Nightwear,Robe,Summer,2017.0,Casual,Enamor Women Maroon Robe,Not specified,Not specified,"Polyester, Nylon",Solid,Not specified,Not specified,Short Sleeves,"Maroon, , ",Enamor,1200
16,52417,Women,Apparel,Loungewear and Nightwear,Night suits,Winter,2015.0,Casual,Red Rose Women Red Pyjama Set,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Red Rose,689
17,52428,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Women Peach Nightdress,Not specified,Not specified,Nylon,Printed,V-Neck,Not specified,Not specified,"Peach, Grey",Red Rose,689
18,52421,Women,Apparel,Loungewear and Nightwear,Nightdress,Summer,2017.0,Casual,Red Rose Women Multi Coloured Nightdress,Not specified,Not specified,Not specified,Printed,V-Neck,Not specified,Short Sleeves,"Multi, , ",Red Rose,574
19,56247,Men,Apparel,Loungewear and Nightwear,Night suits,Summer,2016.0,Casual,SDL by Sweet Dreams Men Grey & Blue Pyjama Set,T-shirt,Pyjamas,"Pure Cotton, Pure Cotton","Checked, Checked, Checked",V-Neck,Not specified,Short Sleeves,"Grey Melange, Navy Blue, ",SDL by Sweet Dreams,1499
20,41694,Men,Apparel,Loungewear and Nightwear,Lounge Pants,Summer,2016.0,Casual,Superman Men Black Printed Lounge Pants,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Red, Blue",Superman,799
21,54983,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Summer,2017.0,Casual,Femella Women Pink Lounge Pants,Not specified,Not specified,Not specified,Not specified,Not specified,Mid-Rise,Not specified,Pink,Femella,590
22,54977,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Summer,2017.0,Casual,Femella Women Blue Lounge Pants,Not specified,Not specified,Not specified,Not specified,Not specified,Mid-Rise,Not specified,"Blue, White",Femella,750
23,41693,Men,Apparel,Loungewear and Nightwear,Lounge Pants,Summer,2016.0,Casual,Superman Men Blue Printed Lounge Pants,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Navy Blue, Red",Superman,799
24,56240,Men,Apparel,Loungewear and Nightwear,Night suits,Summer,2016.0,Casual,SDL by Sweet Dreams Men Grey & Blue Pyjama Set,T-shirt,Pyjamas,"Pure Cotton, Pure Cotton","Abstract, Printed, Printed",Shirt Collar,Not specified,Short Sleeves,"Navy Blue, Grey, ",SDL by Sweet Dreams,1299
25,52426,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Women Blue Nightdress,Not specified,Not specified,Microfiber,Printed,V-Neck,Not specified,Not specified,"Blue, Multi",Red Rose,545
26,54984,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Summer,2017.0,Casual,Femella Women Printed Blue Lounge Pants,Not specified,Not specified,Not specified,Not specified,Not specified,Mid-Rise,Not specified,Blue,Femella,590
27,52419,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Women Coffee Brown Nightdress,Not specified,Not specified,Microfiber,Printed,Round Neck,Not specified,Not specified,"Coffee Brown, Cream",Red Rose,574
28,52021,Women,Apparel,Loungewear and Nightwear,Lounge Tshirts,Summer,2016.0,Casual,Inaya Women Lounge Top,Not specified,Not specified,Cotton,Not specified,Round Neck,Not specified,Short Sleeves,Brown,Inaya,1050
29,52445,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Pink & Black Nightdress,Not specified,Not specified,Nylon,Printed,V-Neck,Not specified,Not specified,"Pink, Black",Red Rose,517
30,56223,Men,Apparel,Loungewear and Nightwear,Night suits,Summer,2016.0,Casual,SDL by Sweet Dreams Men Brown Pyjama Set,T-shirt,Pyjamas,"Pure Cotton, Pure Cotton","Abstract, Printed, Printed",Round Neck,Not specified,Short Sleeves,"Brown, , ",SDL by Sweet Dreams,1199
31,51802,Women,Apparel,Loungewear and Nightwear,Nightdress,Summer,2016.0,Casual,Bwitch  Navy Blue  Nightdress,Not specified,Not specified,Polyester,Solid,Not specified,Not specified,Not specified,"Navy Blue, , ",Bwitch,799
32,22994,Men,Apparel,Loungewear and Nightwear,Lounge Pants,Summer,2016.0,Sports,2go Active Gear USA Men Charcoal Tiger Lounge Pants,Not specified,Not specified,Cotton,Not specified,Not specified,Not specified,Not specified,"Charcoal, Red, ",2go ACTIVE GEAR USA,655
33,55832,Women,Apparel,Loungewear and Nightwear,Nightdress,Summer,2017.0,Casual,SDL by Sweet Dreams Women White Printed Nightdress,Not specified,Not specified,Cotton,Printed,Round Neck,Not specified,Short Sleeves,"Purple, White",SDL by Sweet Dreams,899
34,56224,Men,Apparel,Loungewear and Nightwear,Night suits,Summer,2016.0,Casual,SDL by Sweet Dreams Men Grey Pyjama Set,T-shirt,Pyjamas,"Pure Cotton, Pure Cotton","Abstract, Printed, Printed",Round Neck,Not specified,Short Sleeves,"Grey, Black",SDL by Sweet Dreams,1199
35,52442,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Red Nightdress,Not specified,Not specified,Nylon,Solid,Halter Neck,Not specified,Not specified,Red,Red Rose,597
36,13624,Men,Apparel,Loungewear and Nightwear,Lounge Shorts,Summer,2016.0,Casual,Hanes Men Knitted Red Shorts,Not specified,Not specified,Cotton,Solid,Not specified,Mid-Rise,Not specified,"Red, Grey, ",Hanes,485
37,27411,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Winter,2015.0,Casual,Jockey Women Maroon Lounge Pants,Not specified,Not specified,"Blended, Elastane",Not specified,Not specified,Not specified,Not specified,Maroon,Jockey,689
38,55804,Women,Apparel,Loungewear and Nightwear,Night suits,Summer,2017.0,Casual,SDL by Sweet Dreams Women Multicoloured Striped Night Suit S11-3129,Not specified,Not specified,Cotton,Not specified,Round Neck,Not specified,Sleeveless,Multi,SDL by Sweet Dreams,1099
39,52480,Women,Apparel,Loungewear and Nightwear,Baby Dolls,Winter,2015.0,Casual,Red Rose Blue & Black Nightdress,Not specified,Not specified,Polyester,Printed,V-Neck,Not specified,Not specified,"Blue, Black",Red Rose,689
40,27427,Women,Apparel,Loungewear and Nightwear,Lounge Shorts,Winter,2015.0,Casual,Jockey Women Purple Lounge Shorts 1308,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,Jockey,499
41,52474,Women,Apparel,Loungewear and Nightwear,Bath Robe,Winter,2015.0,Casual,Red Rose Women White & Blue Polka Dot Print Bath Robe,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Blue, White",Red Rose,1049
42,55803,Women,Apparel,Loungewear and Nightwear,Night suits,Summer,2017.0,Casual,SDL by Sweet Dreams Women Purple Printed Night Suit S11-3127,Not specified,Not specified,Cotton,Not specified,Round Neck,Not specified,Short Sleeves,Purple,SDL by Sweet Dreams,799
43,52473,Women,Apparel,Loungewear and Nightwear,Bath Robe,Summer,2017.0,Casual,Red Rose Women Pink & White Bath Robes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Pink",Red Rose,1049
44,52017,Women,Apparel,Loungewear and Nightwear,Night suits,Summer,2017.0,Casual,Inaya Women Black Pyjama Set,T-shirt,Pyjamas,"Polyester, Polyester","Solid, Solid, Solid",Round Neck,Not specified,Short Sleeves,"Black, Orange",Inaya,1250
45,27420,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Winter,2015.0,Casual,Jockey Women Grey Lounge Pants,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Grey, Turquoise Blue",Jockey,689
46,52427,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Cream Nightdress,Not specified,Not specified,Nylon,Solid,V-Neck,Not specified,Not specified,Cream,Red Rose,689
47,56241,Men,Apparel,Loungewear and Nightwear,Night suits,Summer,2016.0,Casual,SDL by Sweet Dreams Men Blue & Grey Pyjama Set,T-shirt,Pyjamas,"Pure Cotton, Pure Cotton","Solid, Solid, Solid",Shirt Collar,Not specified,Short Sleeves,"Navy Blue, Grey, ",SDL by Sweet Dreams,1399
48,54985,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Summer,2017.0,Casual,Femella Women Printed Blue Lounge Pants,Not specified,Not specified,Not specified,Not specified,Not specified,Mid-Rise,Not specified,Blue,Femella,590
49,52418,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Women Cream Nightdress,Not specified,Not specified,Microfiber,Printed,V-Neck,Not specified,Not specified,"Off White, Black",Red Rose,574
50,52420,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Women Cream & Blue Nightdress,Not specified,Not specified,Microfiber,Printed,V-Neck,Not specified,Not specified,"Cream, Blue",Red Rose,574
51,54982,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Summer,2017.0,Casual,Femella Women Printed Blue Lounge Pants,Not specified,Not specified,Not specified,Not specified,Not specified,Mid-Rise,Not specified,Blue,Femella,590
52,52416,Women,Apparel,Loungewear and Nightwear,Night suits,Winter,2015.0,Casual,Red Rose Women Purple Pyjama Set,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,Red Rose,689
53,52429,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Women White Nightdress,Not specified,Not specified,Nylon,Printed,V-Neck,Not specified,Not specified,"White, Grey",Red Rose,689
54,52411,Women,Apparel,Loungewear and Nightwear,Nightdress,Winter,2015.0,Casual,Red Rose Maroon Nightdress,Not specified,Not specified,Microfiber,Solid,Not specified,Not specified,Not specified,Maroon,Red Rose,717
