,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Border,Blouse,Material,Pattern,Details,Colour,Brand,Price
0,59607,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Pink & Grey Wedding Collection Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Grey, Pink",FNF,9000.0
1,59638,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Green Wedding Collection Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Green, Maroon, Gold",FNF,9000.0
2,56684,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Fabindia Beige & Maroon Mull Printed Saree,Printed,Blouse Piece,"Cotton Blend, Cotton Blend","Ethnic Motifs, Printed",Not specified,"Beige, Maroon",Fabindia,1330.0
3,59600,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Rust Wedding Collection Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Rust, Green, Gold",FNF,9000.0
4,59636,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Sea Green Collection For Wedding Sari,Not specified,Not specified,Not specified,Not specified,Not specified,Sea Green,FNF,9000.0
5,59609,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Khaki Collection for Wedding Sari,Not specified,Not specified,Not specified,Not specified,Not specified,Khaki,FNF,9000.0
6,59631,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Red & Gold Collection for Wedding Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Red, Gold",FNF,9000.0
7,46010,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Fabindia Maroon Printed Saree,Printed,Without Blouse Piece,Cotton Blend,"Ethnic Motifs, Printed",Not specified,Maroon,Fabindia,1230.0
8,59665,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Pink & Yellow Printed Evening Wear Sari,Not specified,Not specified,"Polycotton, Polycotton",Not specified,Not specified,"Yellow, Pink",FNF,3630.0
9,52883,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Printed Blue Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"Blue, White",FNF,1598.0
10,57961,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Prafful Women Black & Grren Sari,Not specified,Not specified,"Polycotton, Polycotton",Not specified,Not specified,"Black, Green",Prafful,889.0
11,52877,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Multi Coloured Sari,Not specified,Not specified,"Poly Georgette, Poly Georgette",Not specified,Not specified,"White, Blue",FNF,1598.0
12,57959,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Prafful Turquoise Blue Printed Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,Turquoise Blue,Prafful,899.0
13,57966,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Prafful Multi Coloured Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,Multi,Prafful,899.0
14,52884,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Orange Printed Sari,Not specified,Not specified,"Poly Georgette, Poly Georgette",Not specified,Not specified,"Orange, Red",FNF,2798.0
15,59662,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Multi Colour Evening Wear Sari,Not specified,Not specified,"Polycotton, Polycotton",Not specified,Not specified,"Multi, Red, Yellow",FNF,3940.0
16,52879,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Magenta Printed Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"Magenta, White, Green",FNF,2666.0
17,59654,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Purple Evening Wear Sari,Not specified,Not specified,"Polycotton, Polycotton",Not specified,Not specified,"Purple, Magenta, Orange",FNF,3630.0
18,57968,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Prafful Rust Sari,Not specified,Not specified,"Polycotton, Polycotton",Not specified,Not specified,"Rust, Green",Prafful,899.0
19,59653,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Green & Pink Evening Wear Sari,Not specified,Not specified,"Polycotton, Polycotton",Not specified,Not specified,"Green, Pink",FNF,4550.0
20,57957,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Prafful Multi Coloured Sari,Not specified,Not specified,"Polycotton, Polycotton",Not specified,Not specified,Multi,Prafful,899.0
21,59630,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Orange Wedding Collection Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Orange, Maroon",FNF,9000.0
22,59637,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Maroon & Green Collection For Wedding Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Maroon, Green",FNF,9000.0
23,59608,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Magenta & Gold Collection for Wedding Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Magenta, Gold, Gold",FNF,9000.0
24,59601,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,FNF Brown Wedding Collection Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Brown, Teal",FNF,9000.0
25,59606,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Pink Collection for Wedding Wear Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Pink, Gold",FNF,9000.0
26,56685,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Fabindia Black Mull Printed Saree,Printed,Blouse Piece,"Cotton Blend, Cotton Blend","Ethnic Motifs, Printed",Not specified,Black,Fabindia,1330.0
27,59639,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Green Wedding Collection Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Green, White, Black",FNF,9000.0
28,57969,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Prafful Women Black & Grren Sari,Not specified,Not specified,"Polycotton, Polycotton",Not specified,Not specified,"Black, Green",Prafful,899.0
29,57956,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Prafful Green Printed Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Green, Navy Blue",Prafful,899.0
30,59652,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Mustard & Purple Evening Wear Sari,Not specified,Not specified,"Polycotton, Polycotton",Not specified,Not specified,"Purple, Mustard, Blue",FNF,3546.0
31,52878,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,FNF Red Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Red, White, Green",FNF,1598.0
32,59655,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Purple Printed Evening Wear Sari,Not specified,Not specified,"Polycotton, Polycotton",Not specified,Not specified,"Green, Purple",FNF,3546.0
33,57958,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Prafful Green Printed Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"Green, Grey",Prafful,899.0
34,59663,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Green Printed Evening Wear Sari,Not specified,Not specified,"Polycotton, Polycotton",Not specified,Not specified,"Green, Red",FNF,3850.0
35,52885,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Orange & Purple Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"Purple, Orange",FNF,2798.0
36,57967,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,Prafful Green Printed Sari,Not specified,Not specified,Not specified,Not specified,Not specified,"Green, Brown",Prafful,899.0
37,46011,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Fabindia Maroon Sari,No Border,Without Blouse Piece,Cotton Blend,"Solid, Solid",Not specified,Maroon,Fabindia,2960.0
38,57960,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,Prafful Beige Printed Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"Beige, Pink",Prafful,899.0
39,52876,Women,Apparel,Saree,Sarees,Fall,2012.0,Ethnic,FNF Multi Coloured Printed Sari,Not specified,Not specified,"Poly Georgette, Poly Georgette",Not specified,Not specified,Multi,FNF,1598.0
40,52882,Women,Apparel,Saree,Sarees,Summer,2012.0,Ethnic,FNF Printed Peach Sari,Not specified,Not specified,"Cotton Blend, Cotton Blend",Not specified,Not specified,"White, Peach",FNF,1598.0
