,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Fit,Length,Shape,Material,Pattern,Collar,Sleeve,Sleeve Styling,Fabric Purity,Weave,Details,Colour,Brand,Price
0,15970,Men,Apparel,Topwear,Shirts,Fall,2011.0,Casual,Turtle Check Men Navy Blue Shirt,Slim Fit,Not specified,Not specified,Cotton,Checked,Spread Collar,Long Sleeves,Not specified,Not specified,Not specified,Not specified,"Navy Blue, White",Turtle,1195
1,53759,Men,Apparel,Topwear,Tshirts,Summer,2012.0,Casual,Puma Men Grey T-shirt,Regular Fit,Not specified,Not specified,Polyester,Solid,Polo Collar,Short Sleeves,Not specified,Not specified,Not specified,Not specified,Grey,Puma,1099
2,1855,Men,Apparel,Topwear,Tshirts,Summer,2011.0,Casual,Inkfruit Mens Chain Reaction T-shirt,Regular Fit,Not specified,Not specified,Cotton,Printed,Round Neck,Short Sleeves,Not specified,Not specified,Not specified,Not specified,Grey,Inkfruit,499
3,30805,Men,Apparel,Topwear,Shirts,Summer,2012.0,Ethnic,Fabindia Men Striped Green Shirt,Regular Fit,Not specified,Not specified,Cotton,Striped,Spread Collar,Long Sleeves,Not specified,Not specified,Not specified,Not specified,Green,Fabindia,630
4,26960,Women,Apparel,Topwear,Shirts,Summer,2012.0,Casual,Jealous 21 Women Purple Shirt,Regular Fit,Not specified,Not specified,Cotton,Solid,Not specified,Short Sleeves,Not specified,Not specified,Not specified,Not specified,Purple,Jealous 21,699
5,12369,Men,Apparel,Topwear,Shirts,Fall,2011.0,Formal,Reid & Taylor Men Check Purple Shirts,Regular Fit,Not specified,Not specified,Cotton,Checked,Spread Collar,Long Sleeves,Not specified,Not specified,Not specified,Not specified,Purple,Reid & Taylor,1995
6,42419,Girls,Apparel,Topwear,Tops,Summer,2012.0,Casual,Gini and Jony Girls Knit White Top,Not specified,Not specified,Not specified,Not specified,Printed,Not specified,Short Sleeves,Not specified,Not specified,Not specified,Not specified,"White, Blue, ",Gini and Jony,299
7,13089,Men,Apparel,Topwear,Sweatshirts,Fall,2011.0,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,Not specified,Not specified,Not specified,Cotton,Solid,Not specified,Long Sleeves,Not specified,Not specified,Not specified,Not specified,"Grey, Maroon",ADIDAS,2699
8,7990,Men,Apparel,Topwear,Tshirts,Fall,2011.0,Sports,Fila Men's Round Neck Navy Blue T-shirt,Regular Fit,Not specified,Not specified,Synthetic,Printed,Round Neck,Short Sleeves,Not specified,Not specified,Not specified,Not specified,Navy Blue,FILA,649
9,37812,Men,Apparel,Topwear,Shirts,Summer,2012.0,Formal,John Players Men Navy Blue Shirt,Slim Fit,Not specified,Not specified,Cotton,Solid,Spread Collar,Long Sleeves,Cap Sleeves,Not specified,Not specified,Not specified,Navy Blue,John Players,1599
10,4729,Boys,Apparel,Topwear,Tshirts,Summer,2011.0,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,Regular Fit,Regular,Not specified,Cotton,"Solid, Printed",Round Neck,Short Sleeves,Regular Sleeves,Not specified,Not specified,Not specified,Green,Disney,649
11,56825,Men,Apparel,Topwear,Shirts,Summer,2012.0,Casual,John Players Men Brown Shirt,Regular Fit,Not specified,Not specified,Cotton,Checked,Spread Collar,Short Sleeves,Not specified,Not specified,Not specified,Not specified,"Brown, Purple",John Players,949
12,20099,Women,Apparel,Topwear,Kurtas,Fall,2011.0,Ethnic,Diva Women Embroided Green Kurta,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Green, , ",DIVA,799
13,3954,Women,Apparel,Topwear,Tshirts,Summer,2011.0,Casual,Jealous 21 Women's Pink T-shirt,Regular Fit,Not specified,Not specified,Cotton,Printed,Not specified,Short Sleeves,Not specified,Not specified,Not specified,Not specified,Pink,Jealous 21,599
14,28690,Women,Apparel,Topwear,Kurtas,Summer,2012.0,Ethnic,W Women Printed Beige Kurta,Not specified,Not specified,Not specified,Dupion Silk,Jacquard,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Beige,W,999
