,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Sole Material,Pattern,Material,Fastening,Fit,Type,Colour,Brand,Price
0,18653,Men,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,Fila Men Cush Flex Black Slippers,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Blue",FILA,799
1,46885,Boys,Footwear,Flip Flops,Flip Flops,Fall,2012.0,Casual,Ben 10 Boys Navy Blue Slippers,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Navy Blue, Red, Green",Ben 10,399
2,19123,Men,Footwear,Flip Flops,Flip Flops,Fall,2011.0,Casual,Lotto Men XL Water Man Silver Slippers,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Silver, Navy Blue",Lotto,749
3,43369,Men,Footwear,Flip Flops,Flip Flops,Summer,2013.0,Casual,Reebok Men Black Possession Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Thong Flip-Flops,Black,Reebok,3999
4,8746,Unisex,Footwear,Flip Flops,Flip Flops,Summer,2015.0,Casual,Crocs Kids Navy Blue Clogs,Not specified,Not specified,Synthetic,Slip-On,Not specified,Not specified,Navy Blue,Crocs,1495
5,49839,Women,Footwear,Flip Flops,Flip Flops,Winter,2012.0,Casual,iPanema Women Red Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Red, White",iPanema,899
6,30234,Men,Footwear,Flip Flops,Flip Flops,Summer,2012.0,Casual,Numero Uno Men Black Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Numero Uno,599
7,35574,Men,Footwear,Flip Flops,Flip Flops,Summer,2013.0,Casual,Gliders Men Esquire Red Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Gliders,199
8,21180,Men,Footwear,Flip Flops,Flip Flops,Summer,2011.0,Casual,ADIDAS Men Adi Cells Black Flip Flops,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,ADIDAS,399
9,5630,Women,Footwear,Flip Flops,Flip Flops,Summer,2011.0,Casual,ADIDAS Women's Adi Groove Blue Flip Flop,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Blue,ADIDAS,1099
10,44517,Men,Footwear,Flip Flops,Flip Flops,Summer,2013.0,Casual,Coolers Men Brown Pokar Flip Flops,Rubber,Printed,Not specified,Not specified,Not specified,Thong Flip-Flops,Brown,Coolers,349
