,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Sole Material,Pattern,Material,Minimum Shelf Life in Months,Fastening,Fit,Type,Colour,Brand,Price
0,12967,Men,Footwear,Sandal,Sandals,Fall,2011.0,Casual,ADIDAS Men Spry M Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Navy Blue, Yellow",ADIDAS,1799.0
1,8574,Women,Footwear,Sandal,Sandals,Fall,2011.0,Casual,Crocs Dora Boots Pink Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Crocs,1295.0
2,11940,Men,Footwear,Sandal,Sandals,Summer,2011.0,Casual,Ganuchi Men Casual Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Ganuchi,1499.0
3,33648,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Lotto Men Ridge Brown Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Lotto,1299.0
4,18495,Men,Footwear,Sandal,Sandals,Fall,2011.0,Casual,Puma Men Fashion Cat White Slipper,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Puma,999.0
5,41866,Men,Footwear,Sandal,Sandals,Fall,2015.0,Casual,Estd. 1977 Men Beige & Green Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Beige, Green, Beige",Estd. 1977,1880.0
6,44528,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Coolers Men Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Coolers,1699.0
7,41859,Men,Footwear,Sandal,Sandals,Summer,2016.0,Casual,Estd. 1977 Men Black Sandals,Synthetic,Not specified,Leather,Not specified,Slip-On,Not specified,Not specified,Black,Estd. 1977,2280.0
8,22537,Men,Footwear,Sandal,Sandals,Summer,2013.0,Casual,Gas Men Eldorado Tan Casual  Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Tan,GAS,3800.0
9,22153,Men,Footwear,Sandal,Sandals,Summer,2011.0,Casual,Lee Cooper Men Brown Casual Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Lee Cooper,1485.0
10,43958,Men,Footwear,Sandal,Sandals,Fall,2012.0,Casual,Puma Men Olive Techno Ind Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Olive, Black",Puma,1399.0
11,22361,Men,Footwear,Sandal,Sports Sandals,Summer,2012.0,Casual,Reebok Men Navy Twist Sandals,Not specified,Not specified,Synthetic,Not specified,Velcro,Not specified,Not specified,Navy Blue,Reebok,1299.0
12,41861,Men,Footwear,Sandal,Sandals,Summer,2016.0,Casual,Estd. 1977 Men Black Sandals,Synthetic,Not specified,Leather,Not specified,Slip-On,Not specified,Not specified,Black,Estd. 1977,2380.0
13,5608,Men,Footwear,Sandal,Sandals,Summer,2011.0,Casual,ADIDAS Men Kendall Black Navy Floater,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,ADIDAS,1699.0
14,47198,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Franco Leone Men Brown Sandals,Not specified,Not specified,Leather,Not specified,Not specified,Not specified,Not specified,Brown,Franco Leone,1395.0
15,11947,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Ganuchi Men Casual Olive Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Olive,Ganuchi,699.0
16,19927,Men,Footwear,Sandal,Sandals,Fall,2011.0,Casual,ADIDAS Men Receptor Grey Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Grey, Black",ADIDAS,1799.0
17,11978,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,FILA Men Aruba Navy Blue Sandal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Navy Blue, Grey",FILA,1299.0
18,35587,Men,Footwear,Sandal,Sandals,Summer,2013.0,Casual,Gliders Men Brown Leather Sandals,Rubber,Not specified,Leather,Not specified,Velcro,Not specified,Not specified,Brown,Gliders,1999.0
19,20869,Men,Footwear,Sandal,Sandals,Fall,2011.0,Casual,Fila Men Camper Brown Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,FILA,1699.0
20,46081,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,ADIDAS Men Navy Blue Benton Sandals,Not specified,Not specified,Synthetic,Not specified,Velcro,Not specified,Not specified,Navy Blue,ADIDAS,1399.0
21,43956,Women,Footwear,Sandal,Sports Sandals,Summer,2012.0,Casual,Puma Women Purple Techno Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Purple, Black",Puma,1399.0
22,24098,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Red Tape Men Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Red Tape,1895.0
23,9497,Men,Footwear,Sandal,Sandals,Summer,2011.0,Casual,Decathlon Men Arpenaz Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Decathlon,2499.0
24,41857,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Bata Men Hummer Grey Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Olive, Grey",Bata,749.95
25,33646,Men,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Lotto Men Ridge Black Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Black, Brown",Lotto,1299.0
26,41868,Men,Footwear,Sandal,Sandals,Summer,2015.0,Casual,Estd. 1977 Men Turquoise Blue Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Turquoise Blue, Brown",Estd. 1977,1880.0
27,35545,Girls,Footwear,Sandal,Sandals,Summer,2012.0,Casual,Enroute Teens Brown Sandals,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Enroute Teens,999.0
