,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Sole Material,Pattern,Material,Fastening,Fit,Type,Ankle Height,Sport,Arch Type,Surface Type,Shoe Width,Insole,Heel Height,Fastening and Back Detail,Cushioning,Toe Shape,Heel Type,Cleats,Colour,Brand,Price
0,9204,Men,Footwear,Shoes,Casual Shoes,Summer,2011.0,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Driving Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Puma,4999.0
1,9036,Men,Footwear,Shoes,Formal Shoes,Winter,2011.0,Formal,Buckaroo Men Flores Black Formal Shoes,Synthetic,Solid,Leather,Zip,Not specified,Slip-On Shoes,Regular,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Round Toe,Not specified,Not specified,Black,Buckaroo,2295.0
2,39988,Men,Footwear,Shoes,Casual Shoes,Winter,2014.0,Casual,Gas Men Europa White Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Red",GAS,3300.0
3,59051,Women,Footwear,Shoes,Flats,Winter,2012.0,Casual,Carlton London Women Black & Gold Toned Flats,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,High-Top,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Buckle,Not specified,Open Toe,Not specified,Not specified,"Black, Gold",Carlton London,2995.0
4,2886,Women,Footwear,Shoes,Flats,Winter,2015.0,Casual,Catwalk Women Leather Brown Flats,Not specified,Solid,Leather,Not specified,Not specified,Ballerinas,Regular,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Slip-On,Not specified,Open Toe,Not specified,Not specified,Brown,Catwalk,995.0
5,3168,Men,Footwear,Shoes,Sports Shoes,Fall,2010.0,Sports,Nike Men's Incinerate MSL White Blue Shoe,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Running,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Blue",Nike,3300.0
6,10268,Men,Footwear,Shoes,Formal Shoes,Fall,2012.0,Formal,Clarks Men Hang Work Leather Black Formal Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Clarks,2499.0
7,59435,Men,Footwear,Shoes,Formal Shoes,Summer,2012.0,Formal,Arrow Men Black Formal Shoes,Not specified,Not specified,Leather,Lace-Ups,Not specified,Derbys,Regular,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Arrow,3999.0
8,22198,Men,Footwear,Shoes,Casual Shoes,Fall,2012.0,Casual,Timberland Men Black Casual Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Timberland,7690.0
9,29570,Men,Footwear,Shoes,Casual Shoes,Summer,2012.0,Casual,Vans Men Classic Slip-On Purple & Black Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Purple, Black",Vans,2299.0
10,6628,Men,Footwear,Shoes,Sports Shoes,Summer,2011.0,Sports,ADIDAS Men's Lowell White Silver Shoe,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Running,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Silver",ADIDAS,2599.0
11,26538,Men,Footwear,Shoes,Casual Shoes,Fall,2012.0,Casual,ID Men Red Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Driving Shoes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,ID,1885.0
12,49495,Men,Footwear,Shoes,Casual Shoes,Summer,2012.0,Casual,Vans Men Khaki Shoes,Not specified,Not specified,Suede,Lace-Ups,Not specified,Not specified,Mid-Top,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Khaki,Vans,3599.0
