,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Total Shelf Life in Months,Minimum Usable Period in Months,Units Per Bundle,Minimum Shelf Life in Months,Fragrance,Features,Strength,Colour,Brand,Price
0,18461,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,David Beckham Signature Men Deos,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,DAVID BECKHAM,300
1,43993,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Police Women Passion Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Police,1800
2,43967,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,DKNY Women Red Delicious Perfume,60,3,1,12,Fresh,Not specified,Mild,Red,DKNY,3320
3,36934,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Giorgio Armani Women Idole Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Gold,Giorgio Armani,5200
4,44187,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Nike Fragrances Women 5th Element Perfume 150 ml,Not specified,Not specified,1,Not specified,Fresh,Not specified,Medium,White,Nike Fragrances,798
5,26735,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Reebok Men Pack of 2 Pirates of the Caribbean Deos,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Reebok,330
6,58980,Women,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Colour me Women Flowers Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Colour me,245
7,58974,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Colour me Men Gold Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Gold,Colour me,245
8,26197,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Formula 1 Go Men Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,Formula 1,995
9,44173,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Nike Fragrances Women Trendy Perfume 75ml,Not specified,Not specified,1,Not specified,Fresh,Not specified,Medium,Pink,Nike Fragrances,599
10,25978,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,J.Del Pozo Halloween Kiss Sexy Women Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,J. DEL POZO,2800
11,46624,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Rasasi Men Emotion Deo and Perfume Set,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Grey, Blue",Rasasi,1150
12,36933,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Bulgari Women Omnia Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,Bulgari,3600
13,44379,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,ADIDAS Men Intense Touch  Perfume,36,6,1,24,Fresh,Not specified,Mild,Black,ADIDAS,699
14,43994,Women,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Police Women Passion Deo,60,3,1,12,Not specified,Regular,Not specified,Pink,Police,225
15,18466,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Reebok Reebounce Women Perfumes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Reebok,799
16,44174,Women,Personal Care,Fragrance,Fragrance Gift Set,Spring,2017.0,Casual,Nike Fragrances Women Sensual Touch Perfume and Deo Set,Not specified,Not specified,2,Not specified,Not specified,Not specified,Not specified,White,Nike Fragrances,998
17,26190,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,4711 Kolnisch Wasser Men Perfume,36,3,1,12,Fruity,Not specified,Medium,"Blue, Gold",4711,1140
18,58973,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Colour Me Women Pink Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Colour me,795
19,28238,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Park Avenue Men Cruise Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Park Avenue,172
20,58987,Women,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Cavallini Women Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Lavender,Cavallini,199
21,18459,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,David Beckham Intimately Men Deos,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,DAVID BECKHAM,300
22,44180,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Nike Fragrances Women Spicy Love Perfume 150 ml,Not specified,Not specified,1,Not specified,Fresh,Not specified,Medium,White,Nike Fragrances,798
23,26732,Women,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Reebok Women Reestyle Deo,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Purple,Reebok,199
24,28231,Men,Personal Care,Fragrance,Deodorant,Spring,2017.0,Casual,Playboy Men Malibu Deo,60,3,1,24,Not specified,Odour Control,Not specified,Black,Playboy,199
25,26199,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Formula 1 Men Power Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Black,Formula 1,995
26,18450,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Ed Hardy Life Love & Luck by Christian Audigier for Women Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Ed Hardy,2750
27,25982,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,J. DEL POZO Women In White Perfume 100 ml,Not specified,Not specified,1,Not specified,Floral,Not specified,Strong,White,J. DEL POZO,3750
28,58945,Women,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,Taylor of London Women White Satin Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Taylor of London,550
29,44142,Men,Personal Care,Fragrance,Perfume and Body Mist,Spring,2017.0,Casual,dunhill Men Fresh Perfume,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,dunhill,2800
