,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Total Shelf Life in Months,Minimum Usable Period in Months,Features,Finish,Units Per Bundle,Concern,Minimum Shelf Life in Months,Colour,Brand,Price
0,56019,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037,36,Not specified,Moisturising,Natural,1,Not specified,Not specified,Brown,Colorbar,450
1,56026,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Colorbar Soft Touch Mousse Lipstick 025,36,Not specified,Moisturising,Natural,1,Not specified,Not specified,Brown,Colorbar,325
2,55491,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Revlon Gold Dust Poussiere Doree Colorburst Lip Gloss 024,24,12,Moisturising,Glossy,1,Not specified,6,Brown,Revlon,525
3,55465,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Revlon Super Lusterous Lipstick 304,36,Not specified,Moisturising,Natural,1,Not specified,Not specified,Red,Revlon,550
4,55001,Women,Personal Care,Lips,Lipstick,Spring,2017.0,,Lakme Absolute Lip Last Day Kiss Lip Colour,24,Not specified,Moisturising,Natural,1,Not specified,Not specified,Pink,Lakme,575
5,55039,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Lakme Absolute Matte Merlot Lipstick 45,24,Not specified,Long Lasting,Matte,1,Not specified,Not specified,Brown,Lakme,525
6,57563,Women,Personal Care,Lips,Lipstick,Spring,2017.0,,Lotus Herbals Pure Colours Nutty Brown Lipstick 666,24,12,Moisturising,Natural,1,Not specified,6,Brown,Lotus Herbals,275
7,55006,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,,Lakme Sheer Satin Lip Gloss 51,24,Not specified,Regular,Glossy,1,Not specified,Not specified,Copper,Lakme,325
8,55462,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Revlon Super Lustrous Plum Baby Lipstick 313,36,Not specified,Moisturising,Creme,1,Not specified,Not specified,Purple,Revlon,550
9,55496,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Revlon ColorBurst Hot Pink Lip Gloss 10,36,Not specified,Moisturising,Glossy,1,Not specified,Not specified,Pink,Revlon,525
10,56021,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Colorbar Soft Touch Venus Lipstick 034,36,Not specified,Moisturising,Natural,1,Not specified,Not specified,Mauve,Colorbar,325
11,57597,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Lotus Herbals Moistpetals Rudy Pink Lipstick 140,24,12,Moisturising,Natural,1,Not specified,6,Pink,Lotus Herbals,349
12,56028,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Colorbar Soft Touch Spring Fling Lipstick 023,36,Not specified,Moisturising,Glossy,1,Not specified,Not specified,Maroon,Colorbar,475
13,55454,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Revlon Velvet Touch Royal Burgundy Lipstick 96,24,12,Moisturising,Matte,1,Not specified,6,Burgundy,Revlon,550
14,55202,Women,Personal Care,Lips,Lip Care,Spring,2017.0,Casual,Lakme Lip Love Hottie Lip Conditioner,Not specified,Not specified,Not specified,Matte,Not specified,Dry Lips,Not specified,Pink,Lakme,225
15,57555,Women,Personal Care,Lips,Lipstick,Spring,2017.0,,Lotus Herbals SPF-10 Tulip Love Lipstick 417,24,Not specified,SPF,Natural,1,Not specified,Not specified,Pink,Lotus Herbals,375
16,55030,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Lakme Absolute Matte Milan Red Lipstick 48,24,Not specified,Regular,Matte,1,Not specified,Not specified,Red,Lakme,525
17,56017,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Colorbar Soft Touch Wood Heart Lipstick 039,36,Not specified,Regular,Natural,1,Not specified,Not specified,Brown,Colorbar,450
18,57599,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Lotus Herbals Moistpetals Berry Punch Lipstick 121,24,Not specified,Regular,Natural,1,Not specified,Not specified,Burgundy,Lotus Herbals,349
19,55498,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Revlon ColorBurst Strawberry Lip Gloss 06,36,Not specified,Moisturising,Glossy,1,Not specified,Not specified,"Pink, Beige",Revlon,525
20,55008,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,,Lakme Sheer Satin Lip Gloss 41,24,Not specified,Moisturising,Glossy,1,Not specified,Not specified,Maroon,Lakme,325
21,56010,Women,Personal Care,Lips,Lipstick,Summer,2019.0,Casual,Colorbar Velvet Matte Hot Hot Hot Red Lipstick 01R,36,Not specified,Regular,Matte,1,Not specified,Not specified,Red,Colorbar,325
22,55037,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Lakme Absolute Matte Bitter Chocolate Lipstick 53,24,Not specified,Regular,Matte,1,Not specified,Not specified,Brown,Lakme,500
23,55205,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Lakme Lip Love Dark Desire Lipstick B122A,Not specified,Not specified,SPF,Creme,1,Not specified,Not specified,Brown,Lakme,725
24,57552,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Lotus Herbals Floralstay Copper Toast Lip Color 424,24,Not specified,SPF,Natural,1,Not specified,Not specified,Copper,Lotus Herbals,375
25,56044,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Colorbar Full Finish Longwear Kiss Me Lipstick 07,36,Not specified,Long Lasting,Matte,1,Not specified,Not specified,Brown,Colorbar,725
26,55063,Women,Personal Care,Lips,Lipstick,Spring,2017.0,,Lakme Enrich Satins Lipstick 421,24,Not specified,Regular,Creme,1,Not specified,Not specified,Brown,Lakme,230
27,57734,Women,Personal Care,Lips,Lip Care,Spring,2017.0,,Lotus Herbals Fruity Fusion Lip Balm,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Maroon,Lotus Herbals,155
28,55407,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Revlon ColorStay Overtime Relentless Raisin Lip Gloss 270,24,12,Regular,Glossy,1,Not specified,6,"Purple, White",Revlon,960
29,49093,Women,Personal Care,Lips,Lip Liner,Spring,2017.0,Casual,Deborah 24 Ore Lip Liner 220,48,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Mauve,Deborah,375
30,55438,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Revlon Mauve Colorburst Lipstick 005,36,Not specified,Regular,Creme,1,Not specified,Not specified,Pink,Revlon,630
31,55064,Women,Personal Care,Lips,Lipstick,Spring,2017.0,,Lakme Enrich Satins Lipstick 265,24,Not specified,Regular,Creme,1,Not specified,Not specified,Brown,Lakme,225
32,57733,Women,Personal Care,Lips,Lip Care,Spring,2017.0,,Lotus Herbals Cocoa Lip Balm,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Lotus Herbals,135
33,56043,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Colorbar Keep Blushing Full Finish Longwear Lipstick 08,36,Not specified,Long Lasting,Matte,1,Not specified,Not specified,Purple,Colorbar,725
34,56088,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Colorbar Star Shine Shock-o-Late Lip Gloss 04,36,Not specified,Regular,Glitter,1,Not specified,Not specified,Brown,Colorbar,325
35,55052,Women,Personal Care,Lips,Lipstick,Spring,2017.0,,Lakme Enrich Satins Lipstick 134,24,Not specified,SPF,Creme,1,Not specified,Not specified,Purple,Lakme,230
36,56081,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Colorbar Clear Glaze Star Shine Lip Gloss 015,24,12,Regular,Glitter,1,Not specified,6,Silver,Colorbar,325
37,55436,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Revlon Raspberry Colorburst Lipstick 045,36,Not specified,Regular,Creme,1,Not specified,Not specified,Pink,Revlon,630
38,56075,Women,Personal Care,Lips,Lip Liner,Spring,2017.0,Casual,Colorbar Plum Lip Liner/Crayon 004,24,12,Not specified,Not specified,1,Not specified,6,Mauve,Colorbar,399
39,55294,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Lakme Absolute Beigeshine Plump & Shine Lip Gloss,Not specified,Not specified,Moisturising,Glossy,1,Not specified,Not specified,Pink,Lakme,475
40,55409,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Revlon ColorStay Overtime Everlasting Rum Lipcolor 370,36,Not specified,Moisturising,Natural,1,Not specified,Not specified,Brown,Revlon,960
41,55293,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Lakme Absolute Coralshine Plump & Shine Lip Gloss,Not specified,Not specified,Regular,Glossy,1,Not specified,Not specified,Peach,Lakme,450
42,56072,Women,Personal Care,Lips,Lip Liner,Spring,2017.0,Casual,Colorbar Wild Berry Lip Liner /Crayon 011,24,12,Not specified,Not specified,1,Not specified,6,Brown,Colorbar,399
43,55431,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Revlon True Red Colorburst Lipstick 090,36,Not specified,Regular,Creme,1,Not specified,Not specified,Red,Revlon,630
44,56086,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,ColorBar Star Shine Chai Lip Gloss 07,24,12,Regular,Glossy,1,Not specified,6,Brown,Colorbar,325
45,55055,Women,Personal Care,Lips,Lipstick,Spring,2017.0,,Lakme Enrich Satins Lipstick 131,24,Not specified,SPF,Creme,1,Not specified,Not specified,Purple,Lakme,225
46,55009,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,,Lakme Sheer Satin Lip Gloss 23,24,Not specified,Moisturising,Glossy,1,Not specified,Not specified,Purple,Lakme,325
47,57598,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Lotus Herbals Moistpetals Raspberry Punch Lipstick 122,24,12,Moisturising,Natural,1,Not specified,6,Brown,Lotus Herbals,349
48,55499,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Revlon Pink Ice Glace Rose Colorburst Lip Gloss 004,24,12,Moisturising,Glossy,1,Not specified,6,Pink,Revlon,525
49,57553,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Lotus Herbals Floralstay Truffle Story Lip Color 423,24,Not specified,SPF,Natural,1,Not specified,Not specified,Brown,Lotus Herbals,375
50,55036,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Lakme Absolute Matte Expresso Lipstick 55,24,Not specified,Regular,Matte,1,Not specified,Not specified,Brown,Lakme,500
51,56011,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Colorbar Soft Touch Rhinestone Lipstick 045,24,12,Regular,Natural,1,Not specified,6,Burgundy,Colorbar,450
52,56029,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Colorbar Soft Touch Coral Crush Lipstick 022,36,Not specified,Moisturising,Natural,1,Not specified,Not specified,Maroon,Colorbar,325
53,56016,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Colorbar Soft Touch Citrine Lipstick 040,36,Not specified,Moisturising,Creme,1,Not specified,Not specified,Orange,Colorbar,550
54,55455,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Revlon Velvet Touch  Lipstick 659,24,12,Moisturising,Matte,1,Not specified,6,Lavender,Revlon,550
55,55031,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Lakme Absolute Matte Pure Glam Lipstick 201,24,Not specified,Regular,Matte,1,Not specified,Not specified,Purple,Lakme,525
56,55203,Women,Personal Care,Lips,Lip Care,Spring,2017.0,Casual,Lakme Lip Love Flirt Lip Conditioner,Not specified,Not specified,Not specified,Matte,Not specified,Dry Lips,Not specified,Pink,Lakme,225
57,57554,Women,Personal Care,Lips,Lipstick,Spring,2017.0,,Lotus Herbals SPF-10 Coffee Berry Lipstick 422,24,12,SPF,Natural,1,Not specified,6,Brown,Lotus Herbals,375
58,55038,Women,Personal Care,Lips,Lipstick,Spring,2017.0,,Lakme Absolute Matte Brick Lipstick 51,24,Not specified,Regular,Creme,1,Not specified,Not specified,Brown,Lakme,525
59,56020,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Colorbar Soft Touch Felin Lipstick 036,36,Not specified,Regular,Natural,1,Not specified,Not specified,Purple,Colorbar,325
60,55497,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Revlon Peony Pivoine Lip Gloss 008,24,12,Moisturising,Glossy,1,Not specified,6,Pink,Revlon,500
61,57596,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Lotus Herbals Moistpetals Rose Lipstick 141,24,Not specified,Regular,Natural,1,Not specified,Not specified,Rose,Lotus Herbals,349
62,55007,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,,Lakme Sheer Satin Lip Gloss 11,24,Not specified,Moisturising,Glossy,1,Not specified,Not specified,Pink,Lakme,325
63,57562,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Lotus Herbals Pure Colors  Moisturising Pink Blush Lipstick 614,24,Not specified,Long Lasting,Natural,1,Not specified,Not specified,Pink,Lotus Herbals,275
64,55463,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Revlon Super Lusterous Perfectly Plum Lipstick 325,36,Not specified,Moisturising,Natural,1,Not specified,Not specified,Maroon,Revlon,599
65,56018,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Colorbar Soft Touch Show Pink Charm Lipstick 038,36,Not specified,Moisturising,Creme,1,Not specified,Not specified,Pink,Colorbar,450
66,55464,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Revlon Super Lusterous Mulled Wine Lipstick 305,36,Not specified,Moisturising,Natural,1,Not specified,Not specified,Maroon,Revlon,550
67,55000,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,,Lakme Absolute Liplast Day Rose Lip Gloss,24,Not specified,Moisturising,Glossy,1,Not specified,Not specified,Pink,Lakme,575
68,57591,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Lotus Herbals Moistpetals Iced Coffee Lipstick 161,24,Not specified,Regular,Natural,1,Not specified,Not specified,Brown,Lotus Herbals,349
69,55490,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Revlon Rose Gold Colorburst Lip Gloss 026,36,Not specified,Moisturising,Glossy,1,Not specified,Not specified,Rose,Revlon,525
70,56027,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Colorbar Soft Touch Brazil Nut Lipstick 024,24,12,Regular,Natural,1,Not specified,6,Brown,Colorbar,325
71,56087,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Colorbar Star Shine Lip Gloss 05,24,12,Regular,Glitter,1,Not specified,6,Pink,Colorbar,325
72,55430,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Revlon Honey Colorburst Lipstick 097,24,12,Regular,Creme,1,Not specified,6,Peach,Revlon,630
73,55054,Women,Personal Care,Lips,Lipstick,Spring,2017.0,,Lakme Enrich Satins Lipstick 132,24,Not specified,SPF,Creme,1,Not specified,Not specified,Brown,Lakme,225
74,55292,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Lakme Absolute Cherryshine Plump & Shine Pink Lip Gloss,24,6,Regular,Glossy,1,Not specified,24,Pink,Lakme,475
75,56073,Women,Personal Care,Lips,Lip Liner,Spring,2017.0,Casual,Colorbar Very Cherry Lip Liner /Crayon 010,24,12,Not specified,Not specified,1,Not specified,6,Brown,Colorbar,399
76,56074,Women,Personal Care,Lips,Lip Liner,Spring,2017.0,Casual,Colorbar Nude Pink Lip Liner/Crayon 007,24,12,Not specified,Not specified,1,Not specified,6,Brown,Colorbar,399
77,55295,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Lakme Absolute Berryshine Plump & Shine Lip Gloss,Not specified,Not specified,Regular,Glossy,1,Not specified,Not specified,Pink,Lakme,450
78,55053,Women,Personal Care,Lips,Lipstick,Spring,2017.0,,Lakme Enrich Satins Lipstick 133,24,Not specified,Regular,Creme,1,Not specified,Not specified,Brown,Lakme,230
79,55437,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Revlon Peach Colorburst Lipstick 075,36,Not specified,Regular,Creme,1,Not specified,Not specified,Peach,Revlon,630
80,56080,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Colorbar Star Shine Coral Glaze Lip Gloss 016,24,12,Regular,Glitter,1,Not specified,6,Red,Colorbar,325
81,55408,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Revlon ColorStay Overtime Faithful Fawn Lip Color 320,36,Not specified,Regular,Glossy,1,Not specified,Not specified,Brown,Revlon,960
82,56042,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Colorbar Plum Dressing Lipstick 09,24,12,Long Lasting,Matte,1,Not specified,6,Purple,Colorbar,825
83,55065,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Lakme Enrich Satins Lipstick 128,24,Not specified,Regular,Creme,1,Not specified,Not specified,Pink,Lakme,240
84,57732,Women,Personal Care,Lips,Lip Care,Spring,2017.0,,Lotus Herbals Vanilla Lip Balm,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Cream,Lotus Herbals,135
85,56089,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Colorbar Jewel Bright Star Shine Lip Gloss 03,36,Not specified,Regular,Glitter,1,Not specified,Not specified,Pink,Colorbar,325
86,55062,Women,Personal Care,Lips,Lipstick,Spring,2017.0,,Lakme Enrich Satins Lipstick 422,24,Not specified,Regular,Creme,1,Not specified,Not specified,Red,Lakme,240
87,57735,Women,Personal Care,Lips,Lip Care,Spring,2017.0,,Lotus Herbals Raspberry Lip Balm,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Lotus Herbals,155
88,56045,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Colorbar Plum Show Lipstick 06,36,Not specified,Moisturising,Creme,1,Not specified,Not specified,Maroon,Colorbar,595
89,55439,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Revlon Lilac Colorburst Lipstick 001,36,Not specified,Regular,Creme,1,Not specified,Not specified,Pink,Revlon,610
90,49092,Women,Personal Care,Lips,Lip Liner,Spring,2017.0,Casual,Deborah 24 Ore Lip Liner 219,48,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Coffee Brown,Deborah,375
91,56108,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Colorbar Mettalics Bare Necessity Lip Gloss 001,24,12,Moisturising,Glitter,1,Not specified,6,"Maroon, Rust",Colorbar,325
92,49114,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Deborah Beige Couture 18 Atomic Red Lipstick,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Beige,Deborah,560
93,56553,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,,Streetwear Mineral Coral Glow Lip Gloss,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Red,Streetwear,350
94,55587,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Revlon ColorStay Overtime Boundless Brandy Lip Gloss 250,24,12,Long Lasting,Glossy,1,Not specified,6,"Burgundy, Nude",Revlon,960
95,56554,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,,Streetwear Mineral Sugar Babe Lip Gloss,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Pink,Streetwear,350
96,56562,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,,Streetwear Lip Gloss 48,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Brown,Streetwear,235
97,56106,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Colorbar Mettalics Cocoa Bean Lip Gloss 003,24,12,Moisturising,Glitter,1,Not specified,6,Brown,Colorbar,325
98,49122,Women,Personal Care,Lips,Lipstick,Spring,2017.0,Casual,Deborah Purple Light Creator Shine Volume 5 Lipstick,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Magenta,Deborah,595
99,56101,Women,Personal Care,Lips,Lip Gloss,Spring,2017.0,Casual,Colorbar Musky Rose Star Lip Gloss 03,24,12,Moisturising,Glossy,1,Not specified,6,Pink,Colorbar,325
