,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Total Shelf Life in Months,Minimum Usable Period in Months,Skin Type,Formulation,Units Per Bundle,Coverage,Minimum Shelf Life in Months,Skin Tone,Type,Finish,Features,Colour,Brand,Price
0,55233,Women,Personal Care,Makeup,Foundation and Primer,Summer,2019.0,Casual,Lakme Nine to Five Flawless Makeup Shell Foundation,Not specified,Not specified,All,Not specified,Not specified,Not specified,Not specified,Fair to Light,Not specified,Not specified,Not specified,Skin,Lakme,575
1,55234,Women,Personal Care,Makeup,Foundation and Primer,Summer,2019.0,Casual,Lakme 9to5 Flawless Makeup Marble Foundation,Not specified,Not specified,All,Liquid,1,Medium,Not specified,Fair to Light,Foundation,Not specified,Long-Wearing,Skin,Lakme,600
2,55833,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Colorbar Glamour Radiant Glow 001,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Skin,Colorbar,475
3,57793,Women,Personal Care,Makeup,Compact,Spring,2017.0,,Lotus Herbals Natural Blend Botanical Compact 550,24,12,Not specified,Not specified,1,Not specified,6,Combination,Pressed,Matte,Not specified,Skin,Lotus Herbals,455
4,50181,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Peperone Women Beige Handbag,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Beige,Peperone,1545
5,56612,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,,Streetwear True Color Claret Tint Blusher,Not specified,Not specified,Not specified,Cream,1,Not specified,Not specified,Light to Medium,Not specified,Matte,Not specified,Peach,Streetwear,425
6,55251,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Lakme Absolute Moonlit Highlighter Face Brightener 9G,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Skin, Brown",Lakme,600
7,55400,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Revlon Grow Luscious Graphite Eye Liner,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Charcoal,Revlon,450
8,55256,Women,Personal Care,Makeup,Kajal and Eyeliner,Summer,2019.0,Casual,Lakme Absolute Forever Silk Blacklast Eye Liner,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Black,Lakme,475
9,56615,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Streetwear Stay On Mineral Rose Swirl Blusher,Not specified,Not specified,Not specified,Cream,1,Not specified,Not specified,Light to Medium,Not specified,Matte,Not specified,Rose,Streetwear,525
10,55269,Women,Personal Care,Makeup,Kajal and Eyeliner,Summer,2019.0,Casual,Lakme Absolute Shine Line Black Eye Liner,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Black,Lakme,400
11,49094,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Deborah Kajal 119,48,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Purple,Deborah,250
12,55260,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Lakme Forever Silk Jaded Mint Eye Liner,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Green,Lakme,425
13,55267,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Lakme Absolute Shine Line Olive Eye Liner,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Olive,Lakme,350
14,55258,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Lakme Absolute Forever Silk Blue Cosmos Eye Liner,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Blue,Lakme,425
15,57792,Women,Personal Care,Makeup,Compact,Spring,2017.0,,Lotus Herbals Nude Botanical Compact 560,24,12,Not specified,Not specified,1,Not specified,6,Combination,Pressed,Matte,Not specified,Nude,Lotus Herbals,425
16,57750,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Lotus Herbals Natural Blend Comfort Liquid Sand Foundation 310,24,12,Oily,Liquid,1,Medium,6,Fair to Light,Foundation,Not specified,Regular,Skin,Lotus Herbals,365
17,55235,Women,Personal Care,Makeup,Foundation and Primer,Summer,2019.0,Casual,Lakme 9 to 5 Flawless Makeup Pearl Foundation 30 ml,24,6,All,Liquid,1,Medium,24,Light to Medium,Foundation,Not specified,Long-Wearing,Peach,Lakme,600
18,55232,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Lakme Perfect Radiance Intense Whitening Beige Honey Foundation 05,36,6,All,Liquid,1,High,12,Fair to Light,Foundation,Not specified,Regular,Skin,Lakme,450
19,55266,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Lakme Absolute Shine Line Brown Shimmer Eye Liner,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Brown,Lakme,350
20,55259,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Lakme Absolute Forever Silk Earth Line Eye Liner,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Brown,Lakme,425
21,55261,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Lakme Absolute Forever Silk Gypsy Green Eye Liner,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Olive,Lakme,425
22,56614,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,,Streetwear True Color Peachy Sheen Blusher,Not specified,Not specified,Not specified,Cream,1,Not specified,Not specified,Light to Medium,Not specified,Matte,Not specified,Peach,Streetwear,425
23,55257,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Lakme Absolute Forever Silk Grey Matter Eyeliner,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Grey,Lakme,425
24,49095,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Deborah Ultra Fine Compact Powder 02,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Skin,Deborah,595
25,55268,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Lakme Absolute Shine Line Smoky Grey Eye Liner,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Grey,Lakme,350
26,55250,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Lakme Absolute Sun-Kissed Bronzer,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Bronze,Lakme,600
27,56613,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,,Streetwear True Color Plush Plum Blusher,Not specified,Not specified,Not specified,Cream,1,Not specified,Not specified,Light to Medium,Not specified,Matte,Not specified,Rust,Streetwear,425
28,56137,Women,Personal Care,Makeup,Eyeshadow,Spring,2017.0,Casual,Colorbar Green Stroke Eye Shadow,24,12,Not specified,Pressed Powder,1,Not specified,6,Not specified,Not specified,Glitter,Not specified,Green,Colorbar,300
29,55580,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Revlon Touch & Glow Gold Matte Moisturising Powder 69,24,12,Not specified,Not specified,1,Not specified,6,Combination,Pressed,Matte,Not specified,Skin,Revlon,415
30,55574,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Revlon Photo Ready Medium/ Deep Compact 03,24,12,Not specified,Not specified,1,Not specified,6,Combination,Pressed,Matte,Not specified,Skin,Revlon,1100
31,55110,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Lakme Perfect Radiance Intense Whitening 05 Compact,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Skin,Lakme,210
32,49113,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Deborah New Skin Compact Foundation 04,Not specified,Not specified,All,Not specified,Not specified,Not specified,Not specified,Fair to Light,Not specified,Not specified,Not specified,Skin,Deborah,695
33,55117,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Lakme Absolute Mattreal Skin Natural Mousse 03,24,12,All,Cream,1,Medium,6,Fair to Light,Foundation,Not specified,Regular,Skin,Lakme,750
34,55573,Women,Personal Care,Makeup,Concealer,Spring,2017.0,Casual,Revlon Photo Ready Light Medium Concealer 003,24,12,All,Stick,1,Medium,6,Wheatish,Not specified,Not specified,Not specified,Skin,Revlon,700
35,56139,Women,Personal Care,Makeup,Eyeshadow,Spring,2017.0,Casual,Colorbar Really Rose Eye Shadow 004,24,12,Not specified,Pressed Powder,1,Not specified,6,Not specified,Not specified,Glitter,Not specified,Pink,Colorbar,300
36,55545,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Revlon Colorstay One-Stroke Defining Blooming Blue Eye Pencil,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Blue,Revlon,675
37,55542,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Revlon Black Color Stay Pen Eyeliner,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Waterproof,Black,Revlon,600
38,56155,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Colorbar I-Glide Passionately Gold Eye Pencil 08,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Gold,Colorbar,399
39,55529,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Revlon Touch & Glow Moisturising Makeup Rose Mist,24,12,All,Liquid,1,Medium,6,Fair to Light,Foundation,Not specified,Regular,Skin,Revlon,225
40,56190,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Colorbar Time Plus Honey Compact Powder 006,24,12,Not specified,Not specified,1,Not specified,6,Combination,Pressed,Matte,Not specified,Skin,Colorbar,200
41,55527,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Revlon Skinlights Face Pink Light Illuminator Lotion,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Skin,Revlon,850
42,56164,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Colorbar I-Define Moss Green Eye Pencil 004,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Green,Colorbar,325
43,55520,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Revlon Photo Ready Makeup 010 Caramel,24,12,All,Liquid,1,Medium,6,Fair to Light,Foundation,Not specified,Regular,Skin,Revlon,950
44,55118,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Lakme Absolute Mattreal Ivory Fair Skin Natural Mousse 01,24,12,All,Cream,1,Medium,6,Fair to Light,Foundation,Not specified,Regular,Skin,Lakme,775
45,55543,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Revlon Totally Turquoise 03 Eyeliner,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Waterproof,Blue,Revlon,675
46,56138,Women,Personal Care,Makeup,Eyeshadow,Spring,2017.0,Casual,Colorbar Expensive Pink Eye Shadow 005,24,12,Not specified,Pressed Powder,1,Not specified,6,Not specified,Not specified,Glitter,Not specified,Pink,Colorbar,300
47,55544,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Revlon Colorstay One-Stroke Defining Glazed Green Eye Pencil,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Green,Revlon,675
48,49112,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Deborah New Skin Compact Foundation 03,36,Not specified,All,Not specified,Not specified,Not specified,Not specified,Fair to Light,Not specified,Not specified,Not specified,Skin,Deborah,695
49,55586,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Revlon Photo Ready Pink Sculpting Blush Palette 01,24,12,Not specified,Cream,1,Not specified,6,Light to Medium,Not specified,Matte,Not specified,"Pink, Brown, Beige",Revlon,900
50,55116,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Lakme Absolute Mattreal Beige Honey Skin Natural Mousse 05,24,12,All,Cream,1,Medium,6,Fair to Light,Foundation,Not specified,Regular,Skin,Lakme,750
51,55572,Women,Personal Care,Makeup,Concealer,Spring,2017.0,Casual,Revlon Photo Ready Medium Deep Concealer 005,24,12,All,Stick,1,Medium,6,Wheatish,Not specified,Not specified,Not specified,Skin,Revlon,700
52,55575,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Revlon Photoready Light/Medium Compact 020,24,12,Not specified,Not specified,1,Not specified,6,Combination,Pressed,Matte,Not specified,Skin,Revlon,850
53,55111,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Lakme Perfect Radiance Intense Whitening 03 Compact,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Skin,Lakme,210
54,55581,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Revlon Pink Peony Powder Blush 17,24,12,Not specified,Cream,1,Not specified,6,Light to Medium,Not specified,Matte,Not specified,Peach,Revlon,900
55,56136,Women,Personal Care,Makeup,Eyeshadow,Spring,2017.0,Casual,Colorbar Aquamarine Eye Shadow 007,24,12,Not specified,Pressed Powder,1,Not specified,6,Not specified,Not specified,Glitter,Not specified,Blue,Colorbar,300
56,56196,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,ColorBar Cosmic Rose Blusher 002,24,12,Not specified,Cream,1,Not specified,6,Light to Medium,Not specified,Matte,Not specified,Rose,Colorbar,375
57,55521,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Revlon PhotoReady Medium Beige Makeup 006,24,12,All,Liquid,1,Medium,6,Fair to Light,Foundation,Not specified,Regular,Skin,Revlon,950
58,56162,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Colorbar I-Define Midnight Black Eye Liner 007,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Black,Colorbar,325
59,56165,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Colorbar I-Define Truffle Eye Pencil 003,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Brown,Colorbar,325
60,55526,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Revlon Skinlights Bronze Light Face Illuminator,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Bronze,Revlon,750
61,56191,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Colorbar Time Plus Beige Compact 005,24,12,Not specified,Not specified,1,Not specified,6,Combination,Pressed,Matte,Not specified,Beige,Colorbar,200
62,55528,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Revlon Skinlights Face Peach Light Illuminator Lotion,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Skin,Revlon,800
63,49155,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,,Deborah Cacao HiTech Blusher # 12,48,Not specified,Not specified,Cream,1,Not specified,Not specified,Light to Medium,Not specified,Matte,Not specified,Brown,Deborah,625
64,56149,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Colorbar Ultimate Eye Liner 001,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Black,Colorbar,550
65,55535,Women,Personal Care,Makeup,Eyeshadow,Spring,2017.0,Casual,Revlon Custom Eyes Smoky Sexy Eye Shadow 035,24,12,Not specified,Pressed Powder,1,Not specified,6,Not specified,Not specified,Glitter,Not specified,Multi,Revlon,695
66,56182,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,ColorBar Dusk Triple Act Compact 003,24,12,Not specified,Not specified,1,Not specified,6,Combination,Pressed,Matte,Not specified,Skin,Colorbar,475
67,56176,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Colorbar Purple Hue Eye Liner 002,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Purple,Colorbar,350
68,56171,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Colorbar Blue Color Intense Eye Liner,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Waterproof,Blue,Colorbar,350
69,56185,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,ColorBar Tan Radiant White UV Fairness Compact 005,24,12,Not specified,Not specified,1,Not specified,6,Combination,Pressed,Matte,Not specified,Skin,Colorbar,300
70,55532,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Revlon Touch And Glow Golden Mist Moisturising Make up 07,24,12,All,Liquid,1,Medium,6,Fair to Light,Foundation,Not specified,Regular,Skin,Revlon,225
71,56178,Women,Personal Care,Makeup,Concealer,Spring,2017.0,Casual,Colorbar Sand Beige Concealer 003,36,12,All,Cream,1,Medium,6,Wheatish,Not specified,Not specified,Not specified,Beige,Colorbar,495
72,55399,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Revlon Grow Luscious Emerald Lash Liner,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Green,Revlon,450
