,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Total Shelf Life in Months,Minimum Usable Period in Months,Skin Type,Formulation,Units Per Bundle,Concern,Minimum Shelf Life in Months,SPF,Type,Colour,Brand,Price
0,57767,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,,Lotus Herbals Whiteglow Yogurt Skin Whitening & Brightening Face Masque 80 g,36,12,All,Cream,1,General Care,24,Not specified,Night Cream,White,Lotus Herbals,225
1,55097,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Pond's Gold Radiance Precious Youth Serum,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,Gold,Ponds,999
2,55090,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Pond's Flawless White Visible Lightening Daily Cream,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,"Silver, Pink",Ponds,549
3,57705,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Lotus Herbals Sandalwood Sun Screen,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,White,Lotus Herbals,245
4,55099,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Pond's Women Gold Radiance Youthful Glow Day Cream,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,Gold,Ponds,899
5,56624,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Olay Women Age Protect Anti-Ageing UV Lotion,36,6,Normal,Cream,1,General Care,24,Not specified,Day Cream,Black,Olay,220
6,57702,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,,Lotus Herbals Almond Anti-Wrinkle Creme,24,Not specified,Normal,Cream,1,General Care,Not specified,Not specified,Day Cream,White,Lotus Herbals,455
7,59862,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Olay Women Age Protect  Anti-Ageing Cream,36,6,Normal,Cream,1,General Care,24,Not specified,Day Cream,Black,Olay,125
8,57768,Women,Personal Care,Skin,Mask and Peel,Spring,2017.0,,Lotus Herbals Tea Tree Clarifying Face Pack,24,Not specified,All,Not specified,1,Daily Use,Not specified,Not specified,Mask,White,Lotus Herbals,295
9,59853,Women,Personal Care,Skin,Face Moisturisers,Spring,2017.0,Casual,Olay Women Natural White Rich All in One Fairness Night Cream,36,6,Normal,Cream,1,General Care,24,Not specified,Night Cream,White,Olay,340
