,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Total Shelf Life in Months,Minimum Usable Period in Months,Skin Type,Formulation,Units Per Bundle,Concern,Minimum Shelf Life in Months,SPF,Type,Colour,Brand,Price
0,57756,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,Casual,Lotus Herbals Neem & Clove Purifying Face Wash,24,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,Lotus Herbals,199
1,57758,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,,Lotus Herbals Jojobawash Face Wash,24,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Lotus Herbals,199
2,59863,Women,Personal Care,Skin Care,Eye Cream,Spring,2017.0,Casual,Olay Women Total Effects Anti-Ageing Eye Cream,36,6,Not specified,Cream,1,Night Cream,24,Not specified,Not specified,Black,Olay,699
3,57794,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,Casual,Lotus Herbals Pomegranate & Plum Energizing Skin Polisher,24,Not specified,All,Not specified,1,Anti-Ageing,Not specified,Not specified,Not specified,Maroon,Lotus Herbals,245
4,57760,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,,Lotus Herbals Tea Tree Face Wash,24,Not specified,Oily,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Lotus Herbals,199
5,57761,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,Casual,Lotus Herbals Tea Tree & Cinnamon Anti-Acne Oil Control Face Wash,24,Not specified,Oily,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Cream,Lotus Herbals,140
6,57795,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,Casual,Lotus Herbals Pomegranate & Plum Skin Polisher,24,Not specified,All,Not specified,1,Anti-Ageing,Not specified,Not specified,Not specified,Red,Lotus Herbals,155
7,57759,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,,Lotus Herbals Jojobawash Face Wash,24,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Lotus Herbals,140
8,57766,Women,Personal Care,Skin Care,Face Scrub and Exfoliator,Spring,2017.0,Casual,Lotus Herbals Apriscrub Fresh Apricot Scrub 60g,24,Not specified,All,Not specified,1,Blackheads,Not specified,Not specified,Scrub,Cream,Lotus Herbals,75
9,57757,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,,Lotus Herbals Neemwash Face Wash,24,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Lotus Herbals,140
10,57625,Unisex,Personal Care,Skin Care,Sunscreen,Spring,2017.0,Casual,Lotus Herbals Kids Sun Block Cream,24,Not specified,Sensitive,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Orange,Lotus Herbals,335
11,57622,Men,Personal Care,Skin Care,Sunscreen,Spring,2017.0,,Lotus Herbals Safe Sun Sunscreen for Men,24,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Lotus Herbals,225
12,57614,Women,Personal Care,Skin Care,Sunscreen,Spring,2017.0,Casual,Lotus Herbals Extreme Sun Block Sunscreen,24,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Orange,Lotus Herbals,425
13,57879,Women,Personal Care,Skin Care,Face Scrub and Exfoliator,Spring,2017.0,Casual,Biotique Women Bio Papaya Revitalizing Scrub,36,Not specified,All,Not specified,1,Mild or Daily Use,Not specified,Not specified,Scrub,"Beige, Green",Biotique,199
14,57613,Women,Personal Care,Skin Care,Sunscreen,Spring,2017.0,,Lotus Herbals Safe Sun Absolute Sunscreen,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Lotus Herbals,195
15,57878,Women,Personal Care,Skin Care,Mask and Peel,Spring,2017.0,Casual,Biotique Bio Peach Clarifying & Refining Peel-Off Mask,36,Not specified,All,Not specified,1,Daily Use,Not specified,Not specified,Mask,"Beige, Green",Biotique,199
16,57615,Women,Personal Care,Skin Care,Sunscreen,Spring,2017.0,Casual,Lotus Herbals UV Screen Matte Gel 50g,24,Not specified,Combination,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Orange,Lotus Herbals,315
17,57623,Women,Personal Care,Skin Care,Sunscreen,Spring,2017.0,Casual,Lotus Herbals Safe Sun Sunscreen,24,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Orange,Lotus Herbals,345
18,57876,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,Casual,Biotique Women Bio Berberry Refreshing Cleansing Lotion,Not specified,Not specified,All,Not specified,1,General Care,Not specified,Not specified,Not specified,Green,Biotique,149
19,57624,Women,Personal Care,Skin Care,Sunscreen,Spring,2017.0,,Lotus Herbals Safe Sun Sun Block Cream,24,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Lotus Herbals,225
20,57608,Women,Personal Care,Skin Care,Toner,Spring,2017.0,,Lotus Herbals Rosetone Facial Skin Toner,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Rose,Lotus Herbals,295
21,57862,Women,Personal Care,Skin Care,Sunscreen,Spring,2017.0,Casual,Biotique Women Bio Sandalwood SPF 50 Sunscreen,36,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Yellow, Green",Biotique,209
22,57865,Women,Personal Care,Skin Care,Sunscreen,Spring,2017.0,Casual,Biotique Women Bio Carrot SPF 40 Sunscreen Lotion,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Yellow, Green",Biotique,199
23,57800,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,,Lotus Herbals Lemon Pure Cleansing Milk,24,Not specified,All,Not specified,1,General Care,Not specified,Not specified,Not specified,White,Lotus Herbals,360
24,55561,Women,Personal Care,Skin Care,Eye Cream,Spring,2017.0,Casual,Revlon Touch & Glow Advanced Fairness Under Eye Repair Cream,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Pink",Revlon,190
25,55337,Women,Personal Care,Skin Care,Toner,Spring,2017.0,Casual,Revlon Age Defying Sculpt -Logic Re-shaping Toner,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Gold,Revlon,715
26,57890,Women,Personal Care,Skin Care,Eye Cream,Spring,2017.0,,Biotique Bio Seaweed Revitalizing Anti-Fatigue Eye Gel,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,Biotique,199
27,57864,Women,Personal Care,Skin Care,Sunscreen,Spring,2017.0,Casual,Biotique Bio Sandalwood Face & Body Sunscreen Lotion,36,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Peach,Biotique,280
28,57609,Women,Personal Care,Skin Care,Sunscreen,Spring,2017.0,,Lotus Herbals Safe Sun Collagenshield Sunblock SPF 90,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Orange,Lotus Herbals,595
29,57863,Women,Personal Care,Skin Care,Sunscreen,Spring,2017.0,Casual,Biotique Bio Sandalwood Face & Body Sun Cream,36,Not specified,All,Not specified,Not specified,Sun Protection,Not specified,Not specified,Not specified,Green,Biotique,199
30,55533,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,Casual,Revlon Touch & Glow Advanced Fairness Face Wash,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"White, Pink",Revlon,200
31,57607,Women,Personal Care,Skin Care,Toner,Spring,2017.0,,Lotus Herbals Basiltone Toner,24,Not specified,Combination,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,Lotus Herbals,295
32,55560,Women,Personal Care,Skin Care,Face Moisturisers,Spring,2017.0,Casual,Revlon Age Defying Sculpt -Logic Re-shaping Day Cream,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Gold, White",Revlon,750
33,57801,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,Casual,Lotus Herbals Cleanser,24,Not specified,All,Not specified,1,General Care,Not specified,Not specified,Not specified,Cream,Lotus Herbals,275
34,56631,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,Casual,Olay Regenerist Cream Cleanser,36,6,All,Not specified,1,Lightening,24,Not specified,Not specified,White,Olay,349
35,55093,Women,Personal Care,Skin Care,Face Moisturisers,Spring,2017.0,Casual,Pond's Gold Radiance Ultra Rich Day Cream,24,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Gold, Beige",Ponds,899
36,55094,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,Casual,Pond's Radiance Boosting Cleansing Mousse,24,Not specified,All,Not specified,1,Anti-Ageing,Not specified,Not specified,Not specified,Gold,Ponds,400
37,57755,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,,Lotus Herbals Whiteglow Facial Foam,24,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Lotus Herbals,135
38,57763,Women,Personal Care,Skin Care,Face Scrub and Exfoliator,Spring,2017.0,,Lotus Herbals Apriscrub,24,Not specified,All,Not specified,1,Blackheads,Not specified,Not specified,Scrub,"Cream, Yellow",Lotus Herbals,445
39,57764,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,Casual,Lotus Herbals Apricot Scrub,24,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Lotus Herbals,295
40,55095,Women,Personal Care,Skin Care,Face Moisturisers,Spring,2017.0,Casual,Ponds Gold Radiance Youthful Glow Day Cream SPF 15,24,Not specified,Normal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Gold,Ponds,599
41,57765,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,Casual,Lotus Herbals Apricot Scrub,24,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Lotus Herbals,165
42,57762,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,,Lotus Herbals Strawberry & Aloe Vera Face Wash,24,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Lotus Herbals,140
43,57796,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,Casual,Lotus Herbals Kiwi & Grapes Skin Polisher,24,Not specified,Sensitive,Not specified,1,Anti-Ageing,Not specified,Not specified,Not specified,Green,Lotus Herbals,245
44,57754,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,,Lotus Herbals Whiteglow Scrub,24,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Lotus Herbals,215
45,57798,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,,Lotus Herbals Orange Peel & Alpine Salt Skin Polisher,24,Not specified,All,Not specified,1,Anti-Ageing,Not specified,Not specified,Not specified,White,Lotus Herbals,225
46,57621,Women,Personal Care,Skin Care,Sunscreen,Spring,2017.0,Casual,Lotus Herbals Safe Sun Anti-Tan Sunscreen,24,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Orange,Lotus Herbals,245
47,57880,Women,Personal Care,Skin Care,Face Scrub and Exfoliator,Spring,2017.0,Casual,Biotique Women Bio Walnut Purifying & Polishing Scrub,36,Not specified,All,Not specified,1,Mild or Daily Use,Not specified,Not specified,Scrub,"Green, Beige",Biotique,199
48,57619,Women,Personal Care,Skin Care,Sunscreen,Spring,2017.0,Casual,Lotus Herbals Safe Sun Sunscreen SPF 40,24,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Orange,Lotus Herbals,395
49,57610,Women,Personal Care,Skin Care,Sunscreen,Spring,2017.0,,Lotus Herbals Safe Sun Multi-Function Sunblock,24,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Lotus Herbals,515
50,57617,Women,Personal Care,Skin Care,Sunscreen,Spring,2017.0,,Lotus Herbals Safe Sun De-Tan Face Pack,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Lotus Herbals,325
51,57628,Women,Personal Care,Skin Care,Sunscreen,Spring,2017.0,,Lotus Herbals Safe Sun Sunscreen,24,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Lotus Herbals,299
52,55319,Women,Personal Care,Skin Care,Sunscreen,Spring,2017.0,Casual,Revlon Touch & Glow Advanced Suncare Daily Moisturising Lotion SPF 15,36,Not specified,Normal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Revlon,205
53,55583,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,,Revlon Age Defying Sculpt-Logic Gentle Cream Cleanser,Not specified,Not specified,Normal,Not specified,1,Anti-Ageing,Not specified,Not specified,Not specified,"Gold, Cream",Revlon,565
54,57616,Women,Personal Care,Skin Care,Sunscreen,Spring,2017.0,,Lotus Herbals Intensive Sunblock Spray,24,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Lotus Herbals,395
55,57629,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,,Lotus Herbals Sunscreen Face Wash,24,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Lotus Herbals,175
56,57611,Women,Personal Care,Skin Care,Sunscreen,Spring,2017.0,,Lotus Herbals Safe Sun Absolute Anti Tan Scrub,24,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Lotus Herbals,295
57,57627,Women,Personal Care,Skin Care,Sunscreen,Spring,2017.0,,Lotus Herbals Safe Sun Sunscreen Gel,24,Not specified,Normal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Lotus Herbals,245
58,56365,Men,Personal Care,Skin Care,Mens Grooming Kit,Spring,2017.0,Casual,Baldessarini Men Strictly Private 90 ml After Shave Lotion,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Gold,Baldessarini,2900
59,57620,Women,Personal Care,Skin Care,Sunscreen,Spring,2017.0,Casual,Lotus Herbals Safe Sun Daily Sunblock,24,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Lotus Herbals,275
60,57881,Women,Personal Care,Skin Care,Face Wash and Cleanser,Spring,2017.0,,Biotique Bio Honey Gel Lightening Foaming Cleanser,Not specified,Not specified,All,Not specified,1,General Care,Not specified,Not specified,Not specified,Green,Biotique,149
61,55108,Women,Personal Care,Skin Care,Face Moisturisers,Spring,2017.0,Casual,Ponds Age Miracle Day Cream SPF 15,24,Not specified,Normal,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,White,Ponds,549
